"Genus","Species","Variety","Name","CBS","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Diameter1","Diameter2","Diam_units","ColonyArea","Comments","Growing_days","Temperature","Media","ColonyComments","Phylum"
"Gaeumannomyces","graminis","","Gaeumannomyces graminis","350.75","sexual","ascospores",NA,80,100,NA,NA,2.5,3,NA,"um",194.386045440868,4.5,4.5,"cm",15.9043128087983,"",10,20,"MEA","","Ascomycota"
"Gaeumannomyces","graminis","","Gaeumannomyces graminis","350.75","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,4.5,4.5,"cm",15.9043128087983,"",10,20,"MEA","","Ascomycota"
"Gelasinospora","retispora","","Gelasinospora retispora","868.68/218.58","sexual","ascospores",NA,28,33,37,NA,14,70,20,"um",1006.09504731213,NA,NA,"cm",NA,"",NA,NA,NA,"","Ascomycota"
"Gelasinospora","retispora","","Gelasinospora retispora","868.68/218.58","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"cm",NA,"",NA,NA,NA,"","Ascomycota"
"Geomyces","pannorum","","Geomyces pannorum","226.74","asexual","conidia",NA,2,5,NA,NA,2,4,NA,"um",8.24668071567321,1,2,"cm",1.5707963267949,"",14,25,"phytone yeast extract","","Ascomycota"
"Geotrichum","candidum","","Geotrichum candidum","187.67","sexual","ascospores",NA,7,10,NA,NA,6,9,NA,"um",50.0691329165873,0.5,0.7,"cm",0.274889357189107,"",1,24,NA,"","Ascomycota"
"Geotrichum","candidum","","Geotrichum candidum","187.67","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.5,0.7,"cm",0.274889357189107,"",1,24,NA,"","Ascomycota"
"Gibellulospis","nigrescens","","Gibellulospis nigrescens","","asexual","conidia",NA,4,8.5,NA,NA,1.5,2.5,NA,"um",9.8174770424681,2.4,2.8,"cm",5.27787565803085,"",9,20,"PDA","","Ascomycota"
"Gilmaniella","humicola","","Gilmaniella humicola","660.74","asexual","conidia",NA,7,10,NA,NA,7,10,NA,"um",56.7450173054656,6.5,6.5,"cm",33.1830724035422,"",10,20,"MEA","","Ascomycota"
"Giocladium","viride","","Giocladium viride","","asexual","conidia",NA,3,4,NA,NA,1.7,2.7,NA,"um",6.04756585816035,NA,NA,"cm",NA,"",NA,NA,NA,"","Ascomycota"
"Glomerella","cingulata","","Glomerella cingulata","234.49","asexual","conidia",NA,12,18,NA,NA,4.5,6,NA,"um",61.8501053675491,0.2,0.3,"cm",0.0471238898038469,"",1,24,NA,"","Ascomycota"
"Gongronella","butleri","","Gongronella butleri","969.73","asexual","conidia",NA,2.2,4.5,NA,NA,1.6,2.5,NA,"um",5.39372188713198,NA,NA,"cm",NA,"",NA,NA,NA,"","Ascomycota"
"Gonytrichum","macrocladum","","Gonytrichum macrocladum","875.68","asexual","conidia",NA,3.5,5.8,NA,NA,2,3.6,NA,"um",10.2258840874348,1.8,1.8,"cm",2.54469004940773,"",12,21,"MEA","","Ascomycota"
"Gymnoascus","reesii","","Gymnoascus reesii","497.64","sexual","ascospores",NA,2.4,4.2,NA,NA,1.5,3,NA,"um",5.83158136322605,2,2,"cm",3.14159265358979,"",10,20,"OA","","Ascomycota"
"Gymnoascus","reesii","","Gymnoascus reesii","497.64","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,2,"cm",3.14159265358979,"",10,20,"OA","","Ascomycota"
"Harzia","acremonioides","","Harzia acremonioides","100.61","asexual","conidia",NA,20,30,NA,NA,15,20,NA,"um",343.611696486384,3.3,3.3,"cm",8.55298599939821,"",5,20,"MEA","","Ascomycota"
"Heteroconium","chaetospira","","Heteroconium chaetospira","514.63","asexual","conidia",NA,20,35,NA,NA,3,4,NA,"um",75.5945732270044,0.8,1,"cm",0.628318530717959,"",10,20,NA,"","Ascomycota"
"Hormiactis","candida","","Hormiactis candida","252.62","asexual","conidia",NA,10,19,NA,2,3,4,NA,"um",39.8589567924205,2.8,2.8,"cm",6.15752160103599,"",10,20,"OA","","Ascomycota"
"Humicola","fuscoatra","var. fuscoatra","Humicola fuscoatra var. fuscoatra","516.67","asexual","conidia",NA,3,5,NA,NA,1.5,2,NA,"um",5.49778714378214,2,2.5,"cm",3.92699081698724,"",10,20,"OA","","Ascomycota"
"Humicola","grisea","","Humicola grisea","217.34","asexual","conidia",NA,3,3.5,NA,NA,1.5,2,NA,"um",4.46695205432299,4,4,"cm",12.5663706143592,"",10,20,"OA","","Ascomycota"
"Hypomyces","chrysospermus","","Hypomyces chrysospermus","140.23","asexual","conidia",NA,15,25,NA,NA,15,25,NA,"um",314.159265358979,5,5,"cm",19.6349540849362,"",10,20,"MEA","","Ascomycota"
"Idriella","lunata","","Idriella lunata","404.78","asexual","conidia",NA,7,13,20,NA,2,2.5,4,"um",17.6714586764426,2.8,3,"cm",6.59734457253857,"",10,20,"MEA","","Ascomycota"
"Isaria","farinosa","","Isaria farinosa","","asexual","conidia",NA,2,3,NA,NA,1,1.8,NA,"um",2.74889357189107,4,6,"cm",18.8495559215388,"",14,25,"MEA","","Ascomycota"
"Isaria","fumosorosea","","Isaria fumosorosea","","asexual","conidia",NA,3,4,NA,NA,1,2,NA,"um",4.1233403578366,4,4,"cm",12.5663706143592,"",14,25,"MEA","","Ascomycota"
"Khuskia","oryzae","","Khuskia oryzae","","sexual","ascospores",NA,16,21,NA,NA,5,7,NA,"um",87.1791961371168,5.5,8,"cm",34.5575191894877,"",5,20,"MEA","","Ascomycota"
"Khuskia","oryzae","","Khuskia oryzae","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,5.5,8,"cm",34.5575191894877,"",5,20,"MEA","","Ascomycota"
"Lecanicillium","muscarium","","Lecanicillium muscarium","","asexual","conidia",NA,2.5,5.5,NA,NA,1,1.5,NA,"um",3.92699081698724,1.8,2.2,"cm",3.1101767270539,"",10,20,"MEA","","Ascomycota"
"Lecanicillium","psalliotae","","Lecanicillium psalliotae","154.7","asexual","conidia",NA,5,10,NA,NA,1.2,1.7,NA,"um",8.54120502694725,2.3,2.5,"cm",4.51603943953533,"",10,20,"MEA","","Ascomycota"
"Letptosphaeria","coniothryrium","","Letptosphaeria coniothryrium","","asexual","conidia",NA,3.5,4.5,NA,NA,2.2,2.7,NA,"um",7.69690200129499,2.6,2.8,"cm",5.71769862953342,"",7,20,"OA","","Ascomycota"
"Letptosphaeria","maculans","","Letptosphaeria maculans","","asexual","conidia",NA,4,6,NA,NA,1.5,2,3,"um",6.87223392972767,3,7,"cm",16.4933614313464,"",10,20,"OA","","Ascomycota"
"Mammaria","echinobotryoides","","Mammaria echinobotryoides","","asexual","conidia",NA,8.5,17.5,NA,NA,4.5,8.5,NA,"um",66.3661448070844,1.5,1.5,"cm",1.76714586764426,"",7,28,NA,"","Ascomycota"
"Mariannaea","elegans","","Mariannaea elegans","","asexual","conidia",NA,4,6,NA,NA,1.5,2.5,NA,"um",7.85398163397448,5,7,"cm",27.4889357189107,"",14,25,"MEA","","Ascomycota"
"Metarhizium","anisopliae","","Metarhizium anisopliae","","asexual","conidia",3.5,5,8,9,NA,2.5,3.5,4.5,"um",15.3152641862502,2,2,"cm",3.14159265358979,"",10,20,"OA","","Ascomycota"
"Microascus","trigonosporus","","Microascus trigonosporus","366.65","sexual","ascospores",NA,4,5.5,NA,NA,3,4,NA,"um",13.0572444664826,0.9,1.7,"cm",1.2016591899981,"",7,24,"MEA","","Ascomycota"
"Microascus","trigonosporus","","Microascus trigonosporus","366.65","asexual","conidia",NA,4,4.5,NA,NA,3.5,4,NA,"um",12.5172832291468,0.9,1.7,"cm",1.2016591899981,"",7,24,"MEA","","Ascomycota"
"Microdochium","bolleyi","","Microdochium bolleyi","","asexual","conidia",NA,5.5,8.5,NA,NA,1.6,2.2,NA,"um",10.4457955731861,3.2,3.8,"cm",9.55044166691297,"",7,20,NA,"","Ascomycota"
"Minimedusa","polyspora","","Minimedusa polyspora","880.68","asexual","bulbil",NA,90,130,NA,NA,90,130,NA,"um",9503.31777710913,3,4,"cm",9.42477796076938,"",5,20,"MEA","",NA
"Monoascus","ruber","","Monoascus ruber","","asexual","conidia",4.5,6,12,16,NA,4.5,10,14,"um",51.2472301616835,7.5,8.5,"cm",50.0691329165873,"",7,27.5,"MEA/PDA","","Ascomycota"
"Monocillium","mucidum","","Monocillium mucidum","404.66","asexual","conidia",NA,2.8,3.9,NA,NA,1.8,2.2,NA,"um",5.2621676947629,2,3,"cm",4.71238898038469,"",10,20,NA,"","Ascomycota"
"Monographella","nivalis","","Monographella nivalis","146.68/162.77/319.78","asexual","conidia",NA,10,18,27,NA,2.5,3.5,NA,"um",32.9867228626928,1,1,"cm",0.785398163397448,"",4,25,NA,"","Ascomycota"
"Mortierella","alpina","","Mortierella alpina","219.35","asexual","conidia",NA,3,4,NA,NA,2,2,NA,"um",5.49778714378214,2.5,2.5,"cm",4.90873852123405,"",5,20,"MEA","","Ascomycota"
"Mortierella","bainieri","","Mortierella bainieri","442.68","asexual","conidia",NA,6,10,13,NA,3,5,6,"um",25.1327412287183,6,6,"cm",28.2743338823081,"",5,20,"MEA","","Ascomycota"
"Mortierella","bispolaris","","Mortierella bispolaris","873.68","asexual","conidia",NA,8,13,NA,NA,8,13,NA,"um",86.5901475145687,4.2,4.2,"cm",13.854423602331,"",5,20,"MEA","","Ascomycota"
"Mortierella","elongata","","Mortierella elongata","","asexual","conidia",NA,6,13,16,NA,4,6,7,"um",37.3064127613788,10,10,"cm",78.5398163397448,"",5,20,"MEA","","Ascomycota"
"Mortierella","exigua","","Mortierella exigua","","asexual","conidia",NA,6,10,NA,NA,3,5.5,NA,"um",26.7035375555132,9,9,"cm",63.6172512351933,"",5,20,"MEA","","Ascomycota"
"Mortierella","gamsii","","Mortierella gamsii","","asexual","conidia",NA,6,12,14,NA,6,12,NA,"um",63.6172512351933,8,8,"cm",50.2654824574367,"",5,20,"MEA","","Ascomycota"
"Mortierella","horticola","","Mortierella horticola","869.68","asexual","conidia",NA,6,11,13,NA,6,11,NA,"um",56.7450173054656,5.5,5.5,"cm",23.7582944427728,"",5,20,"MEA","","Ascomycota"
"Mortierella","humilis","","Mortierella humilis","","asexual","conidia",NA,6,15,NA,NA,6,15,NA,"um",86.5901475145687,7,7,"cm",38.484510006475,"",5,20,"MEA","","Ascomycota"
"Mortierella","hyalina","","Mortierella hyalina","","asexual","conidia",NA,10,10,NA,NA,10,10,NA,"um",78.5398163397448,7,8,"cm",43.9822971502571,"",5,20,"MEA","conidia is minumium value","Ascomycota"
