"Species_names","spore_length","spore_width","SporeArea","SporeName","Phylum","Source"
"Kamienskia_perpusilla",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Otospora_bareae",175,175,24052.8187540469,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Pacispora_boliviana",82.5,82.5,5345.61624962388,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Pacispora_chimonobambusae",145,145,16512.9963854314,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Pacispora_coralloidae",136,136,14526.7244301992,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Pacispora_franciscana",145.5,145.5,16627.0754686648,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Pacispora_patagonica",136,136,14526.7244301992,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Pacispora_robigina",140,140,15393.80400259,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Pacispora_scintillans",195,195,29864.765163188,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Palaeospora_spainiae",66,64,3317.52184219082,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Paradentiscutata_bahiana",225,225,39760.7820219958,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Paradentiscutata_maritima",205,205,33006.3578167778,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Paraglomus_brasilianum",70,70,3848.4510006475,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Paraglomus_laccatum",87,87,5944.67869875529,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Paraglomus_majewskii",63,63,3117.24531052447,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Paraglomus_occultum",72,72,4071.50407905237,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Paurocotylis_fulva var. zealandica",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_alborosea",205.5,205.5,33167.5607898151,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_beninensis",265,265,55154.5860245858,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_castanea",274,269,57888.5570313723,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_coralloidea",389,350.5,107084.719889343,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_fulgida",202.5,200,31808.6256175967,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_gregaria",349,349,95662.2816999726,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_intraornata",205,205,33006.3578167778,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_minuta",138.5,138.5,15065.7039198307,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_persica",332.5,312,81477.2054708513,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_tropicana",227.5,227.5,40649.2636943392,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_undulata",210,210,34636.0590058275,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_verrucosa",348,348,95114.8591800846,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Racocetra_weresubiae",274.5,195,42040.4001912569,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Redeckera_fulvum",120,65,6126.1056745001,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Redeckera_megalocarpum",80,47.5,2984.5130209103,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Redeckera_pulvinatum",77.5,73.5,4473.82428825271,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizoglomus_melanum",195.5,195.5,30018.1141545913,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_aggregatus",87,72,4919.73409552162,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_arabicus",65,65,3318.30724035422,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_clarus",190,190,28352.8736986479,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_custos",66,66,3421.19439975928,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_diaphanus",74,74,4300.84034276443,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_fasciculatus",90,67.5,4771.2938426395,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_intraradices",98.5,98.5,7620.12933082289,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_invermaium",62.5,62.5,3067.96157577128,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_irregularis",160,95,11938.0520836412,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_manihotis",202.5,202.5,32206.2334378166,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_natalensis",101,101,8011.84666481737,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_populinus",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_proliferus",53,53,2206.18344098343,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Rhizophagus_vesiculiferus",67,67,3525.65235549115,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Sacculospora_felinovii",171,171,22965.8276959048,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Sclerocystis_alba",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Sclerocystis_clavispora",685,605,325488.633865987,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Sclerocystis_coccogenum",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Sclerocystis_coremioides",68,44.5,2376.61484244068,"Azygospores","Glomeromycota","Aguilar_etal_2018"
