Species,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd
Geastrum albonigrum,3,453,22.790393489930366,1403.5833333333333,303.8097339118841,72.7283711042029,22169.666666666668,1.534999986489614,168.60901518009052,2.866124210710821,427.7379698288817,206.78857787291892,20.47632527830674,2062.2424957097655,0.7059528268316647
Geastrum entomophilum,13,273.38461538461536,25.11895835083773,1669.8461538461538,93.25612272524967,72.92466082198104,23062.966666666678,2.2626153496595522,121.12358596459683,1.5230759967651804,95.74970291846529,30.34494770692878,35.11607373190534,1319.0506672519416,0.11075551084966352
Geastrum fimbriatum,13,561.7692307692307,7.288162383179253,582.1948717948718,722.6265070512366,39.32288591337131,20042.33846153846,0.431205120911965,407.6663574227814,1.9667262254850424,153.893263182608,60.25668954569721,7.0602669023395634,1104.9081635916675,0.08325324217631498
Geastrum lageniforme,11,453.1818181818182,22.231666683405635,1462.918181818182,304.6247075988571,69.07182397569888,21360.85909090908,1.6046818213029348,319.0638864496633,2.667505647772489,544.2886285201663,180.3814339885889,18.86536525925593,2380.543478229805,0.6241157432990263
Geastrum minimum,4,1625.25,10.793854170005458,374.3375,818.1459294886757,31.840242917404776,27428.2875,0.41762500107288375,703.0416654319524,2.59976509797296,34.22263809722058,83.62580150479619,5.77612238430412,947.7914664937294,0.18637120794883497
Geastrum morganii,17,127.58823529411765,10.451687084386755,1203.198039215687,903.8241811632656,10.26538601534433,21030.56372549019,0.38274509766522585,113.21553494525907,3.3893773280605815,62.03438027572134,90.33250909800476,4.3296550945387,915.8852084609814,0.16902915828392642
Geastrum pusillipilosum,1,1652,17.929166674614,766.75,326.080321401872,88.1502501045499,18526.25,0.765000015497208,NA,NA,NA,NA,NA,NA,NA
Geastrum quadrifidum,26,468.38461538461536,12.51109509353734,831.9797313797313,607.70583927616,49.71885477755616,23130.55833333333,0.8490897426893428,670.0426301018811,7.602993478497498,760.6957642573304,290.21498565569146,19.405664521223102,3841.9363692191255,0.6192538327981834
Geastrum schmidelii,14,1300,11.233085325902822,490.8083333333334,746.6908400294632,58.37073303629781,26234.69880952381,0.5384523808246566,659.5402827844442,5.361186401400673,234.0257424979342,219.5200365677853,13.878531731366992,1310.284255231291,0.2739422084804645
Geastrum senoretiae,2,526,19.171006962656953,946,401.9171262767085,81.89934393415825,24834.16666666665,1.2516666874289515,182.43354954612926,3.1954843023821042,632.1534623807735,196.86522154229596,33.95446444449757,1228.715883441848,0.48318964715730917
Gelatinomyces siamensis,2,258.5,25.5463540554047,2556.375,141.5381042626613,47.4492412262516,17215,2.3612500131130254,161.92745289171938,0.858103485556621,274.18065440508383,112.35913141540554,31.424750595996752,2862.014696852551,0.5038136068835264
Geminibasidium donsium,122,544.7786885245902,7.208159372296956,920.1402712724434,813.9340497414364,31.398116884256474,23179.13012295082,0.47637529108530835,350.17687413424534,5.530926248928853,230.32283252735203,360.715816217159,16.35161686132045,2880.5465200154226,0.302370325658327
Geminibasidium hirsutum,18,1346.611111111111,9.342770069713968,1220.0111111111112,525.94326952905794,31.844947629997655,24129.50740740741,0.6001759290143293,608.9079075437279,4.213353863755265,323.004499857362,218.70481677534048,26.798979709999116,2237.186475344595,0.21315813106555387
Genea dentata,15,328.06666666666666,6.954765884635191,594.5563492063493,756.0178450562881,38.39714093158237,20557.153650793647,0.41366508077061365,371.9396008314612,1.3182397817258775,46.75110368747086,73.96195711384897,6.225934506533869,1349.793619209364,0.06668418326915744
Genea lobulata,1,2135,13.1593749411404,237.75,880.319487498803,90.3656103175152,26270.75,0.357500001788139,NA,NA,NA,NA,NA,NA,NA
Genea pseudoverrucosa,5,830.6,5.763863078223186,708.6314285714286,861.4393657863583,58.854105806770036,20089.73,0.2922571410025868,1151.5529948725764,2.570227342500538,82.50005265922869,164.76189540712326,23.000763567186976,926.2293402692014,0.11449206405594774
Geniculifera effusa,1,1,4.89791670969377,993.5,897.220355556017,16.7304720807157,19944.5,0.28999999165535,NA,NA,NA,NA,NA,NA,NA
Geosmithia microcorthyli,1,64,26.5291667249468,3189,65.7855222489569,13.8431927816559,20107.3333333333,2.70666670799255,NA,NA,NA,NA,NA,NA,NA
Geosmithia putterillii,1,36,22.3697917262713,1945.25,556.382008973876,70.0192129038563,18920.25,1.16499996185303,NA,NA,NA,NA,NA,NA,NA
Gigaspora margarita,234,436.5,16.859690445177314,1138.7637464387465,421.12226994292547,40.13911628540486,23655.19066951567,0.9693682308847407,692.5663368236197,5.253564846722805,565.5105730746324,114.3758279538052,21.905883199462124,1692.7243853254204,0.4698401088688739
Gigaspora rosea,64,794.578125,18.407086595477374,1138.4088541666665,227.12058520386552,54.98185042173121,22517.92421875,1.2290833406305564,463.74157433624293,2.428366806777412,360.4212234897885,123.77000227710857,13.548609772442589,1101.8464445478307,0.46042224355522715
Gilbertella persicaria,2,80,14.3843750730157,562.25,992.35324273189,94.4734639151703,22221.5,0.310000002384186,0,0,0,0,0,0,0
Glarea lozoyensis,274,2463.204379562044,2.834309479992515,599.1974452554745,761.3229397626169,72.60910094461899,22466.694130170315,0.29640054462495696,1872.6545736507792,7.4583966565032505,323.2190426624705,170.51970664127703,34.93509032908467,2920.224459711779,0.2423657556215958
Gliocephalotrichum bacillisporum,33,204.87878787878788,23.62134042386536,2427.2000000000003,126.62873153910145,31.328464096006705,19345.757070707066,2.3560303297608782,205.1218780347061,5.459877848948766,618.3699124119712,195.4297581258721,12.134487975397771,3565.6095093514646,0.738910141634596
Gliocephalotrichum humicola,69,747.6666666666666,20.704877236753703,1705.0884057971016,365.2485223390833,70.40101469143154,20574.019323671495,1.427729471578546,794.1098358366738,6.134911001080516,839.540661574606,264.7705804853586,25.139993127598295,1603.8810258286808,0.6961459932654843
Gliocephalotrichum longibrachium,12,427.75,24.147366838598693,2410.1180555555566,86.52425378731917,38.13244309367215,17652.777777777766,2.3874305573602537,376.57864686241476,2.746611763243422,510.63162815244107,96.97966066267088,22.31052958581153,2619.384598703658,0.5162551421988789
Gliocephalotrichum simmonsii,131,475.09923664122135,22.879668009890484,2290.1740342354847,189.62649139662767,51.20907551498754,20428.027261161227,2.007044304450084,487.2543618617066,4.8522437694038105,895.6446492870504,234.23938233314405,31.92108359006568,2652.8429247055633,0.7258391887883949
Gliocladiopsis curvata,256,514.89453125,22.843088107859597,2126.2875,225.6850180400906,58.38995321550188,20227.4228515625,1.842792316669754,454.956555358963,3.9869788282426577,689.4723911064455,206.6585364643723,26.649235236146893,2144.665471651937,0.6352507286900646
Gliocladiopsis elghollii,136,441.875,23.726626848898157,1926.8379901960786,181.40206301908856,67.63832630918019,20906.505024509803,1.9654852749889395,391.3616578335469,3.1568917802924443,557.456160348653,139.60807523071645,22.979259823001144,2134.185084316883,0.5887893038201232
Gliomastix tumulicola,20,399.8,16.033381916659152,604.07,443.95263738475444,36.93692308621765,27242.924166666664,0.8309583316743373,429.65770954146865,3.6899818269688947,465.85173759582847,108.64010743371635,19.163199553252007,3341.4050215697885,0.11416658106361897
Globulicium hiemale,7,627.8571428571429,7.472936514875897,1103.319047619049,653.421025620894,41.74066425759531,20728.509523809542,0.4653809516202836,430.43870201281413,2.3077667516302,565.0277547614767,68.04143144655825,17.55442036438285,3124.4300311454986,0.08090471147476255
Gloeocantharellus persicinus,1,1940,17.2656251192093,2219.25,37.4344556437193,33.4835321605185,17765.75,1.44249999523163,NA,NA,NA,NA,NA,NA,NA
Gloeocystidiellum convolvens,5,85.6,4.227435513977554,581.0821428571428,971.7392311643858,34.97402260072544,20658.2523809524,0.26400000452995304,36.977019890737544,1.4358847271220223,61.708584587949225,163.2372433655818,1.7907776706690668,689.724209123732,0.07797435186898953
Gloeocystidiellum kenyense,2,443,6.91583334604899,875.5999999999999,797.9309754700159,43.1326745839483,22608.8,0.463000005483627,29.698484809834994,3.7700576364816603,293.0250501237053,648.814474831361,20.290766751803233,1251.8618454126647,0.40022243579136246
Gloeodontia subasperispora,22,903.4545454545455,8.697664142873686,1243.8439393939402,693.6657454024617,42.59622513964518,23570.615151515165,0.48000000107920543,602.5895489486725,4.217896144431872,779.9144571452473,216.18253247244056,26.181136250044194,3080.918797638632,0.19969061372218466
Gloeohypochnicium analogum,4,283.75,10.54270832786955,1026.5875,289.28248245785346,19.8029699709145,22637.6,0.7886249966919423,165.05832302552938,0.7294414906531046,175.19927879893416,39.24869903453848,7.556741544468647,583.078199443837,0.03235576784504834
Gloeophyllum odoratum,1,423,8.03958334028721,525,723.333813513966,43.1842165324367,19906.6666666667,0.449999998013179,NA,NA,NA,NA,NA,NA,NA
Gloeophyllum sepiarium,10,665.2,6.909631945652266,687.275,724.7290112660734,38.33100005750873,21226.03666666667,0.4399999982118607,522.171917198839,4.109862932185533,272.01810411450447,123.34686567617265,17.157871901636216,3237.0893892412455,0.19412004609173583
Gloeophyllum striatum,3,280.6666666666667,15.287037038830697,766.0833333333343,560.470320968905,60.94471711176877,26970.861111111135,0.7733333441946243,186.35807826153751,4.925977244437029,834.5595936047833,11.232856232201792,47.72748402388261,1665.9102707206525,0.17704362716570932
Gloeophyllum subferrugineum,10,665.2,6.909631945652266,687.275,724.7290112660734,38.33100005750873,21226.03666666667,0.4399999982118607,522.171917198839,4.109862932185533,272.01810411450447,123.34686567617265,17.157871901636216,3237.0893892412455,0.19412004609173583
Gloiothele citrina,39,470.5128205128205,6.561632840314486,636.6630647130647,845.8823273589735,55.22696609535904,20166.03159340659,0.35936690972838237,234.82332348461827,2.619301380474783,155.34193346158548,245.1682809083243,26.708225682849736,1222.0834054109873,0.1810298437529594
Glomus arenarium,1,2,4.87083326880303,987,896.509318061964,17.1234429226467,20040.6666666667,0.28999999165535,NA,NA,NA,NA,NA,NA,NA
Glomus gibbosum,1,28,12.8937500417233,717,296.734511953028,19.0286693219527,23159.5,0.860000014305115,NA,NA,NA,NA,NA,NA,NA
Glomus indicum,34,486.47058823529414,8.470712256596851,786.1331232493,999.0760909616677,65.16545145950018,21748.678046218487,0.34199439748099053,595.6668397327647,5.039042766910799,297.93052401045264,295.3663543195869,43.13360107729537,2466.866236212609,0.2849531444616781
Glomus macrocarpum,75,1602.24,5.4836048953652305,1091.984158730159,574.0838251533822,27.416230134619333,22214.476444444448,0.39987809642581706,838.7235610687778,3.56076775855056,272.2291084050302,140.14038698803753,15.188329796493974,2101.577689282249,0.16999989329183748
Glomus tetrastratosum,54,878.8518518518518,5.618540398951969,1018.4717592592596,609.8427272687042,29.356182431509968,20355.75509259259,0.47245987165305353,1207.4569472758885,3.978707078257029,397.8725605916322,232.10819706677196,21.248771423528705,2828.3023207956744,0.2298683018455777
Glutinoglossum glutinosum,49,329.2244897959184,8.813060636827071,1177.290451895044,783.1175346477953,20.36658481771396,20633.407896015546,0.5508041845842747,482.9966470426288,5.652754282549906,592.3398216323229,314.569841066878,14.576211382383345,1305.568701532574,0.6161150787808347
Glutinoglossum heptaseptatum,4,409,9.44956597513133,922.9166666666682,772.654177906245,19.515100581862875,21920.374999999975,0.4306249991059302,493.2517950634679,1.4206365155090408,325.3957277372137,202.8991570060956,14.343945691755538,2713.3663503826715,0.12082542803338907
Gnomonia skokomishica,2,1537,5.959374985285102,1400.625,623.8889727808084,49.358257307325054,24643.1,0.3942499935626985,760.8468965567251,7.921069068133632,40.12830983233657,29.324094030647014,52.89542113170591,4791.214127963808,0.2096571545526651
Gnomonia virginianae,3,447.6666666666667,7.2206944513997,920.5,886.9427451922063,20.311118236600333,20292.744444444466,0.3371111108197107,128.78405698429185,0.7411737926458376,342.8523734787321,141.69016965726505,19.838174959686715,345.3903368868413,0.09803929474470718
Gnomoniopsis alderdunensis,1,222,5.09250000615915,582.4,1434.69171203213,113.151984996366,21737.8,0.109999999403954,NA,NA,NA,NA,NA,NA,NA
Gnomoniopsis clavulata,5,66,17.175333258956673,1350.8,689.4304863337042,21.498048202038582,22319.48,0.7440000176429751,4.47213595499958,4.503999896734172,99.39322159986565,134.03969854650325,7.851038960563416,937.5162209263361,0.2370232194761015
Gnomoniopsis comari,4,70.25,7.771180538043002,697.940476190476,863.3205201542977,43.94958443282358,20478.377976190473,0.3604166669150195,46.628853728137045,5.02227424418009,92.24343901230236,63.5387389901077,21.271485967705736,413.1090892850671,0.05467708065290752
Gnomoniopsis fructicola,22,180.6818181818182,5.265676410664762,629.3220779220778,817.3233703950613,33.896411632445705,20287.128571428588,0.34300000762397614,407.81594662340797,1.3750893271250482,43.40801182185151,117.33353759413345,4.388521672895719,604.8332376003483,0.0905806672235157
Gnomoniopsis idaeicola,6,348,15.81920135980473,577.4666666666667,527.6626821861138,59.28674958618943,25375.891666666666,0.9053333287437764,223.54417907876734,2.9611327038326363,135.57038270458142,8.563371398247483,16.98486543206171,3291.040659034262,0.13307652853255914
Gnomoniopsis occulta,4,327.75,17.4394096972214,498.04166666666674,521.859866140866,67.80140774382173,26815.208333333325,0.9985416630903903,238.3378204705805,0.8131971043824708,48.27201570268228,11.93302912532124,2.718839474202663,138.22995635293782,0.08550605459214093
Gnomoniopsis paraclavulata,12,632.8333333333334,14.712199046501572,1469.8763888888889,605.527100997684,30.173546572752564,21972.918055555558,0.7632083406878843,543.7796735198303,4.71535873736073,850.6922684668109,177.94282140172163,17.00770012605166,1790.5971313054467,0.433877792989513
Golovinomyces biocellatus,1,209,-1.05952374424253,391.428571428571,1431.50421490269,45.9232448125161,22305.5714285714,0.140000000596046,NA,NA,NA,NA,NA,NA,NA
Golovinomyces cichoracearum,8,95.75,11.693977928303275,659.078125,960.9249469892311,78.06561239826597,21254.7890625,0.33140625403029855,91.87996828160408,8.91160991349648,312.2092285624395,47.62567080040953,24.66077226130623,1554.1872427160497,0.15081244481653303
Golovinomyces magnicellulatus,1,1186,15.5364583383004,940.5,308.799062084605,65.6650808736599,21879,0.672500014305115,NA,NA,NA,NA,NA,NA,NA
Golovinomyces sonchicola,1,1240,12.0715277898643,1032.66666666667,656.341002399355,81.9186461189916,27939,0.468333333730698,NA,NA,NA,NA,NA,NA,NA
Golovinomyces sordidus,1,1251,12.0141667296489,1022.2,645.171217465524,82.1933832406276,28009.8,0.475999999046326,NA,NA,NA,NA,NA,NA,NA
Gomphidius borealis,1,460,0.551666681654751,768,1296.09889649849,33.1432463277606,20483.2,0.159999996423721,NA,NA,NA,NA,NA,NA,NA
Gomphidius glutinosus,7,136.42857142857142,6.639479164069608,709.8831632653062,828.3740019009288,32.99433119558867,21373.3030612245,0.39470407944552754,198.5034484527134,4.26494101315074,180.9641039206362,167.25646610112327,14.84932383051821,2406.270753042782,0.2195762044035417
Gomphidius roseus,22,138.0909090909091,6.812660307196824,837.9200216450216,804.4138049384027,35.79542519517161,19850.061796536804,0.3892705672166567,161.4835710620239,4.16723439728522,462.2647655402966,127.82318970437758,8.77865148680744,987.4946894501097,0.20179955804111663
Gongronella butleri,98,186.03061224489795,18.451201075280004,1029.6204081632654,579.978204465756,73.39136603340182,23218.725000000002,1.0557040729921088,265.78056424723775,5.7195472396399145,725.6141156741523,360.87739187475023,29.20301131479425,3063.8921379723183,0.6944387244938411
Gongronella koreana,2,1518,11.515625036864865,634.75,854.3525228634776,52.47786855791835,23564.375,0.455000001937151,1986.9700551341984,10.639010871172022,695.0859659063763,208.0230111345889,53.5378138389776,564.4479880821616,0.5020458152746518
Grammothele denticulata,2,719,22.263541718324,1642.25,348.378322046271,75.8567162904935,19778.25,1.36500000953674,31.11269837220809,0,0,0,0,0,0
Grammothele lineata,4,608.25,21.527343777318798,1451.25,237.69025906682927,63.137551166589894,20967.25,1.50875000655651,301.6724216762281,1.955442885391934,299.13012775936386,127.81356239582622,15.866450022828355,1380.3543023441482,0.21123150355626116
Granulobasidium vellereum,4,437.25,1.7051711612425424,627.1696428571428,1350.28877014247,74.47548076509678,21266.299107142848,0.12249999865889549,262.98336449288956,3.513259239471019,278.9937098122393,111.49555730254086,32.242041741034036,1164.8423409581583,0.014999999768203853
Graphium basitruncatum,40,259.55,23.004170155121383,1722.6433333333334,272.8306915853372,82.23485801900753,22450.787083333336,1.9565457937493926,168.54428772010317,6.7601029773569445,532.5880974675481,408.91291946284394,18.91132905362944,2074.9021275015975,0.7295188182823813
Graphium carbonarium,10,230.6,22.43229167400862,1922.75,286.5597798990825,68.8118404396122,22033.975,1.9504999488592167,295.1384609147224,5.3625415609683635,736.8532474878111,428.68636893069714,30.487240948189584,741.4295824246861,0.9522245544409519
Gregarithecium curvisporum,1,1663,3.68749999112139,2000.4,856.260447902953,61.3937871443516,17719.4,0.306000000238419,NA,NA,NA,NA,NA,NA,NA
Gremmeniella abietina,1,80,5.50572914273168,645.25,818.207309464286,33.1297994198203,19867.125,0.340000003576279,NA,NA,NA,NA,NA,NA,NA
Grifola frondosa,1,8,6.85902775492933,604.166666666667,732.639304970903,31.1465321816837,21525,0.426666667064031,NA,NA,NA,NA,NA,NA,NA
Guignardia gaultheriae,14,307.5,16.80052088006653,1116.7142857142858,688.1107046815254,18.784308765744,23341.43452380953,0.7433333400459518,567.2848626436416,5.818746986848684,234.46176704863893,65.05008535633493,5.879332897051399,980.2723332895731,0.1961204966660918
