"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"Ascospores smooth, lenticular, 1,5-2 µm","Arthroderma gypseum_17217_13902","Ascospores","1,5-2",1.75,NA,NA,NA,NA
"Ascospores smooth-walled, lenticular, 1,5-2 x 2,5-3 (-3,5) µm,","Arthroderma incurvatum_17224_13903","Ascospores","1,5-2 x 2,5-3 (-3,5)",1.75,3,NA,NA,NA
"Ascospores hyaline, smooth-walled, 2,5-3,5 x 1-2 µm,","Arthroderma obtusum_17229_13904","Ascospores","2,5-3,5 x 1-2",3,1.5,NA,NA,NA
"Ascospores hyaline, smooth-walled, lenticular, 2,5-3,5 x 1,5-2 µm,","Arthroderma persicolor_17242_15392","Ascospores","2,5-3,5 x 1,5-2",3,1.75,NA,NA,NA
"Ascospores 35-40 x 6-7,5 µm,","Bifusella superba_125660_16072","Ascospores","35-40 x 6-7,5",37.5,6.75,NA,NA,NA
"ascospores present in 12 to 14 days; asci apparently arising as branches from fertile hyphae, not in chains (figs, 156D and 157E), oblong to spherical, about 15 µm","Byssochlamys striata_115212_14088","ascospores","15",15,NA,NA,NA,NA
"ascospores comparatively large, elliptical, with over-all dimensions ranging from 7.0 to 8.5 by 5.0 to 6.0 µm,","Byssochlamys striata_115212_14088","ascospores","6.0",6,NA,NA,NA,NA
"Ascospores aggregated in the upper third of the ascus, hyaline, guttulate, fusoid with rounded ends, straight to slightly curved, (1)-3-septate, not or slightly constricted at the septa, (38-)45-55(-60)-(4.5-)5-6(-7) µm","Calonectria spathulata_125666_9404","Ascospores","(38-)45-55(-60)-(4.5-)5-6(-7)",32.25,NA,NA,NA,NA
"Ascospores hyaline, straight or falcate, 1 (-3)-septata, not or slightly constricted at central septum, (25-) 39,5 (-48) x (4,5-) 5 (-6,5) µm.","Calonectria spathulata_125666_18089","Ascospores","(25-) 39,5 (-48) x (4,5-) 5 (-6,5)",39.5,5,NA,NA,NA
"Ascospores 1-3 seriate, ovoidal, ellipsoidal or biconical, sometimes curved, one-celled, 14-24 x 5-12, usually 16-20 x 6-9 µm,","Discochora philoprina_143824_8172","Ascospores","16-20 x 6-9",18,7.5,NA,NA,NA
"Ascospores ellipsoid, 3-septate, 13-16 x 3-4 µm.","Fellhanera rhapidophylli_194071_54212","Ascospores","13-16 x 3-4",14.5,3.5,NA,NA,NA
"Ascospores 1-septate, with constriction at septum, 12-15 x 4-5 µm.","Fellhanera semecarpi_192954_54213","Ascospores","12-15 x 4-5",13.5,4.5,NA,NA,NA
"ascospores hyaline, elliptical, thick walled, without equatorial ridges or trace of furrow, conspicuously spiny, with spines up to 2 µm","Hamigera spinulosa_115257_11985","ascospores","2",2,NA,NA,NA,NA
"Ascospores colourless, thin-walled, aseptate, smooth, threadlike, slightly tapered towards the base, 77-88 x 1-1,5 µm,","Lophodermium himalayense_125853_17039","Ascospores","77-88 x 1-1,5",82.5,1.25,NA,NA,NA
"ascospores have been released. Ascospores colourless, thin-walled, smooth, aseptate, bifusiform to cylindric-bifusiform, guttulate, 20-29 x 3-5 µm,","Meloderma sharmarum_125862_17040","ascospores","20-29 x 3-5",24.5,4,NA,NA,NA
"Ascospores colourless, thin-walled, smooth, aseptate, bifusiform to cylindric-bifusiform, guttulate, 20-29 x 3-5 µm,","Meloderma sharmarum_125862_17040","Ascospores","20-29 x 3-5",24.5,4,NA,NA,NA
"ascospores (2-)4-6 (-7), ellipsoid-ovoid (-subglobose),16-26(-30) x 9.5-15(-17.5) µm.","Trichocladia hedysari_374282_29215","ascospores","),16-26(-30) x 9.5-15(-17.5)",26,15,NA,NA,NA
"ascospores can be seen, 25-55 x ca 1 µm,","Vladracula annuliformis_144483_16081","ascospores","25-55 x 1",40,1,NA,NA,NA
"Ascospores arranged in one or two rows within the ascus, 12-21 x 4,5-5,5 µm,","Vladracula annuliformis_144483_16081","Ascospores","12-21 x 4,5-5,5",16.5,5,NA,NA,NA
"ascospores are sharply fusoid, sometimes sigmoid, becoming short-clavate, slightly flattened on one side, early 3-transeptate (4-segmented) when longitudinal septa are formed, then 5-transeptate and remaining so for practically all spores seen; forming a single longitudinal septum through each of the 2 original central segments and rarely but definitely a second one longitudinally through either the upper central segment or the lower one (not seen in both concurrently); sometimes (uncommonly) forming a single vertical or oblique septum in the distal quarter of the mature ascospore; at full development, yellow-brown becoming gold-brown, with darker walls and septa (initial median septum often appearing weak and almost hyaline), 19-22 x 7-8 µm,","Alternaria infectoria_30359_27989","ascospores",")19-22 x 7-8",20.5,7.5,NA,NA,NA
"ascospores oblong, conglobate, uniseptate, constricted at the septum, 10-20 x 9-11 µm.","Clypeolella tectonae_126078_52849","ascospores","10-20 x 9-11",15,10,NA,NA,NA
"Ascospores light greenish hyaline to light green, obovoid to ellipsoid, 11-13 x (3.0-) 3.5-4(-4.5) µm,","Hormotheca plantaginis_144257_13343","Ascospores","11-13 x (3.0-) 3.5-4(-4.5)",12,3.75,NA,NA,NA
"Ascospores greenish to olive-brown, clavate to broadly ellipsoid, 12-16 x 4.5-7.5 µm,","Hormotheca rubicola_144811_13275","Ascospores","12-16 x 4.5-7.5",14,6,NA,NA,NA
"Ascospores distichously arranged in the asci, ellipsoid, rounded at the apices, 1-septate, the lower cell often somewhat smaller, slightly constricted at the septum, brown to dark brown, verruculose, not guttulate, lacking a distinct gelatinous sheath, 22-26 x 8-11 µm.","Kirschsteiniothelia acerina_126692_46881","Ascospores","22-26 x 8-11",24,9.5,NA,NA,NA
"Ascospores 30-35 x 10-12 µm,","Kirschsteiniothelia aethiops_46414_25865","Ascospores","30-35 x 10-12",32.5,11,NA,NA,NA
"Ascospores distichously arranged in the asci, ellipsoid, rounded or somewhat constricted at the apices, 1septate, the upper cell usually larger in size, somewhat constricted at the septum, brown, sometimes appearing almost smooth but at high magnification (x 1500) a delicate verruculose ornamentation is evident, not guttulate, lacking a distinct gelatinous sheath, (21-)25-33(-38) x (7.5-)8.5-12.0(-14.0) µm.","Kirschsteiniothelia aethiops_46414_46882","Ascospores","(21-)25-33(-38) x (7.5-)8.5-12.0(-14.0)",29,10.25,NA,NA,NA
