"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"ascospores arranged uniseriate. Ascospores fusiform, ends rounded, straight to slightly curved, one-septate, median to submedian, not constricted or slightly constricted at septum, each cell with several small guttules, with appendages at each end subulate to whip-shaped or absent, (15-)16-18(-19)-2 µm","Gnomonia gei_12021_53634","ascospores","(15-)16-18(-19)-2",18,NA,NA,NA,NA
"Ascospores fusiform, ends rounded, straight to slightly curved, one-septate, median to submedian, not constricted or slightly constricted at septum, each cell with several small guttules, with appendages at each end subulate to whip-shaped or absent, (15-)16-18(-19)-2 µm","Gnomonia gei_12021_53634","Ascospores","(15-)16-18(-19)-2",18,NA,NA,NA,NA
"ascospores lying more-or-1ess parallel with the long axis of the ascus, sometimes slightly helically curved towards the top. Ascospores: colourless, thin-walled, smooth, clavate, aseptate, 36-50 x 4-6 µm","Xyloma andromedae_123708_18577","ascospores","36-50 x 4-6",43,5,NA,NA,NA
"Ascospores cylindrical, ends rounded, 35-55(-60.5) x 3-6 µm","Sphaeria ovina_119967_18128","Ascospores","35-55(-60.5) x 3-6",55,4.5,NA,NA,NA
"ascospores arranged obliquely parallel or irregularly seriate. Ascospores ellipsoid-elongated, slightly tapering toward rounded ends, 1-septate, often with short appendages 1.5-2 µm,","Chorostate salicella_414364_49050","ascospores","1.5-2",1.75,NA,NA,NA,NA
"Ascospores ellipsoid-elongated, slightly tapering toward rounded ends, 1-septate, often with short appendages 1.5-2 µm,","Chorostate salicella_414364_49050","Ascospores","1.5-2",1.75,NA,NA,NA,NA
"Ascospores hyaline, smooth, aseptate, swollen at both ends and with a central constriction, 40-60 x 4-7 µm","Rhytisma linearis_353588_15578","Ascospores","40-60 x 4-7",50,5.5,NA,NA,NA
"Ascospores filiform, multi-septate, disarticulating into part-spores that are short-cylindrical with rounded or blunt ends, (8.0-) 8.5-10.0 (-11.2)-(2.2-) 2.5-2.7 (-3.0) µm.","Hypocrea palmae_243488_23730","Ascospores","(8.0-) 8.5-10.0 (-11.2)-(2.2-) 2.5-2.7 (-3.0)",6.7,NA,NA,NA,NA
"Ascospores arranged biseriately, 13,5-20,5 x 4,5-8 µm,","Phyllachora acaciae_164066_16830","Ascospores","13,5-20,5 x 4,5-8",17,6.25,NA,NA,NA
"Ascospores yellowish to olivaceous, ellipsoid, 11-15 x 4-6 µm,","Dothidella betulina_161703_13269","Ascospores","11-15 x 4-6",13,5,NA,NA,NA
"Ascospores distichous in the ascus, elliptic-cylindric, septate towards the upper end of the spore, not or very slightly constricted at the septum, initially hyaline becoming yellowish to olivaceous when mature, 10-15 x 4-6 µm.","Dothidella betulina_161703_26501","Ascospores","10-15 x 4-6",12.5,5,NA,NA,NA
"ascospores biseriate. Ascospores hyaline, narrowly ellipsoid to rarely fusiform, muriform, with 4-6 transverse septa and one longitudinal septum, (12.7-) 15.9-20.3 (-22.8)-(5.7-) 6.4-8.2 (-9.3) µm","Thyronectria virens_353721_47748","ascospores","(12.7-) 15.9-20.3 (-22.8)-(5.7-) 6.4-8.2 (-9.3)",14.25,NA,NA,NA,NA
"Ascospores hyaline, narrowly ellipsoid to rarely fusiform, muriform, with 4-6 transverse septa and one longitudinal septum, (12.7-) 15.9-20.3 (-22.8)-(5.7-) 6.4-8.2 (-9.3) µm","Thyronectria virens_353721_47748","Ascospores","(12.7-) 15.9-20.3 (-22.8)-(5.7-) 6.4-8.2 (-9.3)",14.25,NA,NA,NA,NA
"Ascospores light brown to brown, unicellular, phaseoliform, laterally compressed with narrowly rounded ends, (12-)14-17 x 4.5-7.5 x 3-4 µm,","Pyrenomyxa invocans_164136_15300","Ascospores","(12-)14-17 x 4.5-7.5 x 3-4",14,6,3.5,NA,NA
"Ascospores hyaline, non-septate, oval to ovate, 10-11,5 x 4,5-5 µm.","Ascobolus trifolii_164194_15385","Ascospores","10-11,5 x 4,5-5",10.75,4.75,NA,NA,NA
"Ascospores filling the upper 2/3 to 3/4 of the ascus, filiform-clavate, non-septate, apex obtusely rounded, tapering to a narrowly rounded base, surrounded by a thick gelatinous sheath, (52.8-)59.7-65.7(-67.2) x (1.4-)1.7-2.4 µm","Hysterium melaleucum_164223_13443","Ascospores","(52.8-)59.7-65.7(-67.2) x (1.4-)1.7-2.4",62.7,1.7,NA,NA,NA
"Ascospores yellowish ovate-ellipsoidal, often with a hyaline wall, (4)5-6 x 3-4 µm,","Monascus ruber_15636_14943","Ascospores","(4)5-6 x 3-4",5,3.5,NA,NA,NA
"Ascospores elliptical, 6-7 x 4-5 µm,","Monascus ruber_15636_38422","Ascospores","6-7 x 4-5",6.5,4.5,NA,NA,NA
"ascospores within the asci may begin to bud-off yeast-1ike cells (blastospores). These are somewhat oval in shape, 2,5-6 x 4,5 µm.","Taphrina deformans_26913_15493","ascospores","2,5-6 x 4,5",4.25,4.5,NA,NA,NA
"Ascospores (10-)12-14 x 2 µm","Calospora allantospora_354098_46418","Ascospores","(10-)12-14 x 2",12,2,NA,NA,NA
"Ascospores 2-3 seriate, ellipsoidal, containing numerous small and one large guttules, 14-18 x 6.5-8 µm.","Sphaeria reticulata_354164_8147","Ascospores","14-18 x 6.5-8",16,7.25,NA,NA,NA
"Ascospores white in mass, broadly ellipsoid, hyaline, 14-16x8-10 µm","Peziza varia_44810_13405","Ascospores","14-16x8-10",15,9,NA,NA,NA
"Ascospores ellipsoidal to oblong-ellipsoidal, warted, (19.6-)21.2-22.6-23.4(-26)-(5.4-)5.8(-7) µm","Bionectria tonduzii_58617_29","Ascospores","(19.6-)21.2-22.6-23.4(-26)-(5.4-)5.8(-7)",24.7,NA,NA,NA,NA
"Ascospores are narrowly linear almost as long as the ascus and 1,5-2 µm","Cordyceps typhina_410833_15388","Ascospores","1,5-2",1.75,NA,NA,NA,NA
"Ascospores ellipsoid to narrowly ovoid, usually with two oil drops, (5.5-)6.5(-7) x 3-3.5(-4) µm;","Coryne bresadolae_354237_13267","Ascospores","(5.5-)6.5(-7) x 3-3.5(-4)",6.5,3.5,NA,NA,NA
"Ascospores numerous, simple, globose, colourless, smooth-walled, 2-3 µm","Sphaeria resinae_47084_15463","Ascospores","2-3",2.5,NA,NA,NA,NA
"Ascospores (25-)27.0+-1.9 (-32) x (11.5-)13.5+-1.6(-19) µm,","Lizoniella johansonii_385534_54517","Ascospores","(25-)27.0+-1.9 (-32) x (11.5-)13.5+-1.6(-19)",27,13.5,NA,NA,NA
"ascospores linear, 1 µm","Torrubiella paxillata_244166_47463","ascospores","1",1,NA,NA,NA,NA
"Ascospores fusiform, hyaline, 5-7 septate, 52-72 x 3.5-4.5 µm.","Sphaeria lampadophora_354663_29953","Ascospores","52-72 x 3.5-4.5",62,4,NA,NA,NA
"ascospores are ellipsoidal, often with a single central septum but two other septa may develop later, one on each side of the original; they measure 10-17 x 3,5-4,5 µm.","Calonectria nivalis_11530_14280","ascospores","10-17 x 3,5-4,5",13.5,4,NA,NA,NA
"ascospores not developed before overwintering, asci always immature in the current season, overwintered asci (2-)3-6(-8)-spored, spores about 21-23 x 13.515.5 µm.","Erysiphe galeopsidis_118000_29135","ascospores","21-23 x 13.515.5",22,NA,NA,NA,NA
"Ascospores uniseriate, cylindrical with broadly rounded to elliptical ends, 50-64 x 13-17 µm,","Sphaeria profusa_244271_13285","Ascospores","50-64 x 13-17",57,15,NA,NA,NA
"Ascospores monostichous below and distichous above, at first hyaline and one septate, finally brown and 3 septate, fusoid ellipsoid, surrounded by a thin mucilaginous sheath when young, thick-walled, 40-55 x 14-20 µm.","Cucurbitaria macrospora_354809_26549","Ascospores","40-55 x 14-20",47.5,17,NA,NA,NA
"ascospores generally in upper half of ascus, pore stained blue in IKI, 125-159 x 8-10 µm;","Monilinia fructicola_24886_13020","ascospores","125-159 x 8-10",142,9,NA,NA,NA
"ascospores ellipsoid to ovoid, hyaline. obliquely uniseriate, one-celled, binucleate (germinating ascospores with 4 nuclei), 8.3-11.6 x 4.5-7.0 µm;","Monilinia fructicola_24886_13020","ascospores",")8.3-11.6 x 4.5-7.0",9.95,5.75,NA,NA,NA
"ascospores with 4 nuclei), 8.3-11.6 x 4.5-7.0 µm;","Monilinia fructicola_24886_13020","ascospores",")8.3-11.6 x 4.5-7.0",9.95,5.75,NA,NA,NA
"ascospores arranged more or less in a bundle or in single or double file diagonally on top of each other within the ascus. Ascospores: colourless, thin-walled, smooth, clavate, 1-septate, 22-32 x 5-7 µm,","Peziza pinastri_164815_18581","ascospores","22-32 x 5-7",27,6,NA,NA,NA
"Ascospores 8, rarely 4, elliptic subhyaline to pale brown, 20-24 x 10-14 µm,","Erysiphe graminis_117059_13978","Ascospores","20-24 x 10-14",22,12,NA,NA,NA
"ascospores mature, 40-115-5-15 µm,","Nectria coryli_115431_47731","ascospores","40-115-5-15",60,NA,NA,NA,NA
"ascospores mainly biseriate. Ascospores narrowly fusiform to cylindrical, straight, hyaline, 1-septate, (8.3-) 10.2-12.8 (-15.3)-(2.2-) 2.8-4 (-5.3) µm","Nectria coryli_115431_47731","ascospores","(8.3-) 10.2-12.8 (-15.3)-(2.2-) 2.8-4 (-5.3)",8.75,NA,NA,NA,NA
"Ascospores narrowly fusiform to cylindrical, straight, hyaline, 1-septate, (8.3-) 10.2-12.8 (-15.3)-(2.2-) 2.8-4 (-5.3) µm","Nectria coryli_115431_47731","Ascospores","(8.3-) 10.2-12.8 (-15.3)-(2.2-) 2.8-4 (-5.3)",8.75,NA,NA,NA,NA
"Ascospores 29-38 x 4-8 µm","Metasphaeria maculans_354986_52199","Ascospores","29-38 x 4-8",33.5,6,NA,NA,NA
"Ascospores fusiform, 1-septate, constricted at the septum, cells equal in size, olivaceous-brown, smooth, (13.0-)14.2-15.6(-17.0) x 4.7-6.2(-7.0) µm.","Didymosphaeria peltigerae_8521_18783","Ascospores","(13.0-)14.2-15.6(-17.0) x 4.7-6.2(-7.0)",14.9,6.2,NA,NA,NA
"ascospores growing rather fast and attaining 35 mm diam on cherry decoction agar (CDA), 37 mm on both oatmeal (OA) and malt extract agar (MEA) and 41 mm on potato-dextrose agar (PDA) in 8 days at 20°C in day light, brown or blackish brown when old on CDA, paler and more orange-brown on the other media mentioned, immediately turning deep green with NaOH or KOH. Aerial mycelium very thin or lacking, or in very local rust-brown tufts, composed of single or fasciculate, 2-6(-8.5) µm","Didymosphaeria peltigerae_8521_18784","ascospores","2-6(-8.5)",6,NA,NA,NA,NA
"Ascospores filiform, multiseptate, breaking into 1-celled fragments, 2-4,5 x 1-1,5 µm.","Cordyceps militaris_6800_14949","Ascospores","2-4,5 x 1-1,5",3.25,1.25,NA,NA,NA
"Ascospores 2-3-seriate, one-celled, ellipsoidal, hyaline, and, according to Koorders (l.c.), 11-13 x 4-5 µm.","Physalospora morindae_116809_8197","Ascospores",".)11-13 x 4-5",12,4.5,NA,NA,NA
"Ascospores 16-20 (-22) x 3.4-5 (-6) µm,","Lophiosphaera pulveracea_228884_38419","Ascospores","16-20 (-22) x 3.4-5 (-6)",20,5,NA,NA,NA
"Ascospores shortly spindle-shaped, straight or slightly curved, with a single constricted central septum, 11-18 x 3-5 µm,","Lophiosphaera pulveracea_228884_38419","Ascospores","11-18 x 3-5",14.5,4,NA,NA,NA
"ascospores may become sub-hyaline or fuligineous. Found on herbaceous material, particularly Rubus spp. / p. 7: Lophiostoma fuckelii var. pulveracea is in all respects comparable with Lophiostoma fuckelii var. fuckelii in habit and dimensions of the pseudothecia. However ascospores range in var. pulveracea 15-21 x 4-5.5 µm,","Lophiosphaera pulveracea_228884_38419","ascospores","15-21 x 4-5.5",18,4.75,NA,NA,NA
"ascospores range in var. pulveracea 15-21 x 4-5.5 µm,","Lophiosphaera pulveracea_228884_38419","ascospores","15-21 x 4-5.5",18,4.75,NA,NA,NA
"Ascospores ellipsoidal, sometimes flattened on one side, slightly apiculate at both ends, 6-7 x (3.5-)4-5 (mean +- SE = 6.4 +- 0.1 x 4.3 +- 0.1) µm,","Ceratostoma notarisii_244680_19131","Ascospores","= 6.4 +- 0.1 x 4.3 +- 0.1)",6.4,4.3,NA,NA,NA
"ascospores lenticular, 4.6 to 5.0 µm","Eurotium chevalieri_10014_12076","ascospores","5.0",5,NA,NA,NA,NA
"Ascospores lenticular (lens-shaped), 4.5-5 x 3.5 µm,","Eurotium chevalieri_10014_14941","Ascospores",")4.5-5 x 3.5",4.75,3.5,NA,NA,NA
"Ascospores yellow, ellipsoidal, 4,5-5 x 3,5 µm","Eurotium chevalieri_10014_16254","Ascospores","4,5-5 x 3,5",4.75,3.5,NA,NA,NA
"ascospores lenticular, 4.7 to 5.0 µm","Eurotium amstelodami_9993_12079","ascospores","5.0",5,NA,NA,NA,NA
"Ascospores lenticulate, 4-4.7(5) x 3.6-3.8 µm,","Eurotium amstelodami_9993_14940","Ascospores","4-4.7(5) x 3.6-3.8",4.7,3.7,NA,NA,NA
"Ascospores yellow, ellipsoidal, 4,5-5 x 3,5-4 µm","Eurotium amstelodami_9993_16253","Ascospores","4.5-5 x 3.5-4",4.75,3.75,NA,NA,NA
"ascospores but empty ascus remains clearly visible. Ascospores arranged irregularly, 18-23 (-28) x 6,5-8,5 µm,","Rhytisma quercinum_165128_18572","ascospores","18-23 (-28) x 6,5-8,5",23,7.5,NA,NA,NA
"Ascospores arranged irregularly, 18-23 (-28) x 6,5-8,5 µm,","Rhytisma quercinum_165128_18572","Ascospores","18-23 (-28) x 6,5-8,5",23,7.5,NA,NA,NA
"ascospores frequently aborting. Ascospores arranged irregularly, (9·5-)12,5-16 x 5-6,5 µm,","Sphaeria rhytismoides_165217_18399","ascospores","(9·5-)12,5-16 x 5-6,5",12.5,5.75,NA,NA,NA
"Ascospores arranged irregularly, (9·5-)12,5-16 x 5-6,5 µm,","Sphaeria rhytismoides_165217_18399","Ascospores","(9·5-)12,5-16 x 5-6,5",12.5,5.75,NA,NA,NA
"ascospores of the latter are broader, 15.5-18 µm,","Hypocopra humana_118193_23363","ascospores","15.5-18",16.75,NA,NA,NA,NA
"ascospores 21 x 15 µm.","Hypocopra humana_118193_23363","ascospores","21 x 15",21,15,NA,NA,NA
"Ascospores 22-28 x 16-19 µm","Hypocopra humana_118193_23363","Ascospores","22-28 x 16-19",25,17.5,NA,NA,NA
"ascospores 23-27 x 14-16 µm;","Hypocopra humana_118193_23363","ascospores","23-27 x 14-16",25,15,NA,NA,NA
"ascospores (19-) 20-25 x 15.5-19 µm,","Hypocopra humana_118193_23363","ascospores","(19-) 20-25 x 15.5-19",20,17.25,NA,NA,NA
"ascospores 22.5-25 x 15-17.5 µm,","Hypocopra humana_118193_23363","ascospores","22.5-25 x 15-17.5",23.75,16.25,NA,NA,NA
"ascospores of the latter are broader, 15.5-18 µm,","Hypocopra humana_118193_23363","ascospores","15.5-18",16.75,NA,NA,NA,NA
"ascospores 21 x 15 µm.","Hypocopra humana_118193_23363","ascospores","21 x 15",21,15,NA,NA,NA
"Ascospores 22-28 x 16-19 µm","Hypocopra humana_118193_23363","Ascospores","22-28 x 16-19",25,17.5,NA,NA,NA
"ascospores 23-27 x 14-16 µm;","Hypocopra humana_118193_23363","ascospores","23-27 x 14-16",25,15,NA,NA,NA
"ascospores (19-) 20-25 x 15.5-19 µm,","Hypocopra humana_118193_23363","ascospores","(19-) 20-25 x 15.5-19",20,17.25,NA,NA,NA
"ascospores 22.5-25 x 15-17.5 µm,","Hypocopra humana_118193_23363","ascospores","22.5-25 x 15-17.5",23.75,16.25,NA,NA,NA
"Ascospores 21-25 x 15-18 µm.","Hypocopra humana_118193_38429","Ascospores","21-25 x 15-18",23,16.5,NA,NA,NA
"Ascospores of S. humana are broader than S. fimicola, 15.5-18 µm,","Hypocopra humana_118193_38429","Ascospores","15.5-18",16.75,NA,NA,NA,NA
"ascospores mostly 19-24 x 11-14 µm,","Hypocopra humana_118193_38429","ascospores","19-24 x 11-14",21.5,12.5,NA,NA,NA
"Ascospores 21 x 15 µm.","Hypocopra humana_118193_38429","Ascospores","21 x 15",21,15,NA,NA,NA
"Ascospores 22-28 x 16-19 µm","Hypocopra humana_118193_38429","Ascospores","22-28 x 16-19",25,17.5,NA,NA,NA
"Ascospores 1-seriate, broadly ovate or almost spheric, 20-22 x 15-17 µm,","Hypocopra humana_118193_38429","Ascospores","20-22 x 15-17",21,16,NA,NA,NA
"ascospores 23-27 x 14-16 µm.","Hypocopra humana_118193_38429","ascospores","23-27 x 14-16",25,15,NA,NA,NA
"Ascospores 1-celled, broadly fusiform, slightly flattened at one side, reddish-brown, 8-10.5 x 5-6 µm,","Microascus setifer_35442_25078","Ascospores","8-10.5 x 5-6",9.25,5.5,NA,NA,NA
"ascospores 4-5 µm","Mollisia lychnidis_229341_46066","ascospores","4-5",4.5,NA,NA,NA,NA
"Ascospores pale yellow-brown, broadly reniform (concave on one side), 1-celled, 3-4.5 x 2.5-3.5 µm,","Microascus longirostris_15322_13417","Ascospores","3-4.5 x 2.5-3.5",3.75,3,NA,NA,NA
"ascospores falcate to lunate (concavoconvex to planoconvex in face view and fusoidal in edge view), long and narrow (l:w ca 3:1), 6-8 x 2-2.5 µm","Microascus nidicola_35441_17326","ascospores","3:1)6-8 x 2-2.5",6,2.25,NA,NA,NA
"Ascospores fusiform to ellipsoid, curved, slightly constricted at the 3 transverse septa, 20-28 x 6-9 µm.","Sphaeria pulicaris_119960_14347","Ascospores","20-28 x 6-9",24,7.5,NA,NA,NA
"ascospores into the perithecium centrum. Ascospores red-brown, plano-convex to somewhat èllipsoidal, 8-11 x 4.5-5.5 µm,","Microascus sordidus_35443_13699","ascospores","8-11 x 4.5-5.5",9.5,5,NA,NA,NA
"Ascospores red-brown, plano-convex to somewhat èllipsoidal, 8-11 x 4.5-5.5 µm,","Microascus sordidus_35443_13699","Ascospores","8-11 x 4.5-5.5",9.5,5,NA,NA,NA
"Ascospores arranged obliquely uniseriately to biseriately, 13-17 x 7-8 µm,","Diachora onobrychidis_120661_15950","Ascospores","13-17 x 7-8",15,7.5,NA,NA,NA
"Ascospores equally 2-celled, broadly ellipsoidal with broadly rounded, rarely somewhat tapering ends, verruculose, hyaline or pale brown, (9.5-)11-12-12.5(-15)-(4.5-)5.5-5.5-6(-7) µm.","Nectria desmazieri_17348_45240","Ascospores","(9.5-)11-12-12.5(-15)-(4.5-)5.5-5.5-6(-7)",9.75,NA,NA,NA,NA
"Ascospores clavate, hyaline becoming brown, smooth, 33-40 x 11-14 µm,","Meliola uvariae_165471_52157","Ascospores","33-40 x 11-14",36.5,12.5,NA,NA,NA
"Ascospores monostichous in the ascus, 3-5 transversely septate, with one incomplete vertical septum in some of the cells and oblique septum in the end cells, 16-25 x 7-9 µm,","Sphaeria pithyophila_415447_26550","Ascospores","16-25 x 7-9",20.5,8,NA,NA,NA
"Ascospores arranged usually obliquely uniseriately, 15,5-19 x 8,5-11 µm","Sphaeria astragali_203128_18571","Ascospores","15,5-19 x 8,5-11",17.25,9.75,NA,NA,NA
"Ascospores subreniform, 14-7 x 10-12 µm.","Podosphaera clandestina_120724_14445","Ascospores","14-7 x 10-12",10.5,11,NA,NA,NA
"Ascospores fasciculate, 52-85 x 1.5-1.8(-2.0) µm,","Phacidium delta_165570_55038","Ascospores","52-85 x 1.5-1.8(-2.0)",68.5,1.8,NA,NA,NA
"Ascospores 8, ovate to ellipsoidal, 18-30 x 12-15 µm.","Podosphaera tridactyla_120671_14012","Ascospores","18-30 x 12-15",24,13.5,NA,NA,NA
"Ascospores ellipsoid, flattened on one side, with one large guttule and usually two smaller ones, covered with a gelatinous sheath which is attenuated at each end into a conical, hyaline appendage, the sheath somewhat wrinkled or smooth, and, when fresh, (32-)33-37(-39) x (12-)13-15 µ. Spores from dried specimens, mounted in water, generally shrunken and (23-)27-30(-36) x (9.5-)11-12.6(13.8) µm,","Discina macrospora_245240_13021","Ascospores","(23-)27-30(-36) x (9.5-)11-12.6(13.8)",28.5,11.8,NA,NA,NA
"Ascospores spherical and spiny, 15-19 µm","Terfezia olbiensis_245256_61500","Ascospores","15-19",17,NA,NA,NA,NA
"Ascospores uni-or biseriate, allantoid, dilute-brownish, (6.5-)7.5-10(-12.5)-2-2.5 µm.","Sphaeria quaternata_119954_46909","Ascospores","(6.5-)7.5-10(-12.5)-2-2.5",11.25,NA,NA,NA,NA
"Ascospores (15-)17-24 x 5-7(-8) µm,","Didymosphaeria serrulata_356318_18787","Ascospores","(15-)17-24 x 5-7(-8)",17,7,NA,NA,NA
"Ascospores faintly yellowish in mass, hyaline to faintly tinted singly, usually slightly curved, ends rounded, tapering more towards the base, (70-) 80-100 (-110) x 2,5-3 µm,","Ophiobolus graminis_11162_14343","Ascospores","(70-) 80-100 (-110) x 2,5-3",90,2.75,NA,NA,NA
"Ascospores broadly reniform, 5-6 x 3.5-4.5 µm,","Penicillium brevicaule_36466_11862","Ascospores","5-6 x 3.5-4.5",5.5,4,NA,NA,NA
"Ascospores 1-septate, slightly constricted at the septum, clear reddish brown, hemispores unequal, upper hemispore wider and slightly pointed, (20-)24-27 x 11-12 µm,","Didymosphaeria spartii_8525_31257","Ascospores","(20-)24-27 x 11-12",24,11.5,NA,NA,NA
"ascospores per ascus, clavate to spindle-shape, long-stipitate, p. sp. (62-)80-100(-125) x 12.5-18(-25) µm","Valsa ampelina_390933_40659","ascospores",". (62-)80-100(-125) x 12.5-18(-25)",90,18,NA,NA,NA
"Ascospores subhyaline to light brown in mass, allantoid, (7-)8-10(-12) x 2-2.5 µm","Valsa ampelina_390933_40659","Ascospores","(7-)8-10(-12) x 2-2.5",9,2.25,NA,NA,NA
"Ascospores ellipsoid to ellipsoid-clavate or fusoid to fusoid-clavate, aseptate, developing one septum with old age, *(6-)7-11(-12.5)-(2.8-)3-3.8(-4) µm","Trichopeziza hepaticicola_245420_30839","Ascospores","*(6-)7-11(-12.5)-(2.8-)3-3.8(-4)",7.65,NA,NA,NA,NA
"ascospores irregularly 1-seriate, 12-13 x 5-6 µm,","Sphaeria peziza_165755_23274","ascospores","12-13 x 5-6",12.5,5.5,NA,NA,NA
"ascospores ellipsoid, 1-septate, maturitate with longitdinal striations on the outer spore wall, 12-15 x 5-7 µm;","Sphaeria peziza_165755_23274","ascospores","12-15 x 5-7",13.5,6,NA,NA,NA
"Ascospores (19.5-)21.9+-3.1(-27.5) x (3-)4.5+-0.7(-5.5) µm","Sphaeria duplex var. nardi_408656_54520","Ascospores","(19.5-)21.9+-3.1(-27.5) x (3-)4.5+-0.7(-5.5)",21.9,4.5,NA,NA,NA
"Ascospores round, ovate or almost elliptic; they measure 4-7 x 3,5 µm","Exoascus pruni_118011_15495","Ascospores","4-7 x 3,5",5.5,3.5,NA,NA,NA
"Ascospores hyaline, guttulate, thick-walled, medianly 1-septate, constricted at septum, fusoid-ellipsoidal, widest in the middle of the apical cell, which is acutely rounded, while the lower cell is subobtusely rounded, (10-)12-13(-14) x (3-)3.5-4(-5) µm.","Labrella pomi_415450_17482","Ascospores","(10-)12-13(-14) x (3-)3.5-4(-5)",12.5,3.75,NA,NA,NA
"Ascospores germinating after 24 h on MEA, becoming brown and verruculose, with a visible mucoid sheath surrounding the spore on the agar surface, slightly or not constricted at the septum, 4-5 µm","Labrella pomi_415450_17482","Ascospores","4-5",4.5,NA,NA,NA,NA
"ascospores obliquely arranged in uniseriate or partially biseriate manner, cylindrical or clavate, 175-250 µm","Nummularia carabayanse_342731_52991","ascospores","175-250",31.25,17.25,NA,NA,NA
"Ascospores dark brown, ellipsoid, equilateral, unicellular, with narrowly rounded ends, 27.5-35 3 15-19.5 µm,","Nummularia carabayanse_342731_52991","Ascospores","27.5-35 3 15-19.5",31.25,17.25,NA,NA,NA
"Ascospores distichously arranged in the asci, elongate-ellipsoid, rounded at the apices, 1-septate, cells equal in size or the lower slightly smaller, slightly constricted at the septum, pale brown, almost smooth or with a very weak verruculose ornamentation, not guttulate, lacking a distinct gelatinous sheath, (14-)15-17.5 x 5-6.5(-7) µm.","Sphaeria recessa_356617_46884","Ascospores","(14-)15-17.5 x 5-6.5(-7)",15,6.5,NA,NA,NA
"Ascospores 15-18 x 7.5-8.5 µm,","Didymosphaeria sphaerophora_356640_18789","Ascospores","15-18 x 7.5-8.5",16.5,8,NA,NA,NA
"ascospores per ascus, clavate to spindle-shape, long-stipitate, p. sp. (62-)80-100(-125) x 12.5-18(-25) µm","Cryptovalsa ampelina_350641_40659","ascospores",". (62-)80-100(-125) x 12.5-18(-25)",90,18,NA,NA,NA
"Ascospores subhyaline to light brown in mass, allantoid, (7-)8-10(-12) x 2-2.5 µm","Cryptovalsa ampelina_350641_40659","Ascospores","(7-)8-10(-12) x 2-2.5",9,2.25,NA,NA,NA
"Ascospores ellipsoid, dark brown to blackish brown, 15-22 x 6-9 µm,","Didymosphaeria massarioides_120817_15942","Ascospores","15-22 x 6-9",18.5,7.5,NA,NA,NA
"ascospores arranged uniseriate to irregularly biseriate, often overlapping. Ascospores fusiform, straight to slightly curved, one-septate, submedian, no constriction at septum, 1-4 guttules, (8-)8.5-9.5(-10) x (1-)2-2.5 µm","Gnomonia occulta_356723_38513","ascospores","(8-)8.5-9.5(-10) x (1-)2-2.5",9,2,NA,NA,NA
"Ascospores fusiform, straight to slightly curved, one-septate, submedian, no constriction at septum, 1-4 guttules, (8-)8.5-9.5(-10) x (1-)2-2.5 µm","Gnomonia occulta_356723_38513","Ascospores","(8-)8.5-9.5(-10) x (1-)2-2.5",9,2,NA,NA,NA
"Ascospores minute, (5-)6-9(-11) x 1.5 µm","Diatrypella verruciformis_117838_40665","Ascospores","(5-)6-9(-11) x 1.5",7.5,1.5,NA,NA,NA
"ascospores 10-14 x 8-12 µm","Neocosmospora vasinfecta_17551_23276","ascospores","10-14 x 8-12",12,10,NA,NA,NA
"ascospores subglobose to ellipsoidal, 12-16 x 9-10.5 µm,","Neocosmospora vasinfecta_17551_23276","ascospores","12-16 x 9-10.5",14,9.75,NA,NA,NA
"ascospores subglobose to ovoid, 9-10.5 x 8.5-10 µm,","Neocosmospora vasinfecta_17551_23276","ascospores","9-10.5 x 8.5-10",9.75,9.25,NA,NA,NA
"ascospores mostly globose, 7-10 µm","Neocosmospora vasinfecta_17551_23276","ascospores","7-10",8.5,NA,NA,NA,NA
"Ascospores uniseriate, ellipsoid, 13-15 x 10.5-12 µm,","Neocosmospora vasinfecta_17551_23276","Ascospores","13-15 x 10.5-12",14,11.25,NA,NA,NA
"ascospores globose to subglobose, rough and wrinkled, 7.6-8.4 x 8-11.5 µm","Neocosmospora vasinfecta_17551_23276","ascospores","7.6-8.4 x 8-11.5",8,9.75,NA,NA,NA
"Ascospores large, cylindrical to pyriform, sometimes slightly curved, variable in size, 25-40 x 12-22 µm.","Erysiphe taurica_245853_14007","Ascospores","25-40 x 12-22",32.5,17,NA,NA,NA
"Ascospores hyaline to pale brown, obovate, 1-septate, straight or inaequilateral, 22-26 x 6-7,5 µm.","Phyllachora trifolii_118767_14357","Ascospores","22-26 x 6-7,5",24,6.75,NA,NA,NA
"Ascospores hyaline, obovate, straight, or inequilateral, 22-27 x 67.5 µm.","Phyllachora trifolii_118767_26521","Ascospores","22-27 x 67.5",24.5,67.5,NA,NA,NA
"Ascospores oblivaceous to brown, elliptical to clavate, straight to inequilateral, ends rounded, septate in the middle, above or below, slightly constricted, smooth or finely roughened, with or without a gelatinous sheath, 8-14 x 4-6 µm.","Sphaerella macularis_245883_14367","Ascospores","8-14 x 4-6",11,5,NA,NA,NA
"ascospores oblong-oval or subcymbiform, straight or curved, obtuse, three-septate, constricted at the septa, 22-34 x 8-9 µm.","Calonectria coccidophaga_245884_47395","ascospores","22-34 x 8-9",28,8.5,NA,NA,NA
