"good.names","Synonyms","Family","Order","dim1.min2","dim1.min","dim1.max","dim1.max2","dim2.min2","dim2.min","dim2.max","dim2.max2","shape","EquatorialAxis","PolarAxis","EquatorialAxis_2","PolarAxis_2","SporeVolume","SporeVolume_2","Dimension_units","Volume_units","Phylum","SporeArea","spore_type"
"Ambispora_appendicula","Acaulospora_appendicula Appendicispora_appendicula  Paracaulospora_appendicula","Ambisporaceae","Archaeosporales",120,120,240,280,120,120,240,280,"globose",180,180,200,200,3053628.05928928,4188790.20478639,"Micrometers","Cubic micrometers","Glomeromycota",25446.9004940773,"Azygospores"
"Ambispora_appendicula","Acaulospora_appendicula Appendicispora_appendicula  Paracaulospora_appendicula","Ambisporaceae","Archaeosporales",170,250,250,390,170,250,250,390,"globose",250,250,280,280,8181230.86872342,11494040.3219339,"Micrometers","Cubic micrometers","Glomeromycota",49087.3852123405,"Azygospores"
"Ambispora_callosa","Glomus_callosum Appendicispora_callosa","Ambisporaceae","Archaeosporales",84,84,319,319,84,84,300,300,"globose to subglobose to ellipsoid",192,201.5,192,201.5,3889341.97062662,3889341.97062662,"Micrometers","Cubic micrometers","Glomeromycota",30385.4841455205,"Azygospores"
"Ambispora_fecundispora","Glomus_fecundisporum Appendicispora_fecundispora","Ambisporaceae","Archaeosporales",60,107,107,155,60,107,107,155,"globose",107,107,107.5,107.5,641431.014855267,650465.122679593,"Micrometers","Cubic micrometers","Glomeromycota",8992.02357273739,"Azygospores"
"Ambispora_fennica","Appendicispora_fennica","Ambisporaceae","Archaeosporales",38,38,130,130,38,38,117,117,"globose to subglobose",77.5,84,77.5,84,264168.672258732,264168.672258732,"Micrometers","Cubic micrometers","Glomeromycota",5112.94204371739,"Azygospores"
"Ambispora_fennica","Appendicispora_fennica","Ambisporaceae","Archaeosporales",124,124,201,201,134,134,201,201,"globose to subglobose",162.5,167.5,162.5,167.5,2315901.92816388,2315901.92816388,"Micrometers","Cubic micrometers","Glomeromycota",21377.5562599743,"Azygospores"
"Ambispora_gerdemannii","Glomus_gerdemannii Appendicispora_gerdemannii Archaeospora_gerdemannii","Ambisporaceae","Archaeosporales",40,80,80,120,40,80,80,120,"globose to subglobose",80,80,80,80,268082.573106329,268082.573106329,"Micrometers","Cubic micrometers","Glomeromycota",5026.54824574367,"Azygospores"
"Ambispora_gerdemannii","Glomus_gerdemannii Appendicispora_gerdemannii Archaeospora_gerdemannii","Ambisporaceae","Archaeosporales",160,212,212,260,160,212,212,260,"globose to subglobose",212,212,210,210,4988916.15454387,4849048.26081585,"Micrometers","Cubic micrometers","Glomeromycota",35298.9350557349,"Azygospores"
"Ambispora_granatensis",NA,"Ambisporaceae","Archaeosporales",25,40,70,70,25,40,70,70,"globose to subglobose",55,55,47.5,47.5,87113.746290167,56115.0625285739,"Micrometers","Cubic micrometers","Glomeromycota",2375.82944427728,"Azygospores"
"Ambispora_granatensis",NA,"Ambisporaceae","Archaeosporales",92,92,145,145,92,92,145,145,"globose to subglobose",118.5,118.5,118.5,118.5,871271.831437458,871271.831437458,"Micrometers","Cubic micrometers","Glomeromycota",11028.7573599678,"Azygospores"
