names_to_use,simpleFunct,taxon,disease,simpleFunct,citationSource,,,,notes,,,
Graphium penicillioides,Plant Pathogen undefined,Graphium penicillioides,associated_with_bark_beetles,NA,"JACOBS, Karin; KIRISITS, Thomas; WINGFIELD, Michael J. Taxonomic re-evaluation of three related species of Graphium, based on morphology, ecology and phylogeny. Mycologia, 2003, 95. Jg., Nr. 4, S. 714-727.",,,,,,,
Graphium rigidum,Plant Pathogen undefined,Graphium rigidum,wood_stains,NA,https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofSweetgum.aspx,,,,,,,
Graphium rigidum,Plant Pathogen undefined,Ceratopodium rigidum,wood_stains,NA,NA,,,,,,,
Graphium rigidum,Plant Pathogen undefined,Stilbum rigidum,wood_stains,NA,NA,,,,,,,
Gymnosporangium libocedri,Plant Pathogen undefined,Gymnosporangium libocedri,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Conifer.aspx,,,,,,,
Gymnosporangium libocedri,Plant Pathogen undefined,Phragmidium libocedri,rusts,Rust,NA,,,,,,,
Haplobasidion musae,Plant Pathogen undefined,Haplobasidion musae,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/BananaandPlantain.aspx,,,,,,,
Hericium coralloides,Plant Pathogen undefined,Hericium coralloides,saprotroph,Saprotroph,"Boddy et al., 2011, Fungal Ecology, 4(2), 163–173. ",,,,,,,
Hericium coralloides,Plant Pathogen undefined,Hydnum coralloides,saprotroph rots,Saprotroph,NA,,,,,,,
Hericium coralloides,Plant Pathogen undefined,Dryodon coralloides,saprotroph rots,Saprotroph,NA,,,,,,,
Hericium coralloides,Plant Pathogen undefined,Friesites coralloides,saprotroph rots,Saprotroph,NA,,,,,,,
Hericium coralloides,Plant Pathogen undefined,Manina coralloides,saprotroph rots,Saprotroph,NA,,,,,,,
Hericium coralloides,Plant Pathogen undefined,Medusina coralloides,saprotroph rots,Saprotroph,NA,,,,,,,
Hericium coralloides,Plant Pathogen undefined,Merisma coralloides,saprotroph rots,Saprotroph,NA,,,,,,,
Hyphodermella corrugata,Plant Pathogen undefined,Hyphodermella corrugata,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Cherry.aspx,,,,Wood rots (Pathogenicity has not been proven for these fungi),,,
Hyphodermella corrugata,Plant Pathogen undefined,Grandinia corrugata,rots,Plant necrotroph,NA,,,,,,,
Hyphodermella corrugata,Plant Pathogen undefined,Odontia corrugata,rots,Plant necrotroph,NA,,,,,,,
Hypoxylon fuscum,Plant Pathogen undefined,Hypoxylon fuscum,saprotroph,Saprotroph,"Rogers, J. D. (1966). Notes on the conidial stage of Hypoxylon fuscum. Mycologia, 58(3), 459-465.",,,,,,,
Mariannaea elegans,Plant Pathogen undefined,Mariannaea elegans,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Documents/Archive/CornorMaize.aspx,,,,,,,
Melanospora zamiae,Plant Pathogen undefined,Melanospora zamiae,hyperparasite,Hyperparasite,"Jordan, E. G., & Barnett, H. L. (1978). Nutrition and parasitism of Melanospora zamiae. Mycologia, 70(2), 300-312.",,,,,,,
