"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","V4"
"sporangiospores, some collapsing dorsiventrally; oval to irregular spore-1ike bodies formed in some sporangia as a layer in the upper half to two-thirds of the sporangium, as many as 100 or more sometimes formed per sporangium; sporelike bodies gray, smooth with thin to thick walls, 10-40 x 9-10 µm,","Rhizopus arrhizus var. rouxii_430495_249","sporangiospores,","10-40 x 9-10 µ","25","9.5",NA,NA
"sporangiospores, some collapsing dorsiventrally; oval to irregular spore-1ike bodies formed in some sporangia as a layer in the upper half to two-thirds of the sporangium, as many as 100 or more sometimes formed per sporangium; sporelike bodies gray, smooth with thin to thick walls, 10-40 x 9-10 µm,","Rhizopus chlamydosporus_58743_249","sporangiospores,","10-40 x 9-10 µ","25","9.5",NA,NA
"Sporangiospores, hyaline, globose to subglobose, occasionally smooth-walled, mostly finely roughened, 3.5-6 µm","Sporodiniella umbellata_26074_40477","Sporangiospores,","3.5-6 µ","4.75",NA,NA,NA
"Sporangiospores globose to ellipsoidal, finely roughened, occasionally smooth-walled, hyaline to pale yellow, 3-5.6 x 3-5 µm.","Sporodiniella umbellata_26074_40477","Sporangiospores","3-5.6 x 3-5 µ","4.3","4",NA,NA
"Sporangiospores, hyaline, globose to subglobose, occasionally smooth-walled, mostly finely roughened, 3.5-6 µm","Sporodiniella umbellata_26074_47550","Sporangiospores,","3.5-6 µ","4.75",NA,NA,NA
"Sporangiospores globose to ellipsoidal, finely roughened, occasionally smooth-walled, hyaline to pale yellow, 3-5.6 x 3-5 µm.","Sporodiniella umbellata_26074_47550","Sporangiospores","3-5.6 x 3-5 µ","4.3","4",NA,NA
"Sporangiospores, hyaline, globose to subglobose, occasionally smooth-walled, mostly finely roughened, 3.5-6 µm","Sporodiniella umbellata_269873_40477","Sporangiospores,","3.5-6 µ","4.75",NA,NA,NA
"Sporangiospores globose to ellipsoidal, finely roughened, occasionally smooth-walled, hyaline to pale yellow, 3-5.6 x 3-5 µm.","Sporodiniella umbellata_269873_40477","Sporangiospores","3-5.6 x 3-5 µ","4.3","4",NA,NA
"Sporangiospores, hyaline, globose to subglobose, occasionally smooth-walled, mostly finely roughened, 3.5-6 µm","Sporodiniella umbellata_269873_47550","Sporangiospores,","3.5-6 µ","4.75",NA,NA,NA
"Sporangiospores globose to ellipsoidal, finely roughened, occasionally smooth-walled, hyaline to pale yellow, 3-5.6 x 3-5 µm.","Sporodiniella umbellata_269873_47550","Sporangiospores","3-5.6 x 3-5 µ","4.3","4",NA,NA
"Sporangiospores subglobose, ovoid, angular ovoid, or slightly cylindrical, 3.2-9 x 2.5-6.5 µm,","Thamnidium anomalum_26979_34594","Sporangiospores","3.2-9 x 2.5-6.5 µ","6.1","4.5",NA,NA
"Sporangiospores doliiform, distinctly verruculose in centre of the polar surfaces and a circular band laterally, subhyaline, grey in mass, (5.5) 6.5-7 (8) µm","Utharomyces epallocaulus_28492_23410","Sporangiospores","(5.5) 6.5-7 (8) µ","6.75",NA,NA,NA
"sporangiospores, 5-10 (-13) µm","Apophysomyces atrospora_11_130","sporangiospores,","5-10 (-13) µ","10",NA,NA,NA
"Sporangiospores varying from 30 to many in number, hyaline, smooth-walled, oblong, sometimes reniform, 4-9 x 3-6 µm,","Actinomortierella ambigua_104788_23292","Sporangiospores","4-9 x 3-6 µ","6.5","4.5",NA,NA
"Sporangiospores short cylindrical or kidney-shaped, with a double wall, (3,5-) 5-8,5 (-13) x (2-) 4-5 (-5,5) µm.","Actinomortierella wolfii_184283_14829","Sporangiospores","(3,5-) 5-8,5 (-13) x (2-) 4-5 (-5,5) µ","6.75","4.5",NA,NA
"Sporangiospores ellipsoidal to reniform, 3.3-13.2 x 2.2-5.5 µm.","Actinomortierella wolfii_184283_23296","Sporangiospores","3.3-13.2 x 2.2-5.5 µ","8.25","3.85",NA,NA
"sporangiospores subglobose, ovoid, or slightly reniform, 4-8 x 3.2-6.4 µm","Backusella ctenidia_2977_34589","sporangiospores","4-8 x 3.2-6.4 µ","6","4.8",NA,NA
"sporangiospores subglobose, ovoid, or reniform, variable in size, 4-17.5 x 3.5-13 µm","Backusella ctenidia_2977_34589","sporangiospores","4-17.5 x 3.5-13 µ","10.75","8.25",NA,NA
"Sporangiospores in terminal sporangia and multispored sporangiola alike, mostly subglobose, (6.8-)8-13(-14.5) x (6.4-)7.6-13(-14) µm","Backusella lamprospora_2980_34587","Sporangiospores","(6.8-)8-13(-14.5) x (6.4-)7.6-13(-14) µ","10.5","10.3",NA,NA
"sporangiospores. Sporangiospores ovoid, rounded, some ellipsoidal, or irregular, greyish, pale olive green to greyish chestnut, with homogeneous or granular content, 4.0-24.6(-29) x 3.5-21.2 µm.","Backusella lamprospora_2980_52497","sporangiospores.","4.0-24.6(-29) x 3.5-21.2 µ","24.6","12.35",NA,NA
"Sporangiospores ovoid, rounded, some ellipsoidal, or irregular, greyish, pale olive green to greyish chestnut, with homogeneous or granular content, 4.0-24.6(-29) x 3.5-21.2 µm.","Backusella lamprospora_2980_52497","Sporangiospores","4.0-24.6(-29) x 3.5-21.2 µ","24.6","12.35",NA,NA
"sporangiospores. Multisporous sporangia and sporangiola absent. Homothallic. Zygospores formed in great numbers between opposed progametangia arising from aerial hyphae near the surface of the substrate; zygospores globose, black, coarsely roughened with conical, blunt, rounded, or pointed projections 5-10 µm","Benjaminia poitrasii_182762_213","sporangiospores.","5-10 µ","7.5",NA,NA,NA
"Sporangiospores light brown, oval to almost ellipsoid, smooth, thin-walled 2-2.5 x 1.5 µm.","Siepmannia pineti_457786_26157","Sporangiospores","2-2.5 x 1.5 µ","2.25","1.5",NA,NA
"Sporangiospores more or less regular in size and shape, pale brown in mass, globose, angular, smooth-walled, 1.5-2 µm","Siepmannia lariceti_457787_26159","Sporangiospores","1.5-2 µ","1.75",NA,NA,NA
"Sporangiospores ellipsoid, (9.5-)11.5-14.5(-18) µm","Circinella naumovii_5357_34463","Sporangiospores","(9.5-)11.5-14.5(-18) µ","13",NA,NA,NA
"sporangiospores pale yellow in mass. abruptly attenuated, fusoid-cylindrical, truncate be-1ow, 10-13 x 1-1.5 enveloped in liquid at maturity; homothallic ; zygospores developed from the conjugation of a short undifferentiated branch with a vegetative hypha and formed by the enlargement of a cell delimited in the sexual branch, globose, nearly colorless, thick-walled, smooth, about 36 µm","Coemansia nantahalensis_5842_23168","sporangiospores","36 µ","36",NA,NA,NA
"Sporangiospores like the sporangiola in size and shape; wall thin, smooth. Zygospores globose to subglobose, (35-)40-60(-80) µm","Dichotomocladium elegans_8363_35334","Sporangiospores","(35-)40-60(-80) µ","50",NA,NA,NA
"Sporangiospores like the sporangiola in size and shape; wall thin, smooth. Zygospores globose to subglobose, (40-)50-70(-85) µm","Dichotomocladium robustum_8366_34604","Sporangiospores","(40-)50-70(-85) µ","60",NA,NA,NA
"Sporangiospores subglobose, ovoid, angular ovoid, or slightly cylindrical, 3.2-9 x 2.5-6.5 µm,","Ellisomyces anomalus_9281_34594","Sporangiospores","3.2-9 x 2.5-6.5 µ","6.1","4.5",NA,NA
"Sporangiospores from sporangia and sporangiola differing in size and shape; sporangiophores from sporangia ellipsoidal or oblong, rarely slightly curved, subhyaline, smooth, thin-walled, 5.0-8.2 x 2-3-4.6 µm;","Fennellomyces heterothallicus_34794_190","Sporangiospores","5.0-8.2 x 2-3-4.6 µ","6.6","3",NA,NA
"sporangiospores from multistoried sporangiola broadly ellipsoidal, ovoid or subglobose, smooth, slightly thicker-walled than those from sporangia, 4-6-9-7 x 3-4-5-7 µm.","Fennellomyces heterothallicus_34794_190","sporangiospores","4-6-9-7 x 3-4-5-7 µ","7.5","4.5",NA,NA
"Sporangiospores simple or sympodially branched, arising directly from the substrate mycelium, rarely from stolons, erect or ascending, of two kinds: (1) tall sporophores reaching 1.5 cm or more in height, 6-18 µm","Fennellomyces linderi_10325_34591","Sporangiospores","6-18 µ","8","6.25",NA,NA
"Sporangiospores from sporangia and multispored sporangiola alike, ovoid to ellipsoid, (5-) 610(-12.5) x (4-)5-7.5 µm,","Fennellomyces linderi_10325_34591","Sporangiospores","(5-) 610(-12.5) x (4-)5-7.5 µ","8","6.25",NA,NA
"sporangiospores oblong, 3.5-4.5 x 1.6-1.9 µm,","Halteromyces radiatus_12400_7577","sporangiospores","3.5-4.5 x 1.6-1.9 µ","4","1.75",NA,NA
"sporangiospores lunate, fusiform, oblong to reniform, thin-walled, hyaline, smooth, 3.5-10 x 1.5-3.5 µm","Hesseltinella vesiculosa_12833_23160","sporangiospores","3.5-10 x 1.5-3.5 µ","6.75","2.5",NA,NA
"Sporangiospores globose, (6-) 8-14 (-20) µm","Mortierella hyalina_16012_18588","Sporangiospores","(6-) 8-14 (-20) µ","11",NA,NA,NA
"sporangiospores variable in size and shape, but mainly ellipsoidal, 6.5-12 x 4.5-6.5 (14 x 9) µm,","Mucor aligarensis_16206_15868","sporangiospores","6.5-12 x 4.5-6.5 (14 x 9) µ","9.25","6.5",9,NA
"sporangiospores globose, 3.4-5.4 µm","Mucor amphibiorum_16209_15783","sporangiospores","3.4-5.4 µ","4.4",NA,NA,NA
"sporangiospores rarely over 4.5 µm","Mucor amphibiorum_16209_15783","sporangiospores","4.5 µ","4.5",NA,NA,NA
"Sporangiospores 3-5,5 µm","Mucor amphibiorum_16209_18591","Sporangiospores","3-5,5 µ","4.25",NA,NA,NA
"sporangiospores sub-spherical or broadly ellipsoidal, mostly 4-5.5 µm","Mucor minutus_16389_15872","sporangiospores","4-5.5 µ","4.75",NA,NA,NA
"sporangiospores subspherical, mostly 4(-5) µm","Mucor minutus_16389_15872","sporangiospores","4(-5) µ","4.5",NA,NA,NA
"sporangiospores globose, subglobose or short oval, mostly the latter, hyaline, 3-7.5 (9) x 3-6 (7.5) µm,","Mucor minutus_16389_45949","sporangiospores","3-7.5 (9) x 3-6 (7.5) µ","7.5","6",NA,NA
"sporangiospores oblongly ellipsoidal, in young cultures rather uniform, (21.6) 39.2-40.5 x (8.1) 14.9-15.5 µm,","Mucor oblongiellipticus_180617_15792","sporangiospores","(21.6) 39.2-40.5 x (8.1) 14.9-15.5 µ","39.2","14.9",NA,NA
"sporangiospores are globose to broadly ellipsoidal, 30 x 18-20 µm;","Mucor oblongiellipticus_180617_15792","sporangiospores","30 x 18-20 µ","30","19",NA,NA
"sporangiospores variable in shape, ellipsoidal or flattened at one side (7-) 9.5-12.3 (-515-5) x 4-5.4 (-6.8) µm,","Mucor prayagensis_16443_15786","sporangiospores","(7-) 9.5-12.3 (-515-5) x 4-5.4 (-6.8) µ","12.3","5.4",NA,NA
"sporangiospores ellipsoidal, 7.5-10 x 6.5-7.5 µm,","Mucor psychrophilus_16446_15870","sporangiospores","7.5-10 x 6.5-7.5 µ","8.75","7",NA,NA
"sporangiospores being spherical, 8-10 µm","Mucor psychrophilus_16446_15870","sporangiospores","8-10 µ","9",NA,NA,NA
"sporangiospores; at 15-5°C growth and sporulation. Influence of light: colonies grown on beerwort agar at 20 and 15°C in light were more restricted and lower than simultaneous cultures in darkness; the sporangiospores in light-cultures were subglobose, in dark-cultures ellipsoidal. Influence of medium: colonies on SMA were more restricted, the (usual) sporangiospores mixed with unusual large, subglobose 'spores' up to 20 µm","Mucor psychrophilus_16446_15870","sporangiospores;","20 µ","20",NA,NA,NA
"sporangiospores in light-cultures were subglobose, in dark-cultures ellipsoidal. Influence of medium: colonies on SMA were more restricted, the (usual) sporangiospores mixed with unusual large, subglobose 'spores' up to 20 µm","Mucor psychrophilus_16446_15870","sporangiospores","20 µ","20",NA,NA,NA
"sporangiospores mixed with unusual large, subglobose 'spores' up to 20 µm","Mucor psychrophilus_16446_15870","sporangiospores","20 µ","20",NA,NA,NA
"sporangiospores globose, subglobose, broadly ellipsoidal or irregular in shape, 5.4-12.2 x 4-10.8 µm,","Mucor sinensis_16494_15802","sporangiospores","5.4-12.2 x 4-10.8 µ","8.8","7.4",NA,NA
"sporangiospores up to 16.2 µm","Mucor sinensis_16494_15802","sporangiospores","16.2 µ","16.2",NA,NA,NA
"sporangiospores subglobose, occasionally ellipsoidal, 3-4 µm","Mucor tauricus_24324_15806","sporangiospores","3-4 µ","3.5",NA,NA,NA
"sporangiospores irregularly polyhedral with rounded protrusions, 10-12 µm","Mucor tuberculisporus_16507_15791","sporangiospores","10-12 µ","11",NA,NA,NA
"sporangiospores were subglobose, 10.8-13.5 µm","Mucor tuberculisporus_16507_15791","sporangiospores","10.8-13.5 µ","12.15",NA,NA,NA
"sporangiospores ellipsoidal, rather uniform, mostly 7 x 4 µm","Mucor ucrainicus_16510_15795","sporangiospores","7 x 4 µ","7","4",NA,NA
"sporangiospores variable in shape and size, oblong ellipsoidal, ellipsoidal, planoconvex, a few globose, 5.5-13.5 x 3.5-8 µm,","Mucor variosporus_430661_15771","sporangiospores","5.5-13.5 x 3.5-8 µ","9.5","5.75",NA,NA
"sporangiospores. Multisporous sporangia and sporangiola absent. Homothallic. Zygospores formed in great numbers between opposed progametangia arising from aerial hyphae near the surface of the substrate; zygospores globose, black, coarsely roughened with conical, blunt, rounded, or pointed projections 5-10 µm","Mycotypha poitrasii_182763_213","sporangiospores.","5-10 µ","7.5",NA,NA,NA
"sporangiospores (15-)21(-25) x (1.5-)2.8(-4) µm,","Amoebidium appalachense_431509_19241","sporangiospores","(15-)21(-25) x (1.5-)2.8(-4) µ","21","2.8",NA,NA
"Sporangiospores 3-5 µm","Rhizomucor miehei_24309_14827","Sporangiospores","3-5 µ","4",NA,NA,NA
"sporangiospores subglobose, a few ellipsoidal, 3-4 µm","Rhizomucor miehei_24309_15804","sporangiospores","3-4 µ","3.5",NA,NA,NA
"Sporangiospores globose to subglobose, occasionally oval, 2,5-4 µm,","Rhizomucor pusillus_24314_13940","Sporangiospores","2,5-4 µ","3.25",NA,NA,NA
"Sporangiospores 3-5 (-5,5) µm","Rhizomucor pusillus_24314_14826","Sporangiospores","3-5 (-5,5) µ","5",NA,NA,NA
"sporangiospores subglobose, a few ellipsoidal, 3-4 µm","Rhizomucor pusillus_24314_15805","sporangiospores","3-4 µ","3.5",NA,NA,NA
"sporangiospores subglobose, occasionally ellipsoidal, 3-4 µm","Rhizomucor tauricus_24323_15806","sporangiospores","3-4 µ","3.5",NA,NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, (3.6-)4.8-6.4(-6.8) x (2-) 2.4-3.2 µm","Thamnostylum nigricans_26992_34494","Sporangiospores","(3.6-)4.8-6.4(-6.8) x (2-) 2.4-3.2 µ","5.6","2.4",NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, (4-)5.2-7.2(-9.2) x (3.2-)4-5.6(-6) pin (av. 6.5 x 4.5 sm); 5-32 per sporangiole, Zygospores on MEYE globose to subglobose, 70-175 µm","Thamnostylum piriforme_26995_34492","Sporangiospores","70-175 µ","6.5","4.5",NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoidal, (4.4-)4.8-7.2(-7.6) x (3.6-)4-5.2 (-6) µm","Thamnostylum repens_27005_34495","Sporangiospores","(4.4-)4.8-7.2(-7.6) x (3.6-)4-5.2 (-6) µ","6","4.6",NA,NA
"sporangiospores subglobose, hyaline, slightly brownish en masse, smooth, 3.5-6(6.5) µm","Thermomucor indicae-seudaticae_27075_192","sporangiospores","3.5-6(6.5) µ","6",NA,NA,NA
"sporangiospores globose, subglobose to ovate, globose ones 3.3-5.5 µm","Thermomucor indicae-seudaticae_27075_196","sporangiospores","3.3-5.5 µ","4.4",NA,NA,NA
"sporangiospores smooth, globose, thin-walled, greyish in mass, 5.5-7 µm.","Utharomyces indicus_181947_23164","sporangiospores","5.5-7 µ","6.25",NA,NA,NA
"Sporangiospores ovoid to ellipsoid, (4.8-)6-7(-13.5) x (3.2-)4-5.5(-10) µm,","Zychaea mexicana_29436_34600","Sporangiospores","(4.8-)6-7(-13.5) x (3.2-)4-5.5(-10) µ","6.5","4.75",NA,NA
"sporangiospores 3-4 x 2.2 µm","Absidia anomala_9_7560","sporangiospores","3-4 x 2.2 µ","3.5","2.2",NA,NA
"sporangiospores (2.5-)3.5-4(-5.5) µm,","Absidia californica_18_324","sporangiospores","(2.5-)3.5-4(-5.5) µ","3.75",NA,NA,NA
"Sporangiospores (4,2-) 5,3-6,7 (8,4) µm","Absidia macrospora_87_320","Sporangiospores","(4,2-) 5,3-6,7 (8,4) µ","6",NA,NA,NA
"sporangiospores 2.5 x 3.5-5 µm","Absidia pseudocylindrospora_92_135","sporangiospores","2.5 x 3.5-5 µ","2.5","4.25",NA,NA
"sporangiospores 3.8-5 x 2.2-3.5 µm,","Absidia psychrophilia_95_7567","sporangiospores","3.8-5 x 2.2-3.5 µ","4.4","2.85",NA,NA
"sporangiospores very small, 1.6-3.3 x 1.6-2.2 µm,","Absidia zychae_109_25918","sporangiospores","1.6-3.3 x 1.6-2.2 µ","2.45","1.9",NA,NA
"Sporangiospores numerous, hyaline, smooth-walled, globose to subglobose 5.5-10 µm,","Actinomortierella vesiculosa_184282_23294","Sporangiospores","5.5-10 µ","7.75",NA,NA,NA
"Sporangiospores in terminal sporangia and multispored sporangiola alike, subglobose to ovoid, (6.4-)7.2-10(-12.8) x (5.6-)6.4-9.2(-10) µm","Backusella circina_2971_34590","Sporangiospores","(6.4-)7.2-10(-12.8) x (5.6-)6.4-9.2(-10) µ","8.6","7.8",NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, reddish-brown, longitudinally striate, (12-) 16-22 (-26) µm","Blakeslea monospora_58766_408","Sporangiospores","(12-) 16-22 (-26) µ","19",NA,NA,NA
"sporangiospore, with a persistent wall, minutely spinescent, hyaline, breaking along a performed suture at maturity into 1-2 segments, attached to the spherical enlargements by a small, cylindrical pedicel, 2-5 µm","Blakeslea monospora_58766_408","sporangiospore,","2-5 µ","3.5",NA,NA,NA
"Sporangiospores from sporangiota ellipsoid to broadly ellipsoid, reddish brown, longitudinally striate, (14-) 20-26 (-32) µm","Blakeslea monospora_58766_408","Sporangiospores","(14-) 20-26 (-32) µ","23",NA,NA,NA
"Sporangiospores ovoid to ellipsoid or reniform, less commonly irregular in shape, (7-)8-10(-12.5) µm","Circinella circinans_41094_34462","Sporangiospores","(7-)8-10(-12.5) µ","9",NA,NA,NA
"sporangiospores. Multisporous sporangia and sporangiola absent. Homothallic. Zygospores formed in great numbers between opposed progametangia arising from aerial hyphae near the surface of the substrate; zygospores globose, black, coarsely roughened with conical, blunt, rounded, or pointed projections 5-10 µm","Cokeromyces poitrasii_33006_213","sporangiospores.","5-10 µ","7.5",NA,NA,NA
"sporangiospores and often containing a pseudocolumella; wall relatively thick except in spines, smooth, apices bearing 1-6 spines, or composed of a three-sided structure that is proximally constricted. Spines smooth, conical, straight to somewhat curved, 3.8-19 µm","Echinosporangium transversale_9255_17772","sporangiospores","3.8-19 µ","11.4",NA,NA,NA
"Sporangiospores globose to irregular in shape, 6.4-22 x 7.6-25 µm,","Echinosporangium transversale_9255_17772","Sporangiospores","6.4-22 x 7.6-25 µ","14.2","16.3",NA,NA
"sporangiospores, sometimes with aerial mycelium mixed in with sporangiophores; colony reverse Deep Olive-Buff, Light Olive-Gray, Olive-Buff, Tea Green or Vetiver Green, in age Dark Olive-Buff; sporangiophores arising mostly from substrate mycelium, often covered with droplets of exudate, hyaline below, light brown to grayish blue above, not septate, enlarging gradually above to the region of the curvature and then reduced in diameter just below the sporangium, often minutely roughened below sporangium, typically unbranched, erect although in age sometimes appearing collapsed, up to 40-50 µm","Gilbertella persicaria_46582_428","sporangiospores,","40-50 µ","45",NA,NA,NA
"sporangiospores (figs. 5, 6, 7) 5-13 x 4.5-11 µm,","Gilbertella persicaria_46582_428","sporangiospores",". 567) 5-13 x 4.5-11 µ","5","7.75",NA,NA
"Sporangiospores numerous, variable in shape, globose to short oval or rather irregular with a papilla at each end, 5-13 x 5-11 (up to 8,5-17) µm;","Gilbertella persicaria_46582_13938","Sporangiospores","8,5-17) µ","12.75",NA,NA,NA
"sporangiospores 2.8-4.5 x 5.5-9 µm","Gongronella lacrispora_12149_137","sporangiospores","2.8-4.5 x 5.5-9 µ","3.65","7.25",NA,NA
"sporangiospore contents hyaline to light huff, finely granular; chlamydospores to 8.5 x 11 µm","Gongronella lacrispora_12149_137","sporangiospore","8.5 x 11 µ","8.5","11",NA,NA
"Sporangiospores numerous in the terminal sporangium, in sporangiola 12-24 only, ellipsoidal hyaline 4.4-7.7 x 2.2-4.4 µm","Helicostylum cordense_12662_209","Sporangiospores","4.4-7.7 x 2.2-4.4 µ","6.05","3.3",NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, 3-7 x 2-4 µm","Helicostylum lucknowense_12669_34493","Sporangiospores","3-7 x 2-4 µ","5","3",NA,NA
"Sporangiospores varying from 30 to many in number, hyaline, smooth-walled, oblong, sometimes reniform, 4-9 x 3-6 µm,","Mortierella ambigua_15866_23292","Sporangiospores","4-9 x 3-6 µ","6.5","4.5",NA,NA
"sporangiospores 2.2-4.5 x 1.6-2.5 µm,","Mortierella butleri_168903_7557","sporangiospores","2.2-4.5 x 1.6-2.5 µ","3.35","2.05",NA,NA
"Sporangiospores 2,5-4,5 x 1,5-2,5 µm,","Mortierella butleri_168903_18584","Sporangiospores","2,5-4,5 x 1,5-2,5 µ","3.5","2",NA,NA
"Sporangiospores numerous, hyaline, smooth-walled, globose to subglobose 5.5-10 µm,","Mortierella vesiculosa_15911_23294","Sporangiospores","5.5-10 µ","7.75",NA,NA,NA
"Sporangiospores short cylindrical or kidney-shaped, with a double wall, (3,5-) 5-8,5 (-13) x (2-) 4-5 (-5,5) µm.","Mortierella wolfii_16191_14829","Sporangiospores","(3,5-) 5-8,5 (-13) x (2-) 4-5 (-5,5) µ","6.75","4.5",NA,NA
"Sporangiospores ellipsoidal to reniform, 3.3-13.2 x 2.2-5.5 µm.","Mortierella wolfii_16191_23296","Sporangiospores","3.3-13.2 x 2.2-5.5 µ","8.25","3.85",NA,NA
"sporangiospores smooth, orange, mostly ellipsoidal, 5-13(-19) µm","Mucor azygosporus_16219_432","sporangiospores","5-13(-19) µ","13",NA,NA,NA
"sporangiospores globose, broadly ellipsoidal, 6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µm,","Mucor azygosporus_16219_15800","sporangiospores","6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µ","8.1","8.1",7.1,NA
"sporangiospores globose, broadly ellipsoidal, 6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µm,","Mucor azygosporus_16219_15801","sporangiospores","6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µ","8.1","8.1",7.1,NA
"sporangiospores hyaline, smooth, ovoid, ellipsoid, or slightly reniform, (3.5-)4.4-11.4(-15) µm","Mucor bainieri_16224_430","sporangiospores","(3.5-)4.4-11.4(-15) µ","7.9",NA,NA,NA
"sporangiospores ellipsoidal, sometimes flattened at one side, 5.4-9.8 (10.8) x 2.7-5.4 um; chlamydospores common in substrate hyphae; azygospores globose or sub-globose, up to 110 µm","Mucor bainieri_16224_14979","sporangiospores","110 µ","8.1","4.05",NA,NA
"sporangiospores mainly globose, some ellipsoidal and/or deformed, 5.5-10 µm","Mucor falcatus_16282_235","sporangiospores","5.5-10 µ","7.75",NA,NA,NA
"sporangiospores: mainly globose, some oval and/or deformed, 5,5-8 (10) µm","Mucor falcatus_16282_236","sporangiospores:","5,5-8 (10) µ","8",NA,NA,NA
"Sporangiospores 3-5 µm","Mucor miehei_24310_14827","Sporangiospores","3-5 µ","4",NA,NA,NA
"sporangiospores subglobose, a few ellipsoidal, 3-4 µm","Mucor miehei_24310_15804","sporangiospores","3-4 µ","3.5",NA,NA,NA
"sporangiospores ellipsoidal, 6-8 x 4.4-5.1 µm,","Mucor mousanensis_16391_15794","sporangiospores","6-8 x 4.4-5.1 µ","7","4.75",NA,NA
"sporangiospores mostly oblong to cylindrical, 6-9 x 3.7-6 µm","Mucor mousanensis_16391_45951","sporangiospores","6-9 x 3.7-6 µ","7.5","4.85",NA,NA
"sporangiospores ellipsoidal, (9.1-) 10.8-15.2 (-18.9) x (6.4-) 7.1-9.1 (-10.8) µm,","Mucor variabilis_16513_15790","sporangiospores","(9.1-) 10.8-15.2 (-18.9) x (6.4-) 7.1-9.1 (-10.8) µ","13","8.1",NA,NA
"Sporangiospores numerous, yellowish, hyaline oblong to elliptical 7.5-10 x 12-15 µm","Mucor variabilis_16513_40917","Sporangiospores","7.5-10 x 12-15 µ","8.75","13.5",NA,NA
"sporangiospores ellipsoidal to cylindrical-ellipsoidal, 4.7-7 x 2.4-3 µm,","Mucor zonatus_16521_14985","sporangiospores","4.7-7 x 2.4-3 µ","5.85","2.7",NA,NA
"sporangiospores ellipsoidal, (9.5-) 13.5-23 x (7.2-) 10.1-13.5 µm,","Mucor zychae_58264_15796","sporangiospores","(9.5-) 13.5-23 x (7.2-) 10.1-13.5 µ","13.5","10.1",NA,NA
"sporangiospores broadly ellipsoidal, sometimes reniform and globose, 12-24 (31.5) x (5.2) 6-15.7 µm","Mucor zychae_58264_45946","sporangiospores","12-24 (31.5) x (5.2) 6-15.7 µ","24","6",NA,NA
"sporangiospores, which are elliptical, 7 x 2.5 µm","Mucor zychae_58264_45946","sporangiospores,","7 x 2.5 µ","7","2.5",NA,NA
"sporangiospores are ellipsoidal, 12-24 x 6-15.7 µm","Mucor zychae_58264_45946","sporangiospores","12-24 x 6-15.7 µ","18","10.85",NA,NA
"sporangiospores quite regular in size, 4.5-8 µm","Rhizopus homothallicus_24356_140","sporangiospores","4.5-8 µ","6.25",NA,NA,NA
"sporangiospore wall rather heavy, gray in color singly, smooth, but marked with faint striations; chlamydospores 15-36 µm","Rhizopus homothallicus_24356_140","sporangiospore","15-36 µ","25.5",NA,NA,NA
"Sporangiospores angular-globose, up to 7.5(-8) µm","Rhizopus homothallicus_24356_7668","Sporangiospores","7.5(-8) µ","7.75",NA,NA,NA
"sporangiospores subglobose, ovoid, or slightly reniform, 4-8 x 3.2-6.4 µm","Thamnidium ctenidium_26981_34589","sporangiospores","4-8 x 3.2-6.4 µ","6","4.8",NA,NA
"sporangiospores subglobose, ovoid, or reniform, variable in size, 4-17.5 x 3.5-13 µm","Thamnidium ctenidium_26981_34589","sporangiospores","4-17.5 x 3.5-13 µ","10.75","8.25",NA,NA
"sporangiospores rather irregular in size and shape, ellipsoidal, broadly ellipsoidal, a few globose, 4.4-6.1 (8) x 3.8-4.4 µm,","Mucor circinelloides f. griseocyanus_16253_14983","sporangiospores","4.4-6.1 (8) x 3.8-4.4 µ","6.1","4.1",NA,NA
"sporangiospores sub-globose, (3) 3.5-5.5 (6) µm","Mucor circinelloides f. janssenii_16260_14984","sporangiospores","(3) 3.5-5.5 (6) µ","4.5",NA,NA,NA
"sporangiospores exceedingly variable in size and shape, ellipsoidal or, rather frequently, bizarre and large, 5.5-17.6 X 3.4-12.8 µm;","Mucor circinelloides f. lusitanicus_16268_14982","sporangiospores","5.5-17.6 x 3.4-12.8 µ","11.55","8.1",NA,NA
"sporangiospores sub-globose, (3) 3.5-5.5 (6) µm","Mucor griseocyanus f. janssenii_16313_14984","sporangiospores","(3) 3.5-5.5 (6) µ","4.5",NA,NA,NA
"sporangiospores mainly cylindrical-ellipsoidal, 4.7-6.8 x 2.7-3.3 (8.1 x 3.7) µm;","Mucor hiemalis f. corticola_16337_7897","sporangiospores","4.7-6.8 x 2.7-3.3 (8.1 x 3.7) µ","5.75","3.3",3.7,NA
"sporangiospores cylindrical-oblong, 3.5-5.2 x 2.6-3.7 (6.75 x 4) µm;","Mucor hiemalis f. silvaticus_16347_7899","sporangiospores","3.5-5.2 x 2.6-3.7 (6.75 x 4) µ","4.35","3.7",4,NA
