"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","V4"
"Sporangiospores cylindrical, smooth-walled, 3-7 x 2-3.5 µm,","Mortierella macrocystopsis_34360_18814","Sporangiospores","3-7 x 2-3.5 µ","5","2.75",NA,NA
"Sporangiospores regularly cylindrical, smooth-walled, 5-8 x 2.5-4.5 µm.","Mortierella pseudozygospora_35515_18816","Sporangiospores","5-8 x 2.5-4.5 µ","6.5","3.5",NA,NA
"sporangiospores, 3.5-4 x 2.5-3 µm,","Mucor laxorrhizus var. ovalisporus_42300_18845","sporangiospores,","3.5-4 x 2.5-3 µ","3.75","2.75",NA,NA
"sporangiospores, bluish gray, often with globose or dorsiventrally flattened eolumellae up to 10 µm","Chaetostylum fresenii_4994_259","sporangiospores,","10 µ","10",NA,NA,NA
"sporangiospores oval to elliptical, often somewhat irregular in shape, smoothwalled, uncolored, equal in size from sporangia and sporangiola, 7.5-15 x 5.5-8.5 µm,","Chaetostylum fresenii_4994_259","sporangiospores","7.5-15 x 5.5-8.5 µ","11.25","7",NA,NA
"sporangiospores 6-13 µm","Mucor angarensis_104699_139","sporangiospores","6-13 µ","9.5",NA,NA,NA
"sporangiospores ellipsoidal, 7-9.5 x 4-7 µm","Mucor piriformis_16416_15866","sporangiospores","7-9.5 x 4-7 µ","8.25","5.5",NA,NA
"Sporangiospores 7-9,5 x 4-7 µm,","Mucor piriformis_16416_18592","Sporangiospores","7-9,5 x 4-7 µ","8.25","5.5",NA,NA
"sporangiospores smooth, hyaline, with contents faintly yellow-orange (especially in the center), mostly oblong-elliptical to oval in shape but a few globose and a few nearly reniform, 10.5-30 x 6.517 µm,","Mucor phycomyces_119806_255","sporangiospores","10.5-30 x 6.517 µ","20.25","6.517",NA,NA
"sporangiospores narrow ellipsoidal, sometimes flattened at one side, 4-8 x 2.5-3.5 µm;","Mucor parasiticus_142465_15808","sporangiospores","4-8 x 2.5-3.5 µ","6","3",NA,NA
"Sporangiospores (4-) 5,5-7 (-9) µm","Mortierella globulifera_15987_18587","Sporangiospores","(4-) 5,5-7 (-9) µ","6.25",NA,NA,NA
"Sporangiospores (5-) 8-12 µm","Mortierella polycephala_16092_18590","Sporangiospores","(5-) 8-12 µ","8",NA,NA,NA
"Sporangiospores smooth, hyaline, oval to irregular in shape, 5.5-13.2 x 5 5-11 µm","Mortierella polycephala_16092_23297","Sporangiospores","5.5-13.2 x 5 5-11 µ","9.35","33",NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoidal, (4.4-)4.8-7.2(-7.6) x (3.6-)4-5.2 (-6) µm","Helicostylum repens_143037_34495","Sporangiospores","(4.4-)4.8-7.2(-7.6) x (3.6-)4-5.2 (-6) µ","6","4.6",NA,NA
"sporangiospores exceedingly variable in size and shape, ellipsoidal or, rather frequently, bizarre and large, 5.5-17.6 X 3.4-12.8 µm;","Mucor lusitanicus_16380_14982","sporangiospores","5.5-17.6 x 3.4-12.8 µ","11.55","8.1",NA,NA
"Sporangiospores (sub-)globose, up to 9 µm","Rhizopus oligosporus_36409_7666","Sporangiospores","9 µ","9",NA,NA,NA
"sporangiospores, some collapsing dorsiventrally; oval to irregular spore-1ike bodies formed in some sporangia as a layer in the upper half to two-thirds of the sporangium, as many as 100 or more sometimes formed per sporangium; sporelike bodies gray, smooth with thin to thick walls, 10-40 x 9-10 µm,","Chlamydomucor rouxii_416530_249","sporangiospores,","10-40 x 9-10 µ","25","9.5",NA,NA
"Sporangiospores globose to angular or irregular in shape, 5-8 µm","Dissophora decumbens_35509_18817","Sporangiospores","5-8 µ","6.5",NA,NA,NA
"Sporangiospores.-Mostly globose or subglobose; faintly striated; 4-7 µm","Rhizopus chinensis_36391_220","Sporangiospores.-Mostly","; 4-7 µ","5.5",NA,NA,NA
"Sporangiospores globose-ellipsoidal, some slightly angular, some ""collapsed"", up to 7.5 µm","Rhizopus chinensis_36391_7667","Sporangiospores","7.5 µ","7.5",NA,NA,NA
"Sporangiospores (sub-)globose, up to 5(-6) µm","Rhizopus cohnii_146635_7665","Sporangiospores","5(-6) µ","5.5",NA,NA,NA
"Sporangiospores (3,5-) 4-6 (-8) µm,","Rhizopus cohnii_146635_14821","Sporangiospores","(3,5-) 4-6 (-8) µ","5",NA,NA,NA
"sporangiospores globose, mostly 6-8 µm","Rhizopus elegans_155897_23375","sporangiospores","6-8 µ","7",NA,NA,NA
"Sporangiospores.-Elliptical or polygonal; striated; 5-13 µm","Rhizopus delemar_36396_221","Sporangiospores.-Elliptical","; 5-13 µ","9",NA,NA,NA
"Sporangiospores.-Elliptical or polygonal; faintly striated; 4-10 µm","Rhizopus arrhizus_24355_219","Sporangiospores.-Elliptical","; 4-10 µ","7",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, 12-24 µm","Choanephora infundibulifera_46529_407","Sporangiospores","12-24 µ","18",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, (12-) 16-26 (-48) µm","Choanephora cucurbitarum_33658_406","Sporangiospores","(12-) 16-26 (-48) µ","21",NA,NA,NA
"sporangiospore walt at maturity. Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Choanephora cucurbitarum_33658_406","sporangiospore","30-105 µ","67.5",NA,NA,NA
"Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Choanephora cucurbitarum_33658_406","Sporangiospores","30-105 µ","67.5",NA,NA,NA
"Sporangiospores (5-) 7-9 (-10) µm","Mortierella alpina_15852_18585","Sporangiospores","(5-) 7-9 (-10) µ","8",NA,NA,NA
"Sporangiospores.-Elliptical, globose, subglobose or polygonal; striated; 5-11 µm","Rhizopus japonicus_36401_223","Sporangiospores.-Elliptical,","; 5-11 µ","8",NA,NA,NA
"Sporangiospores numerous, elongate to short oval or angular, brownish-black, (3-) 4 (-4,5) µm","Rhizopus microsporus_46665_13942","Sporangiospores","(3-) 4 (-4,5) µ","4",NA,NA,NA
"Sporangiospores (3-) 3,5-5 (-7) µm,","Rhizopus microsporus_46665_14822","Sporangiospores","(3-) 3,5-5 (-7) µ","4.25",NA,NA,NA
"Sporangiospores.-Globose, oval, polygonal, elliptical or irregular in shape; striated; 4-12 µm","Rhizopus nigricans_24386_225","Sporangiospores.-Globose,","; 4-12 µ","8",NA,NA,NA
"Sporangiospores smooth-walled, hyaline, with one or more oil droplets, typically with one at either end of spore, generally oblong to oval, sometimes bluntly triangular or almost reni-form but never spherical, 2-3.3 x 3-6.5 µm","Zygorhynchus moelleri_29457_23386","Sporangiospores","2-3.3 x 3-6.5 µ","2.65","4.75",NA,NA
"Sporangiospores oval and (2-) 4-6-1.8-4.5 µm,","Zygorhynchus moelleri_29457_38487","Sporangiospores","(2-) 4-6-1.8-4.5 µ","6",NA,NA,NA
"sporangiospores smooth, hyaline, with contents faintly yellow-orange (especially in the center), mostly oblong-elliptical to oval in shape but a few globose and a few nearly reniform, 10.5-30 x 6.517 µm,","Ulva nitens_150608_255","sporangiospores","10.5-30 x 6.517 µ","20.25","6.517",NA,NA
"sporangiospores are found sticking to the wall in water mounts (older columellae that lose the turgor may sag to a pyriform shape); sporangiospores ellipsoidal, occasionally slightly flattened on one side, 7-12 x 4-6.5 µm,","Mucor flavus_16285_15871","sporangiospores","7-12 x 4-6.5 µ","9.5","5.25",NA,NA
"sporangiospores ellipsoidal, occasionally slightly flattened on one side, 7-12 x 4-6.5 µm,","Mucor flavus_16285_15871","sporangiospores","7-12 x 4-6.5 µ","9.5","5.25",NA,NA
"sporangiospores cylindrical-oblong, 3.5-5.2 x 2.6-3.7 (6.75 x 4) µm;","Mucor silvaticus_16493_7899","sporangiospores","3.5-5.2 x 2.6-3.7 (6.75 x 4) µ","4.35","3.7",4,NA
"sporangiospores (sub)globose, 4-8 µm","Mucor sphaerosporus_16496_14989","sporangiospores","4-8 µ","6",NA,NA,NA
"sporangiospores ellipsoidal, variable in size, 4-8.1 x 2.4-4 µm,","Mucor genevensis_16304_7901","sporangiospores","4-8.1 x 2.4-4 µ","6.05","3.2",NA,NA
"sporangiospores hyaline, ovoid to ellipsoidal, sometimes flattined on one side, slightly yellowish in mass, containing a few scattered gran-ules, largest spores 12.4 x 6 µm.,","Mucor genevensis_16304_47549","sporangiospores","12.4 x 6 µ","12.4","6",NA,NA
"sporangiospores globose to subglobose, 8-10 µm","Mucor fuscus_16298_14986","sporangiospores","8-10 µ","9",NA,NA,NA
"sporangiospores subspherical to broadly ellipsoidal, 3.5-7 µm","Mucor strictus_16499_15873","sporangiospores","3.5-7 µ","5.25",NA,NA,NA
"sporangiospores mainly cylindrical-ellipsoidal, 5.5-8 x 3-4 µm,","Mucor strictus_16499_15873","sporangiospores","5.5-8 x 3-4 µ","6.75","3.5",NA,NA
"Sporangiospores unequal, irregular, globose or oval, angular, streaked, 10-20  x 7,5-8 µm,","Mucor stolonifer_104688_13944","Sporangiospores","10-20 x 7,5-8 µ","15","7.75",NA,NA
"Sporangiospores (5-) 8-20 (-26) µm","Mucor stolonifer_104688_14825","Sporangiospores","(5-) 8-20 (-26) µ","14",NA,NA,NA
"sporangiospores ellipsoidal 4.5-8 x 3-5.4 µm,","Mucor saturninus_16488_15867","sporangiospores","4.5-8 x 3-5.4 µ","6.25","4.2",NA,NA
"sporangiospores, some collapsing dorsiventrally; oval to irregular spore-1ike bodies formed in some sporangia as a layer in the upper half to two-thirds of the sporangium, as many as 100 or more sometimes formed per sporangium; sporelike bodies gray, smooth with thin to thick walls, 10-40 x 9-10 µm,","Mucor rouxii_16485_249","sporangiospores,","10-40 x 9-10 µ","25","9.5",NA,NA
"sporangiospores 4.5-10.5 µm","Mucor umbellatus_153536_23376","sporangiospores","4.5-10.5 µ","7.5",NA,NA,NA
"Sporangiospores.-Elliptical or polygonal; striated; 5-13 µm","Mucor delemar_337569_221","Sporangiospores.-Elliptical","; 5-13 µ","9",NA,NA,NA
"sporangiospores 4.5-10.5 µm","Circinella umbellata_5366_23376","sporangiospores","4.5-10.5 µ","7.5",NA,NA,NA
"Sporangiospores irregularshaped, rounded or elongated (minority), greyish to dark grey, 2.6-15.4(-19.8) x 2.4-6.7 µm.","Circinella simplex_5362_52498","Sporangiospores","2.6-15.4(-19.8) x 2.4-6.7 µ","15.4","4.55",NA,NA
"sporangiospores globose, sometimes short oval, variable in diam., from 3-7 µm,","Circinella muscae_29525_23370","sporangiospores","3-7 µ","5",NA,NA,NA
"sporangiospores globose, sometimes short oval, variable in diam., 3-7, mostly 5-6 µm,","Circinella muscae_29525_38435","sporangiospores","5-6 µ","5.5",NA,NA,NA
"sporangiospores ellipsoidal, 4.4-6.8 x 3.7-4.7 µm,","Mucor circinelloides_58323_14981","sporangiospores","4.4-6.8 x 3.7-4.7 µ","5.6","4.2",NA,NA
"Sporangiospores globose, (6-) 8-14 (-20) µm","Hydrophora hyalina_155521_18588","Sporangiospores","(6-) 8-14 (-20) µ","11",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, (12-) 16-26 (-48) µm","Rhopalomyces cucurbitarum_155770_406","Sporangiospores","(12-) 16-26 (-48) µ","21",NA,NA,NA
"sporangiospore walt at maturity. Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Rhopalomyces cucurbitarum_155770_406","sporangiospore","30-105 µ","67.5",NA,NA,NA
