"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"basidiospores and it is probably most closely related to F. iberica Melo & Ryvarden, which however has much thicker basidiocarps, regular pores and no upper brown layer of hyphae, besides that, the spores of that species are wider (2.8-3.7 µm).","Fomitopsis labyrinthica_87796_5216","basidiospores","(2.8-3.7",3.25,NA,NA,NA
"Spores.-Basidiospores cylindric, hyaline, thin-walled, smooth, IKI-, CB-, (5.2-)5.8-7-(1.9-)2-2.5(-2.8) µm,","Phellinus setifer_87829_43026","Spores.-Basidiospores","-(5.2-)5.8-7-(1.9-)2-2.5(-2.8)",1.9,NA,NA,NA
"Basidiospores 5.5-7.5 x 1.5-2.5 µm,","Phellinus setifer_87829_44956","Basidiospores","5.5-7.5 x 1.5-2.5",6.5,2,NA,NA
"Spores-Basidiospores cylindrical, thin-walled, hyaline, smooth, IKI-, CB-, (2.8-)3-4(-4.2) x (1-)1.1-1.5 µm,","Phellinus acifer_87876_7633","Spores-Basidiospores","-(2.8-)3-4(-4.2) x (1-)1.1-1.5",3.5,1.1,NA,NA
"Basidiospores cylindrical to slightly allantoid, thin-walled, smooth, hyaline, 3-4(4.5) x 1.5 µm.","Phellinus acifer_87876_44937","Basidiospores","3-4(4.5) x 1.5",4,1.5,NA,NA
"Basidiospores short-cylindric to ellipsoid, hyaline, smooth, negative in Melzer's reagent, 4.5-5 x 2-3 µm.","Poria fimbriata_22712_44628","Basidiospores","4.5-5 x 2-3",4.75,2.5,NA,NA
"Basidiospores 10-12(-14.5) µm","Agaricus rhodoxanthus_210476_42025","Basidiospores","10-12(-14.5)",12,NA,NA,NA
"basidiospores abundant, globose, 7-10 x 7-9 µm,","Amauroderma boleticeum_79748_5397","basidiospores","7-10 x 7-9",8.5,8,NA,NA
"basidiospores in A. expallens are slightly elongate, 7-9.5 x 6-9 µm","Amauroderma boleticeum_79748_5397","basidiospores","7-9.5 x 6-9",8.25,7.5,NA,NA
"Basidiospores  (5.5-) 6.5-8 (-9) x (5-) 5.5-6.5 (-7.5) µm","Lactarius cinnamomeus_115730_23530","Basidiospores","(5.5-) 6.5-8 (-9) x (5-) 5.5-6.5 (-7.5)",7.25,6,NA,NA
"Basidiospores allantoid to cylindrical, hyaline, thin-walled, smooth. negative in Melzer's reagent, 3.5-5.5 x 0.7-1.5 µm.","Boletus pelloporus_74484_44065","Basidiospores","3.5-5.5 x 0.7-1.5",4.5,1.1,NA,NA
"Basidiospores angular and irregularly tuberculate in outline, hyaline to pale brownish in mass, thin-walled, negative in Melzer's reagent, 5-6.5 x 4-5 µm.","Caloporus leucomelas_142682_43966","Basidiospores","5-6.5 x 4-5",5.75,4.5,NA,NA
