"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 5-7.5 x 2-2.5 µm.","Poria ferrea_36300_26761","Basidiospores","5-7.5 x 2-2.5",6.25,2.25,NA,NA
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 5-7.5 x 2-2.5 µm.","Poria ferrea_36300_44532","Basidiospores","5-7.5 x 2-2.5",6.25,2.25,NA,NA
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 5-7.5 x 2-2.5 µm.","Ochroporus ferreus_65736_4081","Basidiospores","5-7.5 x 2-2.5",6.25,2.25,NA,NA
"Basidiospores cylindrical, hyaline, thinwalled, smooth, 4.68-6.12 x 1.80-2.52 µm,","Ochroporus ferreus_65736_4375","Basidiospores","4.68-6.12 x 1.80-2.52",5.4,2.16,NA,NA
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 5-7.5 x 2-2.5 µm.","Ochroporus ferreus_65736_26761","Basidiospores","5-7.5 x 2-2.5",6.25,2.25,NA,NA
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 5-7.5 x 2-2.5 µm.","Ochroporus ferreus_65736_44532","Basidiospores","5-7.5 x 2-2.5",6.25,2.25,NA,NA
"basidiospores  6-7.5 µm","Tomentella ferruginella_63283_839","basidiospores","6-7.5",6.75,NA,NA,NA
"Basidiospores subcylindrical, thin-walled, I KI-negative, 3.5-5 x 2-3 µm.","Poria ferruginicincta_66096_45176","Basidiospores","3.5-5 x 2-3",4.25,2.5,NA,NA
"Basidiospores ellipsoid to subglobose, smooth, thin-walled, hyaline, negative in Melzer's reagent, 4-5 x 2.5-3 µm.","Leptoporus fissilis_35397_44643","Basidiospores","4-5 x 2.5-3",4.5,2.75,NA,NA
"Basidiospores ellipsoid to subglobose, smooth, thin-walled, hyaline, negative in Melzer's reagent, 4-5 x 2.5-3 µm.","Tyromyces fissilis_28243_44643","Basidiospores","4-5 x 2.5-3",4.5,2.75,NA,NA
"basidiospores  9-12(-13) µm","Tomentella flaccida var. fungicola_88484_840","basidiospores","9-12(-13)",12,NA,NA,NA
"Basidiospores oblong to short-cylindric, often slightly curved, hyaline, smooth, negative in Melzer's reagent, 3.5-4.5 x 2-2.5 µm.","Leptoporus albellus subsp. floriformis_90406_44455","Basidiospores","3.5-4.5 x 2-2.5",4,2.25,NA,NA
"Basidiospores ellipsoid to ovoid, 4-5.5 x 4-4.5 µm,","Hydnum fragile_73407_49900","Basidiospores","4-5.5 x 4-4.5",4.75,4.25,NA,NA
"basidiospores hyaline, even, allantoid, uniguttulate, 3.6-4.3 x 1.2-1.5 µm.","Polyporus fragilis_28258_7307","basidiospores","3.6-4.3 x 1.2-1.5",3.95,1.35,NA,NA
"Basidiospores cylindrical, mostly curved, hyaline, smooth, negative in Melzer's reagent, 4-6 x 1-1.5 µm.","Polyporus fragilis_28258_44457","Basidiospores","4-6 x 1-1.5",5,1.25,NA,NA
"basidiospores hyaline, even, allantoid, uniguttulate, 3.6-4.3 x 1.2-1.5 µm.","Tyromyces fragilis_28257_7307","basidiospores","3.6-4.3 x 1.2-1.5",3.95,1.35,NA,NA
"Basidiospores cylindrical, mostly curved, hyaline, smooth, negative in Melzer's reagent, 4-6 x 1-1.5 µm.","Tyromyces fragilis_28257_44457","Basidiospores","4-6 x 1-1.5",5,1.25,NA,NA
"basidiospores hyaline, even, subglobose or broadly ovoid, apiculate, with conspicuous oil drop, 5.4-6.0 µm","Ungulina fraxinea_89962_674","basidiospores","5.4-6.0",5.7,NA,NA,NA
"Basidiospores subglobose to drop shaped, thick-walled with distinct germ pore, variably dextrinoid in Melzer's reagent, 6-8 x 5-6.5 µm.","Ungulina fraxinea_89962_44516","Basidiospores","6-8 x 5-6.5",7,5.75,NA,NA
"Basidiospores broadly ellipsoid to subglobose, 2-3 x 2-2.5 µm.","Henningsia liebmanii_420466_45139","Basidiospores","2-3 x 2-2.5",2.5,2.25,NA,NA
"Basidiospores narrowly allantoid, hyaline, smooth, negative in Melzer's reagent, 4.5-5 x 1-1.5 µm.","Odontia furfurella_61467_3191","Basidiospores","4.5-5 x 1-1.5",4.75,1.25,NA,NA
"basidiospores allantoid, 4.5-6 x (1-)1.5(-2) µm,","Odontia furfurella_61467_12459","basidiospores","4.5-6 x (1-)1.5(-2)",5.25,1.5,NA,NA
"basidiospores hyaline, in lateral view appearing oblong and tapering toward the distal apex, in top view appearing ovoid, 7-8(-11.5) x 4-5(-6) µm,","Peniophora fusca_61511_24012","basidiospores","7-8(-11.5) x 4-5(-6)",8,5,NA,NA
"Basidiospores subglobose to ovoid, (4.5-)5-6 x 4-5 µm,","Merulius fuscescens_60924_33592","Basidiospores","(4.5-)5-6 x 4-5",5,4.5,NA,NA
"Basidiospores narrowly ellipsoid, adaxially flattened or slightly concave, smooth, thin-walled, 6.5-8.5 x 3.5-4.5 µm,","Peniophora fuscomarginata_61512_4330","Basidiospores","6.5-8.5 x 3.5-4.5",7.5,4,NA,NA
"Basidiospores cylindric, slightly curved, hyaline, smooth, negative in Melzer's reagent, 6-8 x 2.5-3 µm.","Hirschioporus fuscoviolaceus_12911_44638","Basidiospores","6-8 x 2.5-3",7,2.75,NA,NA
"Basidiospores 5-6-2 x 4.5-5-5 µm","Hydnellum coeruleum_420538_7419","Basidiospores","5-6-2 x 4.5-5-5",6,5,NA,NA
"basidiospores broadly ellipsoid, 4.5-5.5 x 4-4.5 µm,","Hydnum barba-jobi_406356_12646","basidiospores","4.5-5.5 x 4-4.5",5,4.25,NA,NA
"Basidiospores subglobose, 4.5-5.5 x 3.5-4.5 µm,","Hydnum barba-jobi_406356_50889","Basidiospores","4.5-5.5 x 3.5-4.5",5,4,NA,NA
"Basidiospores cylindrical, smooth-and very thin-walled, inamyloid, indextrinoid, acyanophilous, 6.9-9 x 2.5-3.5 µm.","Trametes gallica f. trogii_91175_22960","Basidiospores","6.9-9 x 2.5-3.5",7.95,3,NA,NA
"Basidiospores cylindric. hyaline. smooth. negative in Melzer's reagent, (8)10-12 x 2.54 µm.","Trametes gallica f. trogii_91175_44003","Basidiospores","(8)10-12 x 2.54",10,2.54,NA,NA
"basidiospores hyaline, even, subglobose to ovoid and obliquely apiculate, 4-5 x 5.5-6 µm.","Tremella gangliformis_169949_40462","basidiospores","4-5 x 5.5-6",4.5,5.75,NA,NA
"Basidiospores very variable within a single print, oblong to cylindrical (Q = 1.6-3.2), often depressed, constricted, or suballantoid, (4-) 5.5-9.5 (-12) x (2.5-) 3-4 (-5.5) µm","Exidia grilletii_381521_48256","Basidiospores","(4-) 5.5-9.5 (-12) x (2.5-) 3-4 (-5.5)",7.5,3.5,NA,NA
"Basidiospores cylindrical. hyaline, smooth. negative in Melzer's reagent. 3.5-4.5 x 1­1.5 µm.","Coriolus genistae_87268_43902","Basidiospores",". 3.5-4.5 x 1­1.5",4,NA,NA,NA
"Basidiospores broadly ellipsoid to subglobose, hyaline, smooth, thin-walled, negative in Melzer's reagent, 6-7 x 4.5-6 µm.","Polypilus giganteus_35993_44479","Basidiospores","6-7 x 4.5-6",6.5,5.25,NA,NA
"Basidiospores narrowly ellipsoid, 6.5-7 x 2.5-3 µm.","Polystictus glabro-rigens_61802_45183","Basidiospores","6.5-7 x 2.5-3",6.75,2.75,NA,NA
"basidiospores broadly ellipsoid, 5.5-8 x 3.5-5 µm","Hyphoderma compta_420598_24130","basidiospores","5.5-8 x 3.5-5",6.75,4.25,NA,NA
"basidiospores ellipsoid or asymmetrically obovate. rounded on either side with prominent lateral apiculus, 5.5-8 x 3.5-5 µm,","Hyphoderma insusitata_420600_24178","basidiospores","5.5-8 x 3.5-5",6.75,4.25,NA,NA
"basidiospores subglobose to globose, 4.5-5.5 x 4.5-5 µm,","Hyphodontia griselinae_420601_12552","basidiospores","4.5-5.5 x 4.5-5",5,4.75,NA,NA
"Basidiospores broadly ellipsoid to ovoid, pale yellowish, 5-7 x 4-5.5 µm.","Inonotus glomeratus_13684_26813","Basidiospores","5-7 x 4-5.5",6,4.75,NA,NA
"Basidiospores broadly ellipsoid to ovoid, pale yellowish, 5-7 x 4-5.5 µm.","Xanthochrous glomeratus_92608_26813","Basidiospores","5-7 x 4-5.5",6,4.75,NA,NA
"Basidiospores 4.5-5.5 µm","Hypochnus mustialensis_420622_884","Basidiospores","4.5-5.5",5,NA,NA,NA
"Basidiospores in face view subglobose to broadly ovoid, in profile broadly ovoid and adaxially flattened, (4-)4.8-5.5(-6.4) x (3.2-)4-4.5(-5.4) µm,","Hypochnus mustialensis_420622_20021","Basidiospores","(4-)4.8-5.5(-6.4) x (3.2-)4-4.5(-5.4)",5.15,4.25,NA,NA
"basidiospores subglobose to ovoid, with a lateral apiculus, smooth, thick-walled, bluish in KOH solution and amyloid in Melzer's reagent, 5-6 x 3.5-4 µm.","Hypochnus mustialensis_420622_35302","basidiospores","5-6 x 3.5-4",5.5,3.75,NA,NA
"Basidiospores oblong ellipsoid to subellipsoid, (4.5)6-8(10) x 2.5-3 µm,","Favolus grammocephalus_62279_7472","Basidiospores","(4.5)6-8(10) x 2.5-3",7,2.75,NA,NA
"Basidiospores broadly ellipsoid to subglobose, 22-32(39) x 18-24(28) µm,","Aleurodiscus grantii_44169_5569","Basidiospores","22-32(39) x 18-24(28)",32,24,NA,NA
"basidiospores broadly ellipsoid, 24-34 x 18-22 µm,","Aleurodiscus grantii_44169_12559","basidiospores","24-34 x 18-22",29,20,NA,NA
"basidiospores rare, ovate, 5.5 x 3 µm","Corticium granulare_61193_25219","basidiospores","5.5 x 3",5.5,3,NA,NA
"basidiospores  4-5 µm","Tomentella griseoumbrina_66148_842","basidiospores","4-5",4.5,NA,NA,NA
"Basidiospores 4.5-5.5 µm","Tomentella griseoumbrina_66148_944","Basidiospores","4.5-5.5",5,NA,NA,NA
"basidiospores ovoid or ellipsoid, subinequilateral and obliquely apiculate, hyaline, smooth, 5.5-6.5 x 2.5-3.5 µm.","Myxomycidium guianense_73463_40517","basidiospores","5.5-6.5 x 2.5-3.5",6,3,NA,NA
"basidiospores which are globose, 7-10 µm","Amauroderma gusmanianum_60830_5424","basidiospores","7-10",8.5,NA,NA,NA
"Basidiospores 4.5-7 x 2-2.8 µm,","Ileodictyon cibaricum_420733_37131","Basidiospores","4.5-7 x 2-2.8",5.75,2.4,NA,NA
"Basidiospores subglobose, hyaline, smooth, slightly thick-walled, strongly dextrinoid in Melzer's reagent, 5-6.5 x 6-7.5 µm.","Fomes hartigii_34832_4085","Basidiospores","5-6.5 x 6-7.5",5.75,6.75,NA,NA
"Basidiospores globose to subglobose, hyaline, smooth, slightly thick-walled, strongly dextrinoid in Melzer's reagent, 6-8 x 5-7 µm.","Fomes hartigii_34832_44535","Basidiospores","6-8 x 5-7",7,6,NA,NA
"Basidiospores broadly ellipsoid to ovoid, hyaline, 6-8.5 x 4.5-5.5 µm.","Inonotopsis subiculosus_420761_26862","Basidiospores","6-8.5 x 4.5-5.5",7.25,5,NA,NA
"Basidiospores broadly ellipsoid, thin-walled, hyaline, smooth, 2.5-3 x 1.5-2 µm","Irpex brownii_420774_4440","Basidiospores","2.5-3 x 1.5-2",2.75,1.75,NA,NA
"Basidiospores broadly ellipsoid, often slightly flattened adaxially, smooth. thin-walled, negative in Melzer's reagent, 2.6-2.8 x 1.8-2 µm.","Irpex brownii_420774_44026","Basidiospores","2.6-2.8 x 1.8-2",2.7,1.9,NA,NA
"basidiospores obovoid, subglobose to globose with a small apiculus, 4-5 x 3.5-4 µm,","Stereum helveticum_65674_12342","basidiospores","4-5 x 3.5-4",4.5,3.75,NA,NA
"Basidiospores ovoid to subglobose with a small apiculus, 3.5-5 x 3-4 µm,","Stereum helveticum_65674_48650","Basidiospores","3.5-5 x 3-4",4.25,3.5,NA,NA
"Basidiospores cylindric, slightly curved, hyaline, smooth, negative in Melzer's reagent, 9-11 x 2-2.5 µm.","Ischnoderma confragosa_420784_44007","Basidiospores","9-11 x 2-2.5",10,2.25,NA,NA
"Basidiospores cylindrical to allantoid, 9-11 x 2-2.5 µm.","Ischnoderma confragosa_420784_45205","Basidiospores","9-11 x 2-2.5",10,2.25,NA,NA
"Basidiospores cylindrical to oblong-ellipsoid, 7-10.5 x 3-4 µm.","Ischnoderma scabrosa_420786_47754","Basidiospores","7-10.5 x 3-4",8.75,3.5,NA,NA
"basidiospores (from spore deposit) cylindric, 7.5-8.0 x 2.2-3 µm.","Ischnoderma scutellata_420787_686","basidiospores","7.5-8.0 x 2.2-3",7.75,2.6,NA,NA
"Basidiospores cylindrical, thin-walled, hyaline. smooth. negative in Melzer's reagent, 8-12 x 3-4.5 µm.","Ischnoderma scutellata_420787_44012","Basidiospores","8-12 x 3-4.5",10,3.75,NA,NA
"basidiospores hyaline, even, 8-9 x 3.5 µm,","Stereum heterosporum_38588_34420","basidiospores","8-9 x 3.5",8.5,3.5,NA,NA
"Basidiospores hyaline, oval, thin-walled, smooth, up to 3.7-4.9 x 2.2-3.0 µm","Kneiffia roumeguerii_420813_20051","Basidiospores","3.7-4.9 x 2.2-3.0",4.3,2.6,NA,NA
"Basidiospores globoid to subgloboid, 11-14 x 10-14 µm,","Corticium hiemale_65953_5891","Basidiospores","11-14 x 10-14",12.5,12,NA,NA
"Basidiospores subcylindrical with curved apiculus, 8-10(-12) x 4-5 µm,","Oxydontia himantia_65804_49995","Basidiospores","8-10(-12) x 4-5",10,4.5,NA,NA
"basidiospores ovoid, pale brown in KOH, smooth, thick-walled, weakly to moderately strongly dextrinoid in Melzer's reagent, 9-10.5 x 4.5-6 µm.","Gyrophana himantioides_61314_4576","basidiospores","9-10.5 x 4.5-6",9.75,5.25,NA,NA
"Basidiospores narrowly ellipsoid, 9-12 x 5-6 µm,","Gyrophana himantioides_61314_53885","Basidiospores","9-12 x 5-6",10.5,5.5,NA,NA
"Basidiospores cylindrical to ellipsoid, 5.5-7(-8) x 3-4 µm,","Odontia hinnulea_60892_4475","Basidiospores","5.5-7(-8) x 3-4",7,3.5,NA,NA
"Basidiospores cylindric to oblong ellipsoid, hyaline, smooth, thin-walled, negative in Melzer's reagent, 5-6 x 2-3 µm.","Poria hippophaës_61847_43878","Basidiospores","5-6 x 2-3",5.5,2.5,NA,NA
"basidiospores hyaline, even, cylindric, 4.6 x 1.8-2.0 µm.","Trametes hirsuta_27412_735","basidiospores","4.6 x 1.8-2.0",4.6,1.9,NA,NA
"basidiospores hyaline, even, cylindric, 4.6 x 1.8-2.0;a. Submerged mycelium: (a) hyphae as in advancing zone; (b) in old cultures one to two-celled fragments of hyphae present, less common, thin to slightly thick-walled, often swollen and rounded to irregular in shape, appearing like chlamydospores, 3.0-7.4 µm","Trametes hirsuta_27412_7311","basidiospores","3.0-7.4",5.2,NA,NA,NA
"Basidiospores cylindric; hyaline, smooth, negative in Melzer' s reagent, 6-9 x 2-2.5 µm.","Trametes hirsuta_27412_43841","Basidiospores","6-9 x 2-2.5",7.5,2.25,NA,NA
"Basidiospores scarce, ellipsoid, 3.5 x 2.2 µm,","Odontia hirta_75285_7871","Basidiospores","3.5 x 2.2",3.5,2.2,NA,NA
"Basidiospores fusiform or spindleshaped. hyaline. smooth. negative in Melzer's reagent, 12.5-17 x 4.5-5.5 µm.","Polyporellus hirtus_66073_44092","Basidiospores","12.5-17 x 4.5-5.5",14.75,5,NA,NA
"basidiospores ellipsoid to narrowly ellipsoid, 5-7 x 2.5-3.5 µm,","Peniophora hiulca_61514_11960","basidiospores","5-7 x 2.5-3.5",6,3,NA,NA
"Basidiospores allantoid to cylindrical hyaline, smooth. thin-walled, negative in Melzer's reagent, 33-4.5 x 1.5-2 µm.","Coriolus hoehnelii_61162_43903","Basidiospores","33-4.5 x 1.5-2",18.75,1.75,NA,NA
"Basidiospores allantoid to cylindrical, 3.5-4.5 x 1.5-2 µm.","Coriolus hoehnelii_61162_45138","Basidiospores","3.5-4.5 x 1.5-2",4,1.75,NA,NA
"Basidiospores allantoid to cylindrical hyaline, smooth. thin-walled, negative in Melzer's reagent, 33-4.5 x 1.5-2 µm.","Trametes hoehnelii_66153_43903","Basidiospores","33-4.5 x 1.5-2",18.75,1.75,NA,NA
"Basidiospores allantoid to cylindrical, 3.5-4.5 x 1.5-2 µm.","Trametes hoehnelii_66153_45138","Basidiospores","3.5-4.5 x 1.5-2",4,1.75,NA,NA
"Basidiospores narrowly elliptical, subfusiform, 8-12 x 2.5-4 µm.","Laccocephalum tumulosus_420858_7458","Basidiospores","8-12 x 2.5-4",10,3.25,NA,NA
"Basidiospores broadly ellipsoid to subglobose, 3.0-3.8 x 2.6-3.2 µm,","Peniophora humifaciens_61515_12290","Basidiospores","3.0-3.8 x 2.6-3.2",3.4,2.9,NA,NA
"Basidiospores cylindrical to suballantoid, 9-12(-15) x 3.5-4.5 µm,","Peniophora hydnoidea_19625_50984","Basidiospores","9-12(-15) x 3.5-4.5",12,4,NA,NA
"basidiospores globose to subglobose, hyaline, smooth, negative in Melzer's reagent, 9-13 µm","Epithele hydnoides_61253_4452","basidiospores","9-13",11,NA,NA,NA
"Basidiospores  (7-) 7.5-9 (-10) x (6-) 6.5-7.5 (-8) µm","Lactarius changbainensis_420903_23529","Basidiospores","(7-) 7.5-9 (-10) x (6-) 6.5-7.5 (-8)",8.25,7,NA,NA
"Basidiospores subglobose to broadly ellipsoid, hyaline, smooth, negative in Melzer's reagent, with thickened wall at maturity, 4.5-5 x 4-4.5 µm.","Fomes igniarius f. tremulae_89633_44557","Basidiospores","4.5-5 x 4-4.5",4.75,4.25,NA,NA
"Basidiospores ellipsoid, straight to slightly curved in side view, thin-walled, hyaline, smooth, 2.0-3.0 x 1.0-1.5 µm.","Dictyophora indusiata_167030_39455","Basidiospores","2.0-3.0 x 1.0-1.5",2.5,1.25,NA,NA
"basidiospores which are evident in Melzer's. Cystidia cylindrical to acute; hyaline to pale yellow; slightly thick-to thick-walled; encrusted; embedded or projecting up to 30 um from the hymenium; 9-11 µm","Laurilia sulcatum_420940_19836","basidiospores","; 9-11",10,NA,NA,NA
"Basidiospores globose to subglobose; minutely echinulate (best visible in Melzer's); hyaline; smooth; thin-to slightly thick-walled; amyloid; 1-nucleate; 5-6.5 x 4.5-6 µm.","Laurilia sulcatum_420940_19836","Basidiospores","; 5-6.5 x 4.5-6",5.75,5.25,NA,NA
"Basidiospores globose to subglobose, 5.5-6.5 x 5-5.5 µm,","Laurilia sulcatum_420940_50902","Basidiospores","5.5-6.5 x 5-5.5",6,5.25,NA,NA
"basidiospores obovoid, 9-10 x 7-8 µm.","Bitzea ingae_148462_17597","basidiospores","9-10 x 7-8",9.5,7.5,NA,NA
"basidiospores globose, slightly thick-walled, dextrinoid, 5-6 µm","Polyporus inusitatus_61727_3935","basidiospores","5-6",5.5,NA,NA,NA
"basidiospores hyaline, obtuse and evenly cylindrical, 11.5-13.5 x 3.5-4.5 µm,","Peniophora investiens_61517_24006","basidiospores","11.5-13.5 x 3.5-4.5",12.5,4,NA,NA
"Basidiospores dull cinnamon brown, 10.5-17.5 µm","Leccinum neotropicalis_420990_17569","Basidiospores","10.5-17.5",14,NA,NA,NA
"Basidiospores ovoid to ellipsoid, flattened or incurved on one side above a pointed apiculus, (5-)6-8(-11) x (2.5-)3-4(-5) µm.","Typhula ishikariensis_28218_7357","Basidiospores","(5-)6-8(-11) x (2.5-)3-4(-5)",7,3.5,NA,NA
"basidiospores ellipsoid, finely echinulate, hyaline, strongly amyloid in Melzer's reagent, 5.5-7.5 x 3.2-4.5 µm","Echinodontium japonicum_65716_4308","basidiospores","5.5-7.5 x 3.2-4.5",6.5,3.85,NA,NA
"Basidiospores ellipsoid, finely echinulate, hyaline, strongly amyloid, 5.5-7.5 x 3.2-4.5 µm.","Echinodontium japonicum_65716_47757","Basidiospores","5.5-7.5 x 3.2-4.5",6.5,3.85,NA,NA
"Spores.-Basidiospores broadly ellipsoid, pale yellowish, fairly thick-walled, smooth, IKI-, moderately CB+, (3-)3.1-3.9(-4)-(2.1-)2.3-3(-3.1) µm,","Polyporus kanehirae_65581_43021","Spores.-Basidiospores","+(3-)3.1-3.9(-4) x (2.1-)2.3-3(-3.1)",3.9,2.65,NA,NA
"Basidiospores broadly ellipsoid, hyaline, smooth, negative in Melzer's reagent, 4-4.5 x 2-2.5 µm.","Leptoporus kmetii_66015_44645","Basidiospores","4-4.5 x 2-2.5",4.25,2.25,NA,NA
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 8-11 x 2.5-3.5 µm.","Ungulina lapponica_65893_43865","Basidiospores","8-11 x 2.5-3.5",9.5,3,NA,NA
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 8-11 x 2.5-3.5 µm.","Leptoporus lapponicus_1251_43865","Basidiospores","8-11 x 2.5-3.5",9.5,3,NA,NA
"basidiospores globose with a distinct apiculus, 6.5-8 x 5.5-6.5 µm,","Peniophora laxa_61522_12319","basidiospores","6.5-8 x 5.5-6.5",7.25,6,NA,NA
"Basidiospores almost globose, thin-to moderately thick-walled, smooth, with a distinct apiculus, 6-8 x 5.5-6.5(-7) µm,","Peniophora laxa_61522_22686","Basidiospores","6-8 x 5.5-6.5(-7)",7,6.5,NA,NA
"Basidiospores abundant, ellipsoid, 7-8 x 4-5.8 µm,","Corticium leprosum_61187_33587","Basidiospores","7-8 x 4-5.8",7.5,4.9,NA,NA
"basidiospores (Fig. 23d) copious, globose to subglobose 10-13 x 9-10 µm","Ganoderma leptopum_61006_5407","basidiospores","10-13 x 9-10",11.5,9.5,NA,NA
"Basidiospores ellipsoid, (4-)4.5-5 x 2-2.5 µm,","Odontia leucacantha_61470_7873","Basidiospores","(4-)4.5-5 x 2-2.5",4.5,2.25,NA,NA
"basidiospores allantoid, hyaline, smooth, negative in Melzer's reagent, 1-1.5 x 5-8 µm.","Leptoporus leucospongia_66016_3557","basidiospores","1-1.5 x 5-8",1.25,6.5,NA,NA
"basidiospores hyaline, thin-walled, cylindric to allantoid, guttulate, 3.7-5.9 x 1.2-1.5 µm.","Leptoporus leucospongia_66016_7313","basidiospores","3.7-5.9 x 1.2-1.5",4.8,1.35,NA,NA
"Basidiospores hyaline, thin-walled, smooth, globose, 3.5-4.5 x 3.5-4.0 µm","Leptoporus lignosus_65783_4591","Basidiospores","3.5-4.5 x 3.5-4.0",4,3.75,NA,NA
"Basidiospores 3,5-4,5 x 3,5-4 (av. 4,2 x 3,7) µm,","Leptoporus lignosus_65783_14023","Basidiospores",". 4,2 x 3,7)",4.2,3.7,NA,NA
"Basidiospores 7-10 µm","Lycoperdon arhizon_421231_37009","Basidiospores","7-10",8.5,NA,NA,NA
"Basidiospores cylindric to oblong-ellipsoid with a straight side when viewed sideways, hyaline, smooth, negative in Melzer's reagent, 5-6 x 3-4 µm.","Trametes ljubarskii_75514_43843","Basidiospores","5-6 x 3-4",5.5,3.5,NA,NA
"basidiospores hyaline, the wall smooth, non-amyloid, oblong-ellipsoid and laterally depressed to suballantoid, 5.5-7 x 2.5-3 µm.","Corticium lloydii_68047_25331","basidiospores","5.5-7 x 2.5-3",6.25,2.75,NA,NA
"Basidiospores ellipsoid, slightly curved, 7-8 x 4-5 µm,","Peniophora longicystidia_87941_48654","Basidiospores","7-8 x 4-5",7.5,4.5,NA,NA
"Basidiospores of the ""smooth"" type, 9-13 x 5-8 µm,","Ganoderma lucidum var. resinaceum_90681_3778","Basidiospores","9-13 x 5-8",11,6.5,NA,NA
"basidiospores of the ""smooth"" type, 8-11 x 5-6 µm.","Ganoderma lucidum var. resinaceum_90681_3779","basidiospores","8-11 x 5-6",9.5,5.5,NA,NA
"Basidiospores ellipsoid, truncate at the apex. with a thick, brown endospore separated from a thin, hyaline exospore by interwall pillars, much smaller than those on spores of G. lucidum making the spores appear finely rough, 9-1 1.5 x 4.5-7 µm.","Ganoderma lucidum var. resinaceum_90681_44053","Basidiospores","9-1 1.5 x 4.5-7",10.25,5.75,NA,NA
"Basidiospores ovoid, double-walled, epispore thin, ovoid, hyaline; endospore thick, ovoid, with usually a small part of the apex more or less Date brown or shades of brown, bearing relatively few long and thick echinules that support the epispore, sometimes fused into a short crest, in freshly discharged spores the apex of the epispore remains swollen and bulging, the tip of the apex soon collapses leaving an ovoid spore with a truncated tip, 8-13  x 5,5-9  µm;","Boletus lucidus_72755_14410","Basidiospores","8-13 x 5,5-9",10.5,7.25,NA,NA
"Basidiospores subovoid with the apex truncate, perisporium hyaline, smooth and thin, and endosporium golden with relatively scant endosporic pillars, wide and long, reaching the perisporium and rumpling it so that it appears strongly ""rugose"" (Figs. 23-25, 61); 9-13 x 5-6,9 µm.","Boletus lucidus_72755_33510","Basidiospores",". 23-2561); 9-13 x 5-6,9",11,5.95,NA,NA
"basidiospores deposited by air currents, margin acute, narrowly sterile below; pore surface creamy white at first. becoming light buff, staining dark purple-brown on bruising; pores circular to angular. 4-5 per mm, with thick dissepiments; context at first creamy white, becoming dark purple brown in older portions, zonate, up to 3 cm thick at base; tube layer purple-brown, sharply distinct from context, up to 1 cm thick. Hyphal system dimitic; contextual generative hyphae 2-2.5 µm","Boletus lucidus_72755_44051","basidiospores","2-2.5",2.25,NA,NA,NA
"Basidiospores ellipsoid, truncate at apex, pale brown in KOH, wall two-1ayered with thick, brown endospore separated by interwall pillars from thin. hyaline exospore with shallow depressions, negative in Melzer's reagent. 7-1I x 6-8 µm.","Boletus lucidus_72755_44051","Basidiospores"," 6-8",7,NA,NA,NA
"basidiospores ellipsoid, 5.5-6.5 x 2-2.5 µm,","Peniophora ludoviciana_61523_3860","basidiospores","5.5-6.5 x 2-2.5",6,2.25,NA,NA
"basidiospores allantoid or banana-shaped, 7-8 x (2-)2.5 µm,","Gloeocystidium macedonicum_65984_12551","basidiospores","7-8 x (2-)2.5",7.5,2.25,NA,NA
"Basidiospores rectangular, (17-)19-23(-29) x 11-16(-18) µm,","Aleurodiscus macrodens_60985_5876","Basidiospores","(17-)19-23(-29) x 11-16(-18)",21,16,NA,NA
"basidiospores ellipsoid, 6-7(-8) x 3-4 µm,","Peniophora magnahypha_61524_3524","basidiospores","6-7(-8) x 3-4",7,3.5,NA,NA
"Basidiospores ellipsoid, hyaline, smooth, negative in Melzer's reagent, 13-15 x 22-25 µm.","Stereum magnisporum_60967_7500","Basidiospores","13-15 x 22-25",14,23.5,NA,NA
"Basidiospores cylindric, hyaline, smooth, very thin-walled, negative in Melzer's reagent, mostly seen collapsed, 6.5-8 x 2.5-3 µm.","Leptoporus marianii_66018_44646","Basidiospores","6.5-8 x 2.5-3",7.25,2.75,NA,NA
"Spores-Basidiospores oblong ellipsoid, hyaline, thin-walled, smooth, IKI-, CB-, (4.1-)4.2-5.1(-5.8) x 2-2.4(-2.5) µm,","Polyporus maximus_61618_52462","Spores-Basidiospores","-(4.1-)4.2-5.1(-5.8) x 2-2.4(-2.5)",4.65,2.4,NA,NA
"basidiospores cylindrical to subal­lantoid, 12-15 x 4.5-5 µm,","Peniophora medioburiensis_61525_12596","basidiospores","12-15 x 4.5-5",13.5,4.75,NA,NA
"Basidiospores cylindrical to slightly allantoid, 11-15(-18) x 4-5(-5.5) µm,","Peniophora medioburiensis_61525_50020","Basidiospores","11-15(-18) x 4-5(-5.5)",15,5,NA,NA
"basidiospores 5(-5.5) x (3.5-)4 µm,","Meripilus lentifrondosa_421457_24452","basidiospores","5(-5.5) x (3.5-)4",5.25,3.75,NA,NA
"basidiospores (Fig. 10c) ellipsoid, 6-8 x 4-5 µm,","Meruliopsis sulphureus_421458_3117","basidiospores","6-8 x 4-5",7,4.5,NA,NA
"Basidiospores ellipsoid, (18)20-28 x 9.5-13 µm,","Vuilleminia megalospora_29137_54064","Basidiospores","(18)20-28 x 9.5-13",20,11.25,NA,NA
