"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Monilia celtidis","dark mildew","black_mildew","black_mildew"
"Sirosporium celtidis","dark mildew","black_mildew","black_mildew"
"Sarcinella kamalii","black mildew/lesions","black_mildew lesions","black_mildew lesions"
"Erysiphe liriodendri","mildew","powdery_mildew","powdery_mildews"
"Acrosporium acalyphae","powdery mildew","powdery_mildew","powdery_mildews"
"Acrosporium acanthospermi","powdery mildew","powdery_mildew","powdery_mildews"
"Acrosporium chrysanthemi","powdery mildew","powdery_mildew","powdery_mildews"
"Acrosporium dendrophthoë","powdery mildew","powdery_mildew","powdery_mildews"
"Acrosporium heveae","powdery mildew","powdery_mildew","powdery_mildews"
"Acrosporium lagasceae","powdery mildew","powdery_mildew","powdery_mildews"
"Acrosporium scopariae","powdery mildew","powdery_mildew","powdery_mildews"
"Acrosporium tingitaninum","powdery mildew","powdery_mildew","powdery_mildews"
"Albigo fugax","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha adunca","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha adunca var. ulmorum","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha aphanis","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha astragali","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha bicornis","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha clandestina","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha cynoglossi","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha depressa","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha epilobii","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha ferruginea","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha fuliginea","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha guttata","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha heraclei","powdery mildew","powdery_mildew","powdery_mildews"
"Alphitomorpha hyperici","powdery mildew","powdery_mildew","powdery_mildews"
