Species,spore_type,Primers.name,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Boletopsis_grisea,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Thelephorales,NA,NA,NA,NA,1.8035749002448211,0.12493873660829993,2,721,5.59510413214254,757.05,798.8887838381995,39.013356914860196,23333.975,0.3509999930858615,1018.2337649086285,1.0228005680685575,327.31972901125283,137.80544735617556,31.117293006027115,4679.950875944106,0.08626702932780754,4621745.924014494,0.23108729620072468,76037330432.01344,5.126365602255399e-4
Boletopsis_grisea,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Thelephorales,NA,NA,NA,NA,1.8035749002448211,0.12493873660829993,3,300,3.2419444737748964,892.8333333333334,1160.0822520756967,26.742378320761365,21144.233333333334,0.21333332856496168,128.17175976009693,2.3053115518833986,107.24281250197299,118.1397201073692,5.591873757238699,614.0408787966261,0.04618802050278752,NA,NA,NA,NA
Boletopsis_leucomelaena,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Thelephorales,Ectomycorrhizal,Plant,Plant-EcM,yes,1.785091494550808,0.10645533091428677,24,1190,7.004513894621695,712.9166666666665,654.998304785874,40.273197069240794,20637.41666666665,0.37583333253860496,621.076764841583,2.9918119968973156,51.160517498600946,50.56948929882973,6.594286879352116,56.77881060162587,0.05873670041939844,NA,NA,NA,NA
Boletus_austroedulis,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Boletales,NA,NA,NA,NA,2.120580081437456,0.3309932190414244,17,291.11764705882354,21.545812838023622,1836.8578431372537,239.34396136606665,74.22215825561608,23575.54803921567,1.7571373094530682,352.4143304324012,7.315558754417222,182.27567016648257,111.44935381628507,32.445483905157744,628.0788482459674,0.6582097901321311,2783307.2701667035,0.13916536350833517,881625364.2039403,5.943835633698341e-6
Boletus_edulis,Meiospores,fITS7/ITS4,Basidiomycota,Agaricomycetes,Boletales,Ectomycorrhizal,Plant,Plant-EcM,yes,2.604359842342002,0.17609125905568124,1,289,6.56071426542032,1058.57142857143,431.639205705396,25.8647805056449,16460.7142857143,0.569999992847443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boletus_edulis,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Boletales,Ectomycorrhizal,Plant,Plant-EcM,yes,2.604359842342002,0.17609125905568124,48,1218.7083333333333,7.8978139520144195,940.0104166666669,586.1733050789157,28.79212402529459,22517.65347222222,0.49965972188446234,556.5872437714307,3.128231901575045,269.8928699256472,103.86252608726468,15.054899473662598,2804.2100918032506,0.23335185323185814,12259829.24229133,0.6129914621145665,728696453927.4436,0.004912803243716162
Boletus_edulis,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Boletales,Ectomycorrhizal,Plant,Plant-EcM,yes,2.604359842342002,0.17609125905568124,12,440.9166666666667,8.1505208529450055,955.4902777777777,663.1778441423676,44.90540641468359,21468.058333333334,0.49758333836992585,560.7450333478153,4.379357553787721,165.4211322133424,319.8661563815793,32.45386383614271,2688.7970737981805,0.26814937674285055,14995202.877424017,0.7497601438712008,13556849866064.81,0.09139901208193309
Boletus_edulis,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Boletales,Ectomycorrhizal,Plant,Plant-EcM,yes,2.604359842342002,0.17609125905568124,23,122.95652173913044,5.5221348739225276,718.7267080745343,785.4122153967139,31.672476044399822,19798.231366459633,0.3680124213113055,220.80400158200146,1.1838800573247066,257.1674124410952,127.36755515195041,5.3240855351683365,1232.9348652224073,0.09179957115122814,1847654.1329744894,0.09238270664872447,150844557268.02005,0.0010169798772165367
Boletus_reticulatus,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Boletales,Undefined Saprotroph,Free-living,Free-living,no,2.604359842342002,0.17609125905568124,19,1467.421052631579,8.386027028204396,938.878947368421,763.3137416680224,63.09198297186763,20646.3149122807,0.4023070141803801,709.8718441294311,5.071298701728892,477.3610883794682,165.99711516918603,25.745260198113666,1915.9711279437483,0.2894920718451052,11057104.23246434,0.5528552116232169,703852853105.396,0.004745310013789868
Boletus_reticulatus,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Boletales,Undefined Saprotroph,Free-living,Free-living,no,2.604359842342002,0.17609125905568124,3,492.3333333333333,7.495747344378157,626.3603174603177,729.9809883860147,38.83542525930153,22373.504761904765,0.456222222910987,760.6078709383261,2.5389938752566192,19.35234599578139,115.10752947795835,12.573145596665732,2712.473972237889,0.14330437780652053,2345186.796482033,0.11725933982410165,24040530147.219097,1.620790026510463e-4
