"clade","species","value"
"basal_dicots","Lindera benzoin (L.) Bl.",103
"basal_dicots","Lindera communis Hemsl.",54.9
"basal_dicots","Lindera latifolia Hook.f.",52.482
"basal_dicots","Lindera megaphylla Hemsl.",363
"basal_dicots","Lindera praecox (Sieber & Zucc.) Bl.",275.6
"basal_dicots","Lindera queenslandica Hyland",281.15
"basal_dicots","Lindera umbellata var. membranacea",105.93
"basal_dicots","Liriodendron tulipifera L.",54.1
"basal_dicots","Litsea accedens (Bl.) Boerl.",290
"basal_dicots","Litsea bindoniana (F.Muell.) F.Muell.",290
"basal_dicots","Litsea calicaris (Sol. ex A.Cunn.) Benth. & Hook.f. ex Kirk",400
"basal_dicots","Litsea costata (Bl.) Boerl.",710
"basal_dicots","Litsea glauca",312.5
"basal_dicots","Litsea glaucescens Kunth",110
"basal_dicots","Litsea glutinosa (Lour.) C.B.Rob.",146
"basal_dicots","Litsea grandis Hook.f.",950
"basal_dicots","Litsea leefeana (F.Muell.) Merr.",600
"basal_dicots","Litsea martabanica (Kurz) Hook.f.",161.6
"basal_dicots","Litsea panamonja (Nees) Hook.f.",285.71
"basal_dicots","Litsea polyantha Juss.",188.68
"basal_dicots","Litsea pungens Hemsl.",24.3
"basal_dicots","Litsea umbrosa (Nees) Nees",3333
"basal_dicots","Machilus gammieana Hook.f.",3333
"basal_dicots","Macropiper excelsum (Forst.f.) Miq.",1.9
"basal_dicots","Magnolia acuminata (L.) L.",88.51
"basal_dicots","Magnolia campbellii Hook.f. & Thomson",70.92
"basal_dicots","Magnolia dealbata Zucc.",258.0995988
"basal_dicots","Magnolia denudata Desr.",303.03
"basal_dicots","Magnolia elegans (Bl.) H.Keng",170
"basal_dicots","Magnolia floribunda (Finet & Gagnep.) Figlar",147.2248
"basal_dicots","Magnolia fraseri Walter",99.85
"basal_dicots","Magnolia fulva (Hung T.Chang & B.L.Chen) Figlar",88.628
"basal_dicots","Magnolia grandiflora L.",72.9
"basal_dicots","Magnolia insignis Wall.",54.8097826
"basal_dicots","Magnolia kobus var. borealis Sarg.",169
"basal_dicots","Magnolia kobus DC.",191
"basal_dicots","Magnolia liliiflora Desr.",112.4424
"basal_dicots","Magnolia macrophylla Michx.",146.2
"basal_dicots","Magnolia obovata Thunb.",273
"basal_dicots","Magnolia pallescens Urb. & Ekman",52.2824
"basal_dicots","Magnolia salicifolia Maxim.",212.77
"basal_dicots","Magnolia sieboldii K.Koch",105.1
"basal_dicots","Magnolia stellata (Sieber & Zucc.) Maxim.",232.56
"basal_dicots","Magnolia tripetala (L.) L.",263.16
"basal_dicots","Magnolia virginiana L.",62.3
"basal_dicots","Magnolia wilsonii (Finet & Gagnep.) Rehder",81.25
"basal_dicots","Magnolia x soulangeana Hamel",303.03
"basal_dicots","Malmea aff. lucida Diels",1390
"basal_dicots","Malmea depressa (Baill.) R.E.Fr.",1030
"basal_dicots","Malmea diclina R.E.Fr.",1080
"basal_dicots","Melodorum australis",38
"basal_dicots","Melodorum leichhardtii (F.Muell.) Benth.",165.32
"basal_dicots","Mezzettia parviflora Becc.",5600
"basal_dicots","Michelia baillonii (Pierre) Finet & Gagnep.",88.5
"basal_dicots","Michelia champaca var. michaelia",59
"basal_dicots","Michelia champaca L.",168
"basal_dicots","Michelia doltsopa Buch.-Ham. ex DC.",90.5
"basal_dicots","Michelia macclurei Dandy",46.5
"basal_dicots","Michelia montana Bl.",204.08
"basal_dicots","Michelia oblonga Wall.",123.46
"basal_dicots","Michelia velutina DC.",135.14
"basal_dicots","Miliusa longiflora (Hook.f. & Thomson) J.Sincl.",2381
"basal_dicots","Miliusa tomentosa (Roxb.) J.Sincl.",417.4
"basal_dicots","Miliusa velutina Hook.f. & Thomson",343.8
"basal_dicots","Mkilua fragrans Verdc.",124.3755
"basal_dicots","Mollinedia viridiflora Tul.",220
"basal_dicots","Monanthotaxis buchananii (Engl.) Verdc.",90.696
"basal_dicots","Monanthotaxis fornicata (Baill.) Verdc.",56.82
"basal_dicots","Monanthotaxis micrantha (Bak.) Verdc.",100.32
"basal_dicots","Monodora grandidieri Baill.",619.852
"basal_dicots","Myristica cinnamomea King",7900
"basal_dicots","Myristica fragrans Houtt.",7793
"basal_dicots","Myristica maingayi Hook.f.",8200
"basal_dicots","Nectandra amazonum Nees",2032
"basal_dicots","Nectandra ambigens (S.F.Blake) C.K.Allen",1800
"basal_dicots","Nectandra sp.",11340
"basal_dicots","Neolitsea dealbata (R.Br.) Merr.",146
"basal_dicots","Neolitsea parvigemma (Hayata) Kaneh. & Sasaki",320
"basal_dicots","Nothaphoebe umbelliflora (Bl.) Bl.",2100
"basal_dicots","Nuphar lutea (L.) Sm.",21.58
"basal_dicots","Nuphar polysepalum",2.188
"basal_dicots","Nymphaea maculata Schumach. & Thonn.",1.7668
"basal_dicots","Nymphaea nouchalii var. caerulea",1.443
"basal_dicots","Nymphaea odorata Ait.",5.86
"basal_dicots","Nymphaea thermarum Eb.Fisch.",1.1324
"basal_dicots","Ocotea acutifolia (Nees) Mez",581.5
"basal_dicots","Ocotea dendrodaphne Mez",310
"basal_dicots","Ocotea duidensis Moldenke ex Gleason",173.46
"basal_dicots","Ocotea endresiana Mez",750
"basal_dicots","Ocotea floribunda (Sw.) Mez",1643.32
"basal_dicots","Ocotea leucoxylon (Sw.) Laness.",100
"basal_dicots","Ocotea puberula (Rich.) Nees",125.7
"basal_dicots","Ocotea usambarensis Engl.",50
"basal_dicots","Ocotea whitei Woodson",7300
"basal_dicots","Ondinea purpurea Hartog",0.799
"basal_dicots","Orophea sp.",700
"basal_dicots","Otoba parvifolia (Markgr.) A.H.Gentry",1815
"basal_dicots","Oxandra espintana (Spruce ex Benth.) Baill.",375
"basal_dicots","Peperomia abyssinica Miq.",0.224
"basal_dicots","Peperomia angustata Kunth",0.2488
"basal_dicots","Peperomia bellendenkerensis Domin",0.1676
"basal_dicots","Peperomia blanda var. floribunda",0.27
"basal_dicots","Peperomia blanda (Jacq.) Kunth",0.1780702
"basal_dicots","Peperomia coquimbensis Skottsb.",0.166
"basal_dicots","Peperomia eekana C.DC.",0.1228
"basal_dicots","Peperomia enervis F.Muell.",0.25
"basal_dicots","Peperomia fernandeziana Miq.",0.1916
"basal_dicots","Peperomia leptostachya Hook. & Arn.",0.44
"basal_dicots","Peperomia magnoliifolia (Jacq.) A.Dietr.",0.2046
"basal_dicots","Peperomia obtusifolia (L.) A.Dietr.",0.0996
"basal_dicots","Peperomia pellucida (L.) Kunth",0.1472
"basal_dicots","Peperomia polystachya Hook.",0.2112
"basal_dicots","Peperomia retusa (L.f.) A.Dietr. var. retusa",0.1848
"basal_dicots","Peperomia septentrionalis S.Br.",0.31192
"basal_dicots","Peperomia sincorana C.DC.",0.1
"basal_dicots","Peperomia tetraphylla (G.Forst.) Hook. & Arn.",0.2134
"basal_dicots","Peperomia urvilleana A.Rich.",0.20292
"basal_dicots","Persea americana Mill.",15308
"basal_dicots","Persea breviflora (Benth.) Pax",339
"basal_dicots","Persea chinensis (Benth.) Pax",337
"basal_dicots","Persea lingue (Ruiz & Pav.) Nees",1.45
"basal_dicots","Persea macrantha (Nees) Kosterm.",455
"basal_dicots","Persea odoratissima (Nees) Kosterm.",315.6
"basal_dicots","Phaeanthus ophthalmicus (Roxb. ex G.Don) Sinclair",300
"basal_dicots","Phoebe attenuata Nees",555.56
"basal_dicots","Phoebe cinnamomifolia (Kunth) Nees",597.46
"basal_dicots","Phoebe hainesiana Brandis",1000
"basal_dicots","Piper aequale Vahl.",0.06
