"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"teliospores on both surfaces. Teliospores unicellular, roughly cylindrical in side view, circular to irregular in cross section, 30-45 x 11-14 µm;","Uredo medusae_237520_14447","teliospores","30-45 x 11-14",37.5,12.5,NA
"Teliospores unicellular, roughly cylindrical in side view, circular to irregular in cross section, 30-45 x 11-14 µm;","Uredo medusae_237520_14447","Teliospores","30-45 x 11-14",37.5,12.5,NA
"Teliospores broadly ellipsoidal, slightly bullate at the apex, 22-28 x 17-22 µm;","Uredo pisi-sativi_120287_13892","Teliospores","22-28 x 17-22",25,19.5,NA
"Teliospores broadly ellipsoid, rounded at both ends conspicuously constricted at septum, 22-42(-44) x 18-30 µm;","Uropyxis mirabilissima_305635_13673","Teliospores","22-42(-44) x 18-30",42,24,NA
"teliospores and few uredospores. Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Uropyxis mirabilissima_305635_14077","teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Uropyxis mirabilissima_305635_14077","Teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores one-celled, the cells easily separating and +- globose, 30-45 x 16-26 µm;","Tranzschelia pruni-spinosae var. pruni-spinosae_123696_14258","Teliospores","30-45 x 16-26",37.5,21,NA
"Teliospores ellipsoid to clavate, rounded at both ends, not or slightly constricted at septum, (29-)30-45(-48) x 21-30(-34) µm","Puccinia hieracii var. hieracii_211327_39502","Teliospores","(29-)30-45(-48) x 21-30(-34)",37.5,30,NA
"Teliospores golden brown, broadly ellipsoid, 23-34 x 45-63 µm;","Puccinia stipae var. stipae_368598_54865","Teliospores","23-34 x 45-63",28.5,54,NA
"Teliospores clavate, light brown, 2-celled, 13-19(-22.0) x 34.0-50.0 µm;","Puccinia striiformis var. striiformis_123928_54867","Teliospores","13-19(-22.0) x 34.0-50.0",19,42,NA
"Teliospores clavate to broadly clavate or oblong, not or slightly constricted at septum, 14-24 x (38-)42-71 µm","Puccinia urticata var. urticata_216809_49763","Teliospores","14-24 x (38-)42-71",19,42,NA
"teliospores instead of the aeciospores. In all other regards, the protolog of A. podophylli describes aecia.  [≡ Puccinia podophylli (Schwein.) Link, Species Plantarum 6:79. 1825 non Puccinia podophylli Schwein., Schriften Naturf. Ges. Leipzig 1:72. 1822.]  Note: This is nom. illeg. because it is a later homonym (ICBN Art. 53). Although Link (1825) was reclassifying this species in Puccinia due to the lapsus calami of Schweinitz that was discussed above, this name should have received a nom. nov. designation instead of the same name as the already valid and legitimate Puccinia podophylli Schwein.  ≡ Puccinia aurea Spreng., Systema Vegetabilium 4:568.1827.  Note: This is nom. nov. for Aecidium podophylli.  Study of Allodus podophylli (designated neotype of Puccinia podophylli Schwein.): Leaf spots scattered to gregarious, typically more or less circular to elongate-elliptical, yellow, 3-8 mm diam. Spermogonia of Group V (type 4), epiphyllous on leaf spots, scattered to gregarious, subepidermal and scarcely visible as small raised warts, honey yellow, globoid to depressed globoid, with ostiolar filaments, 130-160 µm","Allodus podophylli_377106_56835","teliospores","130-160",145,NA,NA
"Teliospores 37-59 x 16-27 µm,","Allodus podophylli_377106_56835","Teliospores","37-59 x 16-27",48,21.5,NA
"teliospores (65-) 75-120 (-140) µm","Cystingophora hieronymi_380876_17607","teliospores","(65-) 75-120 (-140)",97.5,NA,NA
"Teliospores globose to ovoid, 10-20 x 7-18 µm,","Doassansiopsis deformans_149742_33441","Teliospores","10-20 x 7-18",15,12.5,NA
"Teliospores ovoid or oblong to ellipsoid, rounded above and below, hardly constricted, 15-24 x 20-35 µm;","Micropuccinia ribis_385982_49768","Teliospores","15-24 x 20-35",19.5,27.5,NA
"teliospores oblong-ellipsoid or broadly ellipsoid, only slightly constricted at septum, (30-) 35-43 (-46) x (20-) 22-28 (-30) µm,","Nephlyctis elegans_343757_17601","teliospores","(30-) 35-43 (-46) x (20-) 22-28 (-30)",39,25,NA
"Teliospores narrowly ellipsoid, not constricted at septum, 45-85 x 14-22 µm;","Podisoma clavariiforme_388486_13338","Teliospores","45-85 x 14-22",65,18,NA
"Teliospores cylindric-fusoid, sometimes shorter and more ellipsoid, 2-celled, rounded, 45-100 x 12-20 µm;","Podisoma clavariiforme_388486_14857","Teliospores","45-100 x 12-20",72.5,16,NA
"teliospores 2-celled, narrowly fusiform, 38-99 x 13-23 µm,","Podisoma clavariiforme_388486_37297","teliospores","38-99 x 13-23",68.5,18,NA
"teliospores pedicellate, in clavate or elongate-cuneate chains of 2-4 probasidial cells, oblong or ellipsoid, upper part ending in digital or crown-1ike projections or attenuate or flat, each cell 24-60 x 17-24 µm,","Spirechina loeseneriana_203477_17599","teliospores","24-60 x 17-24",42,20.5,NA
"Teliospores cylindric, apex round, base round or slightly tapered, 2-6 cells, 35-97 x 21-35 µm;","Kuehneola tormentillae_150150_13694","Teliospores","35-97 x 21-35",66,28,NA
"Teliospores ellipsoid or occasionally lower cell slightly tapered to base, slightly to moderately constricted at septum (30-)39-58(-62) X 21-34 µm;","Puccinia calthaecola_369085_13574","Teliospores","(30-)39-58(-62) x 21-34",48.5,27.5,NA
"Teliospores in chains loosely united laterally then the chains tending to separate, barrel-shaped, oblong or ovoid, 14-22 x 10-13 µm;","Malupa fici_155963_14249","Teliospores","14-22 x 10-13",18,11.5,NA
"subepidermal.Teliospores 1-celled, in short chains of (1-) 2 (-3) spores, cylindrical, +- truncate above and below, 22-34 x 12-18 µm;","Phakopsora zeae_172452_13772","subepidermal.Teliospores","22-34 x 12-18",28,15,NA
"subepidermal.Teliospores 1-celled, in short chains of (1-) 2 (-3) spores, cylindrical, +- truncate above and below, 22-34 x 12-18 µm;","Uredendo zeae_172559_13772","subepidermal.Teliospores","22-34 x 12-18",28,15,NA
"Teliospores often mostly one-celled: (21-) 25-49 x 14.5-23 µm.","Puccinia hordei_120782_13701","Teliospores",": (21-) 25-49 x 14.5-23",25,18.75,NA
"Teliospores in crusts of laterally adherent spores, 5-8 spores in depth, 70-110 x 10-13 µm,","Phakopsora gossypii_351996_13997","Teliospores","70-110 x 10-13",90,11.5,NA
"Teliospores rather firmly cemented together, ellipsoid at apex of the telial columns, cylindric below, rounded or truncate ends, 28-60 x 15-23 µm;","Cronartium ribicola_117380_14251","Teliospores","28-60 x 15-23",44,19,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Nigredo appendiculata_370139_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores (cleared) 19-25 µm","Nigredo punctata_370140_13002","Teliospores",") 19-25",22,NA,NA
"Teliospores oblong, 10-15 x 26-32 µm,","Nigredo dolicholi_308211_14237","Teliospores","10-15 x 26-32",12.5,29,NA
"Teliospores ellipsoid, rounded above and below, slightly constricted at septum, 23-38 x 17-25 µm;","Spirechina pittieriana_389880_14254","Teliospores","23-38 x 17-25",30.5,21,NA
"teliospores obvoid to clavate, 35-55 (57)-(10) 12-19 (21) µm,","Puccinia coronata var. hordei_209887_52338","teliospores","35-55 (57)-(10) 12-19 (21)",10,NA,NA
"Teliospores polyhedral, shape very variable; (17)18-23(25) x (22)24-28(31) µm;","Anthracoidea yunnanensis_413571_51234","Teliospores","; (17)18-23(25) x (22)24-28(31)",20.5,26,NA
"Teliospores clavate, in a single crustose layer, subepidermal, hyaline, 52-95 x (13-)15-28 µm;","Uredo tremellosa var. campanulae_402987_13512","Teliospores","52-95 x (13-)15-28",73.5,15,NA
"Teliospores ellipsoid to clavate, rounded at both ends, not or slightly constricted at septum, (29-)30-45(-48) x 21-30(-34) µm","Puccinia flosculosorum var. hieracii_402989_39502","Teliospores","(29-)30-45(-48) x 21-30(-34)",37.5,30,NA
"Teliospores cylindric, not constricted at the septa, rounded above and abruptly mucronate or, more often, tapered, apiculus 6-15 µm","Aregma mucronatum_211331_14029","Teliospores","6-15",10.5,NA,NA
"Teliospores ellipsoid to cylindric, obtuse or umbonate above, slightly constricted at the septum, 30-50 x 20-26 µm;","Trichobasis apii_151463_14252","Teliospores","30-50 x 20-26",40,23,NA
"Teliospores clavate-cylindric, truncate, rounded or acute above, slightly constricted at the septum, base somewhat attenuate, 3-50 x 13-21 µm;","Trichobasis iridis_164056_14253","Teliospores","3-50 x 13-21",26.5,17,NA
"teliospores ; crumbly; pale yellowish-ochre. Balls of teliospores  easily separating into single cells ; globose; (20-)30-50 x 30-60(-70) µm;","Aurantiosporium pallidum_211884_61084","teliospores","; (20-)30-50 x 30-60(-70)",30,60,NA
"teliospores  easily separating into single cells ; globose; (20-)30-50 x 30-60(-70) µm;","Aurantiosporium pallidum_211884_61084","teliospores","; (20-)30-50 x 30-60(-70)",30,60,NA
"Teliospores globose; (10-)11-14(-15) x (13-)14-17(-18) µm;","Aurantiosporium pallidum_211884_61084","Teliospores","; (10-)11-14(-15) x (13-)14-17(-18)",12.5,15.5,NA
"teliospores embedded in a hyaline matrix. Spore mass exposed by apically rupturing peridia ; composed of single teliospores ; agglutinated in the basal part, powdery in the upper part ; dark brown. Teliospores  spherical to globose, slightly  flattened ; (19)21-23(-25) x (20-)22-25(-28) µm;","Kuntzeomyces ruizianae_211885_61087","teliospores","; (19)21-23(-25) x (20-)22-25(-28)",22,23.5,NA
"teliospores ; agglutinated in the basal part, powdery in the upper part ; dark brown. Teliospores  spherical to globose, slightly  flattened ; (19)21-23(-25) x (20-)22-25(-28) µm;","Kuntzeomyces ruizianae_211885_61087","teliospores","; (19)21-23(-25) x (20-)22-25(-28)",22,23.5,NA
"Teliospores  spherical to globose, slightly  flattened ; (19)21-23(-25) x (20-)22-25(-28) µm;","Kuntzeomyces ruizianae_211885_61087","Teliospores","; (19)21-23(-25) x (20-)22-25(-28)",22,23.5,NA
"teliospores ; when young, agglutinated, later powdery; dark. Balls (Figs 21-22) formed by firmly united cells ; globose to irregularly shaped; 30-50(-60) x (25-)40-70(-90) µm;","Moreaua bulbostylidis_211886_61090","teliospores","; 30-50(-60) x (25-)40-70(-90)",50,55,NA
"teliospores ; one ball made of ca (10-)30-50 or more teliospores. Teliospores subcuneiform ; shape somewhat variable ; radially (7-)8-10(-11) µm,","Moreaua bulbostylidis_211886_61090","teliospores","(7-)8-10(-11)",9,NA,NA
"Teliospores subcuneiform ; shape somewhat variable ; radially (7-)8-10(-11) µm,","Moreaua bulbostylidis_211886_61090","Teliospores","(7-)8-10(-11)",9,NA,NA
"teliospores  formed by firmly united cells ; globose; (17-)22-33(-38) x (20-)26-37(-42) µm;","Thecaphora amaranthicola_211887_61093","teliospores","; (17-)22-33(-38) x (20-)26-37(-42)",27.5,31.5,NA
"Teliospores polyhedral, sometimes cuneiform; in surface view (8-)9-11(-12) x 11-14(-15) µm,","Thecaphora amaranthicola_211887_61093","Teliospores","(8-)9-11(-12) x 11-14(-15)",10,14,NA
"teliospores on the surface of the teliospore balls ; ornamentation 2-3 µm","Thecaphora amaranthicola_211887_61093","teliospores","2-3",2.5,NA,NA
"teliospores (Figs 28-29) formed by firmly united cells ; globose; 30-50 x 40-60(-70) µm;","Thecaphora smallanthi_211888_61105","teliospores","; 30-50 x 40-60(-70)",40,60,NA
"teliospores and sterile cells ; teliospores forming one layer at the surface of the ball, separate from each other ; sterile cells occupying the central space of the balls , probably fixing the teliospores together in the balls. Teliospores globose; (12-)13-17(-18) x (15-)17-21(-23) µm;","Thecaphora smallanthi_211888_61105","teliospores","; (12-)13-17(-18) x (15-)17-21(-23)",15,19,NA
"teliospores forming one layer at the surface of the ball, separate from each other ; sterile cells occupying the central space of the balls , probably fixing the teliospores together in the balls. Teliospores globose; (12-)13-17(-18) x (15-)17-21(-23) µm;","Thecaphora smallanthi_211888_61105","teliospores","; (12-)13-17(-18) x (15-)17-21(-23)",15,19,NA
"teliospores together in the balls. Teliospores globose; (12-)13-17(-18) x (15-)17-21(-23) µm;","Thecaphora smallanthi_211888_61105","teliospores","; (12-)13-17(-18) x (15-)17-21(-23)",15,19,NA
"Teliospores globose; (12-)13-17(-18) x (15-)17-21(-23) µm;","Thecaphora smallanthi_211888_61105","Teliospores","; (12-)13-17(-18) x (15-)17-21(-23)",15,19,NA
"teliospores and single sterile cells ; powdery; medium brown. Teliospores spherical to globose; 18-21(-22) x (18-)20-23(-24) µm;","Tilletia boliviana_211889_61111","teliospores","; 18-21(-22) x (18-)20-23(-24)",21,21.5,NA
"Teliospores spherical to globose; 18-21(-22) x (18-)20-23(-24) µm;","Tilletia boliviana_211889_61111","Teliospores","; 18-21(-22) x (18-)20-23(-24)",21,21.5,NA
"teliospores in the entire central part of the peduncle; formed by hypertrophied host tissue (cfr Figs 32-33); tubeshaped; with one rudimentary spikelet on its tip ; ca 0-8-1 x 30(-40) mm; grey; surface of host tissue forming the tube smooth. Spore mass exposed by rupturing host tissue ; composed of balls formed by teliospores and sterile cells ; powdery; dark brown. Balls (Figs 34-36) formed by firmly united cells ; globose; (19-)22-29 x (21-)24-40(-52) µm;","Urocystis reinhardii_211890_61114","teliospores","; (19-)22-29 x (21-)24-40(-52)",22,32,NA
"teliospores and sterile cells ; powdery; dark brown. Balls (Figs 34-36) formed by firmly united cells ; globose; (19-)22-29 x (21-)24-40(-52) µm;","Urocystis reinhardii_211890_61114","teliospores","; (19-)22-29 x (21-)24-40(-52)",22,32,NA
"teliospores and sterile cells completely surrounding them. Teliospores globose to polyhedral,  flattened where in contact with other cells ; (9-)10-12 x (11-)12-14(-15) µm;","Urocystis reinhardii_211890_61114","teliospores","; (9-)10-12 x (11-)12-14(-15)",10,13,NA
"Teliospores globose to polyhedral,  flattened where in contact with other cells ; (9-)10-12 x (11-)12-14(-15) µm;","Urocystis reinhardii_211890_61114","Teliospores","; (9-)10-12 x (11-)12-14(-15)",10,13,NA
"Teliospores normally 2-celled, (29-)32-60(-62) x (10-)11-20(-22) µm,","Puccinia persistens subsp. triticina_147773_13698","Teliospores","(29-)32-60(-62) x (10-)11-20(-22)",46,15.5,NA
"Teliospores 1-2-celled, 1-celled spores less common; 11-20 x 30-58 µm;","Puccinia persistens var. agropyrina_154056_52405","Teliospores","; 11-20 x 30-58",15.5,44,NA
"Teliospores produced in the uredinia, 80-120 µm","Ravenelia argentinica_213353_17606","Teliospores","80-120",100,NA,NA
"Teliospores bicellular (one-or three-celled spores very rare), mostly ellipsoidal to narrowly ellipsoidal, slightly contracted at the septum, spore apex obtuse, more rarely almost truncate, spore base cuneate, (46) 50-61.6-75 (81) x 19-22.9-26 µm,","Puccinia baccharidis-boliviensis_213661_17348","Teliospores","(46) 50-61.6-75 (81) x 19-22.9-26",61.6,22.9,NA
"Teliospores predominantly unicellular (mesospores), narrowly ellipsoidal or narrowly obovate, 29-34.8-43(48) x 12.5-14-17 µm,","Puccinia cordyceps_213662_17351","Teliospores","29-34.8-43(48) x 12.5-14-17",38.9,14,NA
"Teliospores mostly broadly ellipsoid, more rarely broadly obovoid, 28-31.6-36 x 23-26.1-27 (29) µm,","Puccinia pucarae_213663_17353","Teliospores","28-31.6-36 x 23-26.1-27 (29)",31.6,26.55,NA
"Teliospores developing within the uredinia, subglobose, obovoidal to broadly obovoidal, ellipsoid, often slightly asymmetrical or irregularly deformed, (22) 24-25.9-32 (35) x 19-20.8-24 µm,","Uromyces vankyorum_213768_51206","Teliospores","(22) 24-25.9-32 (35) x 19-20.8-24",25.9,20.8,NA
"Teliospores cylindric, not constricted at the septa, rounded above and abruptly mucronate or, more often, tapered, apiculus 6-15 µm","Puccinia mucronata_404835_14029","Teliospores","6-15",10.5,NA,NA
"Teliospores in uredinia, composed of two, laterally free probasidial cells attached to the distal end of a hypha-1ike pedicel, suggesting the letter Y, each probasidial cell 30-70 x 10-20 µm,","Ypsilospora tucumanensis_429981_17586","Teliospores","30-70 x 10-20",50,15,NA
"Teliospores 5-9(-10)-celled, 65-140(-155) x (22-)23-28(-30) µm,","Phragmidium arcticum_425670_13261","Teliospores","65-140(-155) x (22-)23-28(-30)",140,25.5,NA
"Teliospores ellipsoid, 20-23 x 25-29 µm,","Caeoma dianthi_407439_14005","Teliospores","20-23 x 25-29",21.5,27,NA
"teliospores with pedicels up to 80 µm","Caeoma dianthi_407439_14005","teliospores","80",80,NA,NA
"teliospores (21-25 x 16-19 µm).","Caeoma dianthi_407439_14005","teliospores","(21-25 x 16-19",23,17.5,NA
"Teliospores obovoid to ellipsoid, 28-38.4 x 19.2-25.6 µm;","Caeoma geranii_407437_13716","Teliospores","28-38.4 x 19.2-25.6",33.2,22.4,NA
"Teliospores subgloboid to ovoid, 22-42 x 13-26 µm;","Caeoma geranii_407437_14238","Teliospores","22-42 x 13-26",32,19.5,NA
"Teliospores cylindric, clavate, rounded or truncate above, 60-140 x 15-28 µm;","Caeoma ipomoeae_407461_14250","Teliospores","60-140 x 15-28",100,21.5,NA
"Teliospores narrowly ellipsoid, slightly to not constricted at septum, 50-75 x 16-20.5 µm;","Podisoma juniperi-virginianae_407442_13364","Teliospores","50-75 x 16-20.5",62.5,18.25,NA
"Teliospores cylindric-fusoid, 2-celled, not or very slightly constricted, 45-65 x 15-21 µm;","Podisoma juniperi-virginianae_407442_14862","Teliospores","45-65 x 15-21",55,18,NA
"teliospores instead of the aeciospores. In all other regards, the protolog of A. podophylli describes aecia.  [≡ Puccinia podophylli (Schwein.) Link, Species Plantarum 6:79. 1825 non Puccinia podophylli Schwein., Schriften Naturf. Ges. Leipzig 1:72. 1822.]  Note: This is nom. illeg. because it is a later homonym (ICBN Art. 53). Although Link (1825) was reclassifying this species in Puccinia due to the lapsus calami of Schweinitz that was discussed above, this name should have received a nom. nov. designation instead of the same name as the already valid and legitimate Puccinia podophylli Schwein.  ≡ Puccinia aurea Spreng., Systema Vegetabilium 4:568.1827.  Note: This is nom. nov. for Aecidium podophylli.  Study of Allodus podophylli (designated neotype of Puccinia podophylli Schwein.): Leaf spots scattered to gregarious, typically more or less circular to elongate-elliptical, yellow, 3-8 mm diam. Spermogonia of Group V (type 4), epiphyllous on leaf spots, scattered to gregarious, subepidermal and scarcely visible as small raised warts, honey yellow, globoid to depressed globoid, with ostiolar filaments, 130-160 µm","Puccinia podophylli_407527_56835","teliospores","130-160",145,NA,NA
"Teliospores 37-59 x 16-27 µm,","Puccinia podophylli_407527_56835","Teliospores","37-59 x 16-27",48,21.5,NA
"Teliospores ellipsoid, not constricted at septum, ends obtuse, 33.5-49.5 x 20.8-27.2 µm;","Puccinia bullata_408477_13279","Teliospores","33.5-49.5 x 20.8-27.2",41.5,24,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Puccinia phaseoli_409137_13973","Teliospores","28-38 x 20-36",33,28,NA
"Teliospores ellipsoid to oblong, rounded at both ends or sometimes attenuated downwards, not or slightly constricted at septum, 25-32(-35) x 19-22 µm","Puccinia violarum_409033_39503","Teliospores","25-32(-35) x 19-22",32,20.5,NA
"Teliospores cylindric, not constricted at the septa, rounded above and abruptly mucronate or, more often, tapered, apiculus 6-15 µm","Aregma phragmidium subsp. mucronatum_409081_14029","Teliospores","6-15",10.5,NA,NA
"Teliospores cylindric, not constricted at the septa, rounded above and abruptly mucronate or, more often, tapered, apiculus 6-15 µm","Phragmidium incrassatum var. mucronatum_410298_14029","Teliospores","6-15",10.5,NA,NA
"teliospores 2-celled, brownish orange, 38-51.5 x 18.5-25 µm,","Tremella clavariiformis var. digitata_410049_37303","teliospores","38-51.5 x 18.5-25",44.75,21.75,NA
"Teliospores catenulate, unicellular, subhyaline, smooth, thin-walled, guttulate, obovoid to ellipsoidal, 23-30 x 14-21 µm;","Dietelia mesoamericana_426582_15338","Teliospores","23-30 x 14-21",26.5,17.5,NA
"teliospores ellipsoidal, oblong, more rarely broadly ellipsoidal or subclavate, slightly to moderately constricted at the septum, 40-52 (55) x (17.5) 20-23 µm","Puccinia horti-kirstenboschi_431166_51699","teliospores","40-52 (55) x (17.5) 20-23",52,20,NA
"teliospores fusiform to ellipsoidal, not or slightly constricted at the septum, basally stalked by a delicate, thin-walled, hyaline, collapsing pedicel up to 55 µm","Puccinia subindumentana_431167_51702","teliospores","55",55,NA,NA
"teliospores ellipsoidal or subclavate, often slightly bent or deformed by mutual pressure within sori, distal cells apically subacute to rounded, lower cells tapering into the pedicel or more or less rounded, slightly constricted at septum, sometimes hardly or more deeply constricted, (48) 50-69 (80) x 20.5-25.5 (27) µm","Puccinia cornurediata_431168_51705","teliospores","(48) 50-69 (80) x 20.5-25.5 (27)",59.5,25.5,NA
"teliospores broadly ellipsoidal, broadly ovoidal or rarely subglobose, not or very slightly constricted at the septum, (39) 42-64 x 32-48 µm,","Puccinia othonnoides_431169_51708","teliospores","(39) 42-64 x 32-48",42,40,NA
"teliospores were found appeared slightly wax-1ike; teliospores ellipsoidal, clavate, rarely broadly ellipsoidal or oblong ellipsoidal, slightly constricted at septum, the distal cell ellipsoidal, broadly ellipsoidal or subglobose most often shorter than the proximal, cuneate one, 39-65 x 14.5-20 µm","Puccinia dioscoreae-mundtii_431170_51711","teliospores","39-65 x 14.5-20",52,17.25,NA
"teliospores ellipsoidal, clavate, rarely broadly ellipsoidal or oblong ellipsoidal, slightly constricted at septum, the distal cell ellipsoidal, broadly ellipsoidal or subglobose most often shorter than the proximal, cuneate one, 39-65 x 14.5-20 µm","Puccinia dioscoreae-mundtii_431170_51711","teliospores","39-65 x 14.5-20",52,17.25,NA
"teliospores among the urediniospores, broadly ellipsoidal, obovoidal (to subglobose), (23) 25-32 x 20-23 µm","Uromyces lotononidicola_431172_51716","teliospores",")(23) 25-32 x 20-23",25,21.5,NA
"teliospores ellipsoidal, broadly ellipsoidal or subfusiform, not or hardly constricted at the septum, apically often with an inconspicuous to conspicuous yellow-brown apiculus up to 6 µm","Puccinia rapipes_431173_51719","teliospores","6",6,NA,NA
"Teliospores catenulate, 17-33 x 6-20 µm,","Diaphanopellis forrestii_437239_19001","Teliospores","17-33 x 6-20",25,13,NA
"teliospores 25-35 x 19-26 µm,","Caeomurus cestri_433700_17610","teliospores","25-35 x 19-26",30,22.5,NA
"teliospores ellipsoid, rounded at both ends, not constricted at septum, 31-33 x 21-24 µm,","Dicaeoma pampeana_433697_17605","teliospores","31-33 x 21-24",32,22.5,NA
"Teliospores are intermingled with sterile cells, 9-31 µm","Salmacisia buchloëana_450827_25822","Teliospores","9-31",20,NA,NA
"Teliospores ellipsoid to clavate, apex acute to obtuse; slightly constricted at septum, tapering slightly toward pedicel, (30-)35-65(-70) x 15-26(-30) µm;","Puccinia distichlydis_452204_13454","Teliospores","(30-)35-65(-70) x 15-26(-30)",50,26,NA
"Teliospores 2-celled by longitudinal septum (diorchidioid), (26-) 27-33 (-36)x(30-) 36-40 (-41) µm","Puccinia urochloae_453463_60536","Teliospores",")(26-) 27-33 (-36)x(30-) 36-40 (-41)",30,38,NA
"teliospores (35-)37(-40) µm","Dicheirinia antunesii_456017_30138","teliospores","(35-)37(-40)",37,NA,NA
"Teliospores ellipsoid to broadly ellipsoid or obovoid, not or slightly constricted at the septum, attenuated towards base, 22-30(-33) x (38-)40-57 µm","Caeoma absinthii_457874_52409","Teliospores","22-30(-33) x (38-)40-57",30,40,NA
"teliospores slightly irregularly shaped, often broadly ellipsoid or obovoid, with thin-walled, hyaline pedicel which tends to break off shortly from the hilum, 26-33 x 19-25 µm","Uromyces umiamensis_458437_51399","teliospores","26-33 x 19-25",29.5,22,NA
"teliospores slightly irregularly shaped, often broadly ellipsoid or obovoid, with thin-walled, hyaline pedicel which tends to break off shortly from the hilum, 26-33 x 19-25 µm","Uromyces umiamensis_458437_51419","teliospores","26-33 x 19-25",29.5,22,NA
"Teliospores 26-33 x 19-25 µm","Uromyces umiamensis_458437_59784","Teliospores","26-33 x 19-25",29.5,22,NA
"teliospores nonseptate, in 4-9 layers, more or less catenulate, rectangular to cuboid or variable in shape, 12-18 x 9-15 µm,","Cerotelium galactiae_458438_31836","teliospores","12-18 x 9-15",15,12,NA
"teliospores nonseptate, in 1-3 layers, irregularly arranged, rectangular to oblong, 12-21 x 6-12 µm,","Phakopsora sennae_458440_31838","teliospores","12-21 x 6-12",16.5,9,NA
"teliospores often intermixed in uredinia, pedicellate, (55-)62-71(-77) x 17-23(-25) µm,","Maravalia perae_458443_31842","teliospores","(55-)62-71(-77) x 17-23(-25)",66.5,23,NA
"teliospores germinate in situ, basidiospores 20-25 (-33) x 9-14 µm,","Maravalia perae_458443_31842","teliospores","20-25 (-33) x 9-14",25,11.5,NA
"Teliospores pale brownish-violet, rounded, subglobose to irregular, (4.8) 5.6-7.2 (8) µm","Microbotryum chloranthae-verrucosum_430831_51502","Teliospores","(4.8) 5.6-7.2 (8)",6.4,NA,NA
"Teliospores rounded, subglobose, ovoid to irregular, (5.5) 6.5-8.5 (11) µm","Microbotryum saponariae_430832_51505","Teliospores","(5.5) 6.5-8.5 (11)",7.5,NA,NA
"Teliospores hyaline to pale violet, globose, subglobose, ovoid to elongated, sometimes lacrymiform, 6.0-8.5(-10.0) x (5.0-)6.0-8.0 µm;","Microbotryum silenes-acaulis_440017_20331","Teliospores","6.0-8.5(-10.0) x (5.0-)6.0-8.0",8.5,6,NA
"Teliospores hyaline to pale violet, globose to subglobose, (7-)8-9(-10) x 7.0-9.0(-9.5) µm;","Microbotryum minuartiae_440018_20333","Teliospores","(7-)8-9(-10) x 7.0-9.0(-9.5)",8.5,9,NA
"teliospores filling the calyx above ovary, anthers completely destroyed. Infection systemic. Spore mass powdery, brownish-violet. Teliospores pale violet, globose, subglobose to ovoid, 6.0-8.0(-8.5) x 6.0-7.0(-8.0) µm;","Microbotryum adenopetalae_440019_20335","teliospores","6.0-8.0(-8.5) x 6.0-7.0(-8.0)",8,7,NA
"Teliospores pale violet, globose, subglobose to ovoid, 6.0-8.0(-8.5) x 6.0-7.0(-8.0) µm;","Microbotryum adenopetalae_440019_20335","Teliospores","6.0-8.0(-8.5) x 6.0-7.0(-8.0)",8,7,NA
"Teliospores globose, medium reddish-brown, close to Umber (9), 17.5-30 x 16-22 µm,","Tilletia vankyi_441237_22809","Teliospores","(9)17.5-30 x 16-22",17.5,19,NA
"teliospores short-pedicellate, one-celled, obpyriform, ovoid, ellipsoidal to lemon shaped, often with papillate apex, 26-38 x (10-)12-22 µm,","Maravalia limoniformis_441704_23157","teliospores","26-38 x (10-)12-22",32,12,NA
"Teliospores at first ovoid to short cylindrical, hyaline and thick-walled; at maturity short cylindrical to slightly obovoid, pale golden yellow, 39-65-30-39 µm,","Puccinia grevilleae_444729_24214","Teliospores","39-65-30-39",47.5,NA,NA
"Teliospores 1-2 celled, ellipsoid-oblong; wall 2-3 µm","Puccinia agrostidis-caninae_444826_24362","Teliospores","2-3",2.5,NA,NA
"Teliospores mostly two-celled, one-celled teliospores rare. Two-celled teliospores oblong-ellipsoid, chestnut brown at the apex, paler basally, 12-20 x 31-52 µm","Puccinia sporoboli-arabici_444828_24366","Teliospores","12-20 x 31-52",16,41.5,NA
"teliospores rare. Two-celled teliospores oblong-ellipsoid, chestnut brown at the apex, paler basally, 12-20 x 31-52 µm","Puccinia sporoboli-arabici_444828_24366","teliospores","12-20 x 31-52",16,41.5,NA
"teliospores oblong-ellipsoid, chestnut brown at the apex, paler basally, 12-20 x 31-52 µm","Puccinia sporoboli-arabici_444828_24366","teliospores","12-20 x 31-52",16,41.5,NA
