"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"teliospores (6)-8-celled, irregularly subglobose to irregularly ellipsoid, not constricted at the septa, cells irregularly arranged, (37)40-45.9-54 µm","Sphaerophragmium chevalieri_317681_41894","teliospores","(37)40-45.9-54",42.95,NA,NA
"Teliospores broadly ellipsoid, rounded at both ends, not or only slightly constricted at septum, 25-46 x 21-30 µm;","Puccinia gentianae_118985_13679","Teliospores","25-46 x 21-30",35.5,25.5,NA
"Teliospores elliptical, slightly or not constricted, 39-64 x 19-29 µm;","Podisoma fuscum_317728_13132","Teliospores","39-64 x 19-29",51.5,24,NA
"Teliospores ellipsoid-fusoid, 2-celled, slightly constricted, tapered or rounded, 42-56 x 22-32 µm;","Podisoma fuscum_317728_14860","Teliospores","42-56 x 22-32",49,27,NA
"Teliospores ellipsoid, lower cell may taper toward base, slightly or not contricted at septum (37-)42-56 x 19-23 µm;","Puccinia gemella_143209_13567","Teliospores","(37-)42-56 x 19-23",42,21,NA
"Teliospores oblong or oblong-clavate, 40-45 x 19-23 µm,","Puccinia hysteriiformis_317896_56728","Teliospores","40-45 x 19-23",42.5,21,NA
"teliospores (65-) 75-120 (-140) µm","Pleoravenelia hieronymi_312528_17607","teliospores","(65-) 75-120 (-140)",97.5,NA,NA
"Teliospores ellipsoid, ovoid, oblong, 22-30 x 14-18 µm,","Uredo veratri_319227_56735","Teliospores","22-30 x 14-18",26,16,NA
"Teliospores broadly ellipsoid, barely or not constricted at septum, 32-43 x 21-26(-28) µm;","Puccinia treleasiana_143998_13570","Teliospores","32-43 x 21-26(-28)",37.5,26,NA
"Teliospores cylindric, not or slightly constricted at the septa, rounded at the apex and usually surmounted by a rounded papilla 1-9 µm","Phragmidium violaceum_118756_14034","Teliospores","1-9",5,NA,NA
"Teliospores oblong-clavate, apex rounded or truncate, not or slightly constricted, base attenuated, 10-18 x 25-40 µm;","Uromyces kuehnii_222666_13777","Teliospores","10-18 x 25-40",14,32.5,NA
"Teliospores mostly ellipsoid, sometimes 1-celled and elongated, conical or rounded at the apex, base mostly roundish, apical wall may be thickened up to 3 µm,","Puccinia exhausta_319402_70697","Teliospores","3",3,NA,NA
"teliospores (32-) 35-42 (-46) x (20-) 23-27 (-30) µm,","Uropyxis rickiana_222766_17611","teliospores","(32-) 35-42 (-46) x (20-) 23-27 (-30)",38.5,25,NA
"Teliospores ellipsoid, rounded above and below, slightly constricted at septum, 23-38 x 17-25 µm;","Puccinia pittieriana_144209_14254","Teliospores","23-38 x 17-25",30.5,21,NA
"Teliospores ellipsoidal, umbonate at the apex, 28-38 x 20-36 µm;","Erysibe appendiculata_319774_13973","Teliospores","28-38 x 20-36",33,28,NA
