"Species_names","spore_length","spore_width","SporeArea","spore_type","Phylum","Source"
"Cortinarius_balteatus",10,5.8,176.138628111268,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_bataillei",8.5,5,111.264739814639,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_betulinus",9,7.5,265.071880146639,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_biformis",7.8,4.8,94.0969831603215,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_bivelus",9,5.8,158.524765300141,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_bolaris",7,5.3,102.955227245894,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_brunneus",8.6,6.5,190.249615113642,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_bulliardii",9.5,5.8,167.331696705704,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_caerulescens",9.3,5.3,136.783373340973,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_calochrous",9.5,5.5,150.469198137561,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_camphoratus",10,6.3,207.816354034965,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_casimiri",10.8,6.5,238.918121305504,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_cinnabarinus",8,5,104.71975511966,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_cinnamomeoluteus",9,5.8,158.524765300141,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_cinnamomeus",7.3,4.5,77.4009890028185,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_cinnamoviolaceus",7.3,4.5,77.4009890028185,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_claricolor",7.8,4.3,75.5144626143378,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_cotoneus",9,7.8,286.701745566604,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_crassus",8,4,67.0206432765822,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_croceus",8.6,4.8,103.747955792149,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_cumatilis",11,5.5,174.227492580334,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_cyanites",9.5,6,179.070781254618,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_decipiens",9.3,5.5,147.301425545191,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_delibutus",8,7,205.250720034533,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_depressus",7,3.8,52.9253642374761,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_dionysae",9.5,5.5,150.469198137561,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_elatior",12.5,7.8,398.196868842506,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_elegantior",13.8,8.3,497.775931183342,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_elegantissimus",13.8,8.8,559.555350716185,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_evernius",10.3,6,194.150425991849,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_fasciatus",10.3,5.8,181.422786954606,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_flexipes",8.5,5.5,134.630335175713,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_flos-paludis",8,5.5,126.710903694788,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_fulvescens",9,5,117.809724509617,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_galeobdolon",6.8,4.3,65.8331212535253,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_gentilis",8.3,6.5,183.613000632933,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_glandicolor",9.3,6.3,193.269209252517,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_glaucopus",7.8,5,102.101761241668,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_helobius",8.8,4.5,93.3053018116169,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_hinnuleus",7.8,5.8,137.388129926789,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_huronensis",9.3,5.3,136.783373340973,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_illuminus",6.5,5.8,114.490108272324,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_infractus",7.8,6,147.026536188002,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_inops",8,5.8,140.910902489014,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_ionophyllus",10.8,6.8,261.481039743586,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_laniger",10.8,6.3,224.441662357762,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_largus",10.8,6,203.575203952619,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_limonius",8,6.3,166.253083227972,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_malachius",10.5,6.5,232.281506824795,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_malicorius",6.3,4,52.7787565803085,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_mucosus",12.8,6.3,266.004933164755,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_multiformis",8.6,5.3,126.487850616383,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_mussivus",11.3,7,289.916642048778,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_nanceiensis",11,6.5,243.342530959309,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_obtusus",8.5,4.8,102.541584213171,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_odorifer",11.3,7,289.916642048778,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_olidus",10,6,188.495559215388,"Basidiospores","Basidiomycota","Bassler_etal_2015"
