Species,spore_type,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Arthrobotrys_musiformis,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.249222340561802,0.46665582104149744,44,607.9772727272727,11.947062833125546,1167.3087121212122,790.8480139345382,70.92227159675724,20693.472348484847,0.7215643911199139,385.99430581631844,8.027032425158335,604.0009018304509,486.2928865322322,36.23244067857045,1155.3568151537702,0.835934115357856,17948547.222121056,0.8974273611060528,66537773454852.26,0.4485914368003738
Arthrobotrys_oligospora,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.5270829356853084,0.250863386198251,34,395.7647058823529,12.518907833802771,1036.5752801120448,769.1658233633096,63.58075244619967,22685.880042016805,0.5723382329093478,431.44584679491066,4.844261545446375,800.1418096652969,325.8795748044023,43.36103444577569,1849.2565224094114,0.47774323659773626,16691242.896625677,0.8345621448312839,40192925109585.11,0.27097693667721845
Arthrobotrys_oudemansii,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.2027889894432056,0.42170133939537796,11,667.7272727272727,14.465119976199452,668.8681818181818,436.3573491385091,49.52460994205495,25470.462121212127,0.8464696922085506,983.6557417012408,3.3975510273755627,325.3976523215305,120.17771816696332,23.999936319741124,2796.8122119466607,0.15933024233131451,15260826.285658648,0.7630413142829324,16072208697356.701,0.10835732573760971
Arthrobotrys_polycephala,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.3688322436650346,0.5862657241447304,1,35,15.334999931852,827.2,952.058295157249,74.8973838077954,21068,0.439999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobotrys_psychrophila,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,4.282034505736746,0.3692158574101428,15,574.1333333333333,14.408023163694889,656.0555555555555,475.7874673181838,42.10215092233796,25413.071111111112,0.8131111115879482,529.2279911972407,2.962630944324495,270.51461595834326,52.74483568798456,25.616342278937935,2022.8672218710037,0.1353044335133476,16279706.382036021,0.813985319101801,463788106941.29724,0.0031268159792706414
Arthrobotrys_scaphoides,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,4.482118621677055,0.21298436613614055,43,267.86046511627904,9.535781661403016,878.0301218161684,970.2821353436805,51.14382527210507,21475.3122923588,0.31490697876889584,329.0492495628485,3.44603502366844,273.6535823214134,125.9393572969757,44.97940793138267,1507.8138845272108,0.07035908596682627,11174220.771474615,0.5587110385737307,7098477267629.375,0.04785726890517761
Arthrobotrys_xiangyunensis,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,4.486020838758779,0.40248763642275825,19,2989.315789473684,0.06912125272274693,541.2827067669173,966.6711059480695,93.75667833577143,20578.400375939847,0.1389285722481354,1840.9626724633797,6.27582088696235,221.9065061411598,188.36483648322198,17.870341276665844,698.6050498509854,0.14960989714662357,7228689.38932253,0.36143446946612645,1104647221743.998,0.0074474281093267385
Arthrocatena_tenebrio,Mitospores,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA,NA,1.9177845354334264,0.3136191229720017,68,349.2352941176471,8.185923215343466,1000.5835784313729,1045.723533153392,50.29565820633866,20925.217034313722,0.2603076003437096,243.34301799594516,3.131753211303295,256.3104977648203,150.41729969423474,47.40872662411217,1109.2636822649256,0.13754069170435299,11491022.096407142,0.5745511048203571,11419130376645.932,0.07698670750000626
Arthroderma_insingulare,Mitospores,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA,NA,2.0624072161143476,0.7112044607530305,10,239.3,10.909854172847442,923.8616666666667,766.7629556383257,30.69886854536663,22867.09833333333,0.5811499929924807,162.51020480778018,5.351086674967712,313.33647112790567,289.45818008809687,27.97244536640922,2958.411352340539,0.37892922330093753,17337687.035111785,0.8668843517555892,6978420910455.244,0.047047860189415494
Arthrographis_longispora,Mitospores,Ascomycota,Dothideomycetes,Notassigned,NA,NA,NA,NA,0.9128186483266031,0.9030899869919435,7,1472,9.933720224745397,1080.9785714285715,565.5327998950673,49.87253564507136,22974.957142857143,0.6207142795835224,829.1670519262086,7.677455376131401,685.7988613393038,234.78718854204706,30.691387780035242,2077.1293220108237,0.6295243479058957,14366725.975068307,0.7183362987534153,50213848529970.445,0.3385370638321699
Arxiella_dolichandrae,Mitospores,Ascomycota,Not assigned,Notassigned,Plant Pathogen,Plant,Plant-Pathogen,yes,1.2658359786837783,0.2909283026198377,2,652.5,24.00520845750965,1051.4583333333348,207.01740980757606,84.0841573762669,22480,1.7099999785423252,523.9661248592317,2.449830575505457,908.2197348690237,184.9201778424022,13.766954245180553,2121.3203435596424,0.8343859647108977,NA,NA,NA,NA
